FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
7,1,301,1
2000,2000,301,1
1000,1000,301,1
7,1,302,22
83,2,302,22
91,4,302,22
95,4,302,22
123,5,302,22
138,2,302,22
164,6,302,22
2000,2000,302,22
165,3,302,22
32,4,302,22
1000,1000,302,22
7,1,302,67
123,5,302,67
2000,2000,302,67
1000,1000,302,67
123,5,303,16
138,2,303,16
2000,2000,303,16
1000,1000,303,16
7,1,401,43
2000,2000,401,43
1000,1000,401,43
2000,2000,500,10
32,4,500,10
1000,1000,500,10
7,1,606,41
2000,2000,606,41
1000,1000,606,41
123,5,801,41
2000,2000,801,41
1000,1000,801,41
