Lon	Lat	x	y	BigCellTypeID
10	-30	12.5	-32.5	2
15	-30	17.5	-32.5	2
40	-15	42.5	-17.5	2
90	-30	92.5	-32.5	2
90	-25	92.5	-27.5	2
95	-30	97.5	-32.5	2
95	-25	97.5	-27.5	2
100	-30	102.5	-32.5	2
100	-25	102.5	-27.5	2
100	-20	102.5	-22.5	2
100	-15	102.5	-17.5	2
100	-10	102.5	-12.5	2
100	-5	102.5	-7.5	2
105	-30	107.5	-32.5	2
105	-25	107.5	-27.5	2
105	-20	107.5	-22.5	2
105	-10	107.5	-12.5	2
105	-5	107.5	-7.5	2
110	-10	112.5	-12.5	2
115	-15	117.5	-17.5	2
115	-10	117.5	-12.5	2
115	-5	117.5	-7.5	2
120	-10	122.5	-12.5	2
95	-20	97.5	-22.5	2
95	-10	97.5	-12.5	2
95	-5	97.5	-7.5	2
120	-15	122.5	-17.5	2
140	-40	142.5	-42.5	2
145	-45	147.5	-47.5	2
145	-40	147.5	-42.5	2
150	-45	152.5	-47.5	2
150	-40	152.5	-42.5	2
155	-30	157.5	-32.5	2
-180	-40	-177.5	-42.5	2
175	-40	177.5	-42.5	2
175	-35	177.5	-37.5	2
145	-35	147.5	-37.5	2
150	-35	152.5	-37.5	2
150	-30	152.5	-32.5	2
60	0	62.5	-2.5	2
80	0	82.5	-2.5	2
-180	-35	-177.5	-37.5	2
155	-35	157.5	-37.5	2
15	-35	17.5	-37.5	2
20	-35	22.5	-37.5	2
30	-30	32.5	-32.5	2
35	-30	37.5	-32.5	2
45	-20	47.5	-22.5	2
90	0	92.5	-2.5	2
110	-20	112.5	-22.5	2
110	-15	112.5	-17.5	2
170	-35	172.5	-37.5	2
175	-30	177.5	-32.5	2
25	-35	27.5	-37.5	2
25	-30	27.5	-32.5	2
45	-25	47.5	-27.5	2
50	-25	52.5	-27.5	2
-180	-30	-177.5	-32.5	2
120	-5	122.5	-7.5	2
-25	-30	-22.5	-32.5	2
45	-30	47.5	-32.5	2
50	-30	52.5	-32.5	2
55	-30	57.5	-32.5	2
55	-25	57.5	-27.5	2
105	-35	107.5	-37.5	2
105	-15	107.5	-17.5	2
160	-35	162.5	-37.5	2
160	-30	162.5	-32.5	2
170	-30	172.5	-32.5	2
-55	-40	-52.5	-42.5	2
-45	-30	-42.5	-32.5	2
-35	-30	-32.5	-32.5	2
-30	-30	-27.5	-32.5	2
-15	-30	-12.5	-32.5	2
0	-30	2.5	-32.5	2
110	-25	112.5	-27.5	2
110	-5	112.5	-7.5	2
-40	-30	-37.5	-32.5	2
-10	-30	-7.5	-32.5	2
95	-15	97.5	-17.5	2
110	-30	112.5	-32.5	2
140	-45	142.5	-47.5	2
85	-5	87.5	-7.5	2
90	-20	92.5	-22.5	2
110	-35	112.5	-37.5	2
115	-35	117.5	-37.5	2
125	-45	127.5	-47.5	2
125	-40	127.5	-42.5	2
-180	-45	-177.5	-47.5	2
125	-5	127.5	-7.5	2
90	-10	92.5	-12.5	2
100	-35	102.5	-37.5	2
130	-45	132.5	-47.5	2
135	-45	137.5	-47.5	2
135	-40	137.5	-42.5	2
160	-45	162.5	-47.5	2
95	-45	97.5	-47.5	2
100	-45	102.5	-47.5	2
100	-40	102.5	-42.5	2
105	-45	107.5	-47.5	2
105	-40	107.5	-42.5	2
115	-45	117.5	-47.5	2
120	-45	122.5	-47.5	2
140	-50	142.5	-52.5	2
150	-10	152.5	-12.5	2
155	-20	157.5	-22.5	2
95	-40	97.5	-42.5	2
115	-40	117.5	-42.5	2
155	0	157.5	-2.5	2
120	-40	122.5	-42.5	2
150	-5	152.5	-7.5	2
170	-40	172.5	-42.5	2
175	-45	177.5	-47.5	2
30	-25	32.5	-27.5	2
40	-30	42.5	-32.5	2
120	-35	122.5	-37.5	2
125	-30	127.5	-32.5	2
-115	-10	-112.5	-12.5	2
150	-25	152.5	-27.5	2
160	-5	162.5	-7.5	2
165	-35	167.5	-37.5	2
35	-25	37.5	-27.5	2
-175	-35	-172.5	-37.5	2
-170	-25	-167.5	-27.5	2
-160	-25	-157.5	-27.5	2
155	-25	157.5	-27.5	2
155	-5	157.5	-7.5	2
160	-25	162.5	-27.5	2
160	-10	162.5	-12.5	2
160	0	162.5	-2.5	2
165	0	167.5	-2.5	2
170	0	172.5	-2.5	2
60	-10	62.5	-12.5	2
-165	-25	-162.5	-27.5	2
-155	-35	-152.5	-37.5	2
155	-45	157.5	-47.5	2
160	-20	162.5	-22.5	2
170	-25	172.5	-27.5	2
170	-5	172.5	-7.5	2
175	-25	177.5	-27.5	2
175	-20	177.5	-22.5	2
60	-25	62.5	-27.5	2
110	-40	112.5	-42.5	2
135	-35	137.5	-37.5	2
-180	-25	-177.5	-27.5	2
-175	-25	-172.5	-27.5	2
-110	-10	-107.5	-12.5	2
155	-40	157.5	-42.5	2
165	-25	167.5	-27.5	2
175	0	177.5	-2.5	2
125	-10	127.5	-12.5	2
-175	-30	-172.5	-32.5	2
-105	-5	-102.5	-7.5	2
155	-10	157.5	-12.5	2
165	-45	167.5	-47.5	2
165	-30	167.5	-32.5	2
20	-30	22.5	-32.5	2
75	-40	77.5	-42.5	2
75	-35	77.5	-37.5	2
80	-35	82.5	-37.5	2
140	-10	142.5	-12.5	2
70	-40	72.5	-42.5	2
70	-35	72.5	-37.5	2
80	-40	82.5	-42.5	2
85	-40	87.5	-42.5	2
90	-40	92.5	-42.5	2
90	-5	92.5	-7.5	2
130	-40	132.5	-42.5	2
65	-40	67.5	-42.5	2
85	-45	87.5	-47.5	2
90	-45	92.5	-47.5	2
95	-35	97.5	-37.5	2
145	-50	147.5	-52.5	2
150	-50	152.5	-52.5	2
160	-15	162.5	-17.5	2
80	-30	82.5	-32.5	2
85	-30	87.5	-32.5	2
90	-35	92.5	-37.5	2
75	-30	77.5	-32.5	2
85	-35	87.5	-37.5	2
-175	-45	-172.5	-47.5	2
-160	-30	-157.5	-32.5	2
150	-20	152.5	-22.5	2
170	-45	172.5	-47.5	2
35	-35	37.5	-37.5	2
40	-35	42.5	-37.5	2
65	-30	67.5	-32.5	2
65	-25	67.5	-27.5	2
70	-30	72.5	-32.5	2
70	-25	72.5	-27.5	2
75	-25	77.5	-27.5	2
80	-25	82.5	-27.5	2
120	-30	122.5	-32.5	2
-170	-30	-167.5	-32.5	2
-165	-30	-162.5	-32.5	2
30	-35	32.5	-37.5	2
55	-35	57.5	-37.5	2
85	-25	87.5	-27.5	2
45	-40	47.5	-42.5	2
50	-40	52.5	-42.5	2
55	-40	57.5	-42.5	2
60	-40	62.5	-42.5	2
60	-35	62.5	-37.5	2
65	-35	67.5	-37.5	2
80	-5	82.5	-7.5	2
-155	-25	-152.5	-27.5	2
