big_cell_id,big_cell_type_id,x,y,is_land_locked,is_in_med,is_in_pacific,is_in_indian
20,1,-179.5,70.5,0,0,0,0
21,1,-179.5,69.5,0,0,0,0
22,1,-179.5,68.5,0,0,0,0
24,1,-179.5,66.5,0,0,1,0
25,1,-179.5,65.5,0,0,1,0
26,1,-179.5,64.5,0,0,1,0
27,1,-179.5,63.5,0,0,1,0
28,1,-179.5,62.5,0,0,1,0
29,1,-179.5,61.5,0,0,1,0
30,1,-179.5,60.5,0,0,1,0
31,1,-179.5,59.5,0,0,1,0
32,1,-179.5,58.5,0,0,1,0
33,1,-179.5,57.5,0,0,1,0
34,1,-179.5,56.5,0,0,1,0
35,1,-179.5,55.5,0,0,1,0
36,1,-179.5,54.5,0,0,1,0
37,1,-179.5,53.5,0,0,1,0
38,1,-179.5,52.5,0,0,1,0
39,1,-179.5,51.5,0,0,1,0
40,1,-179.5,50.5,0,0,1,0
41,1,-179.5,49.5,0,0,1,0
42,1,-179.5,48.5,0,0,1,0
43,1,-179.5,47.5,0,0,1,0
44,1,-179.5,46.5,0,0,1,0
45,1,-179.5,45.5,0,0,1,0
46,1,-179.5,44.5,0,0,1,0
47,1,-179.5,43.5,0,0,1,0
48,1,-179.5,42.5,0,0,1,0
49,1,-179.5,41.5,0,0,1,0
50,1,-179.5,40.5,0,0,1,0
51,1,-179.5,39.5,0,0,1,0
52,1,-179.5,38.5,0,0,1,0
53,1,-179.5,37.5,0,0,1,0
54,1,-179.5,36.5,0,0,1,0
55,1,-179.5,35.5,0,0,1,0
56,1,-179.5,34.5,0,0,1,0
57,1,-179.5,33.5,0,0,1,0
58,1,-179.5,32.5,0,0,1,0
59,1,-179.5,31.5,0,0,1,0
60,1,-179.5,30.5,0,0,1,0
61,1,-179.5,29.5,0,0,1,0
62,1,-179.5,28.5,0,0,1,0
63,1,-179.5,27.5,0,0,1,0
64,1,-179.5,26.5,0,0,1,0
65,1,-179.5,25.5,0,0,1,0
