BigCellID,BigCellTypeID,x,y,Pacific
20,1,-179.5,70.5,0
21,1,-179.5,69.5,0
22,1,-179.5,68.5,0
24,1,-179.5,66.5,1
25,1,-179.5,65.5,1
26,1,-179.5,64.5,1
27,1,-179.5,63.5,1
28,1,-179.5,62.5,1
29,1,-179.5,61.5,1
30,1,-179.5,60.5,1
31,1,-179.5,59.5,1
32,1,-179.5,58.5,1
33,1,-179.5,57.5,1
34,1,-179.5,56.5,1
35,1,-179.5,55.5,1
36,1,-179.5,54.5,1
37,1,-179.5,53.5,1
38,1,-179.5,52.5,1
39,1,-179.5,51.5,1
40,1,-179.5,50.5,1
41,1,-179.5,49.5,1
42,1,-179.5,48.5,1
43,1,-179.5,47.5,1
44,1,-179.5,46.5,1
45,1,-179.5,45.5,1
46,1,-179.5,44.5,1
47,1,-179.5,43.5,1
48,1,-179.5,42.5,1
49,1,-179.5,41.5,1
50,1,-179.5,40.5,1
51,1,-179.5,39.5,1
52,1,-179.5,38.5,1
53,1,-179.5,37.5,1
54,1,-179.5,36.5,1
55,1,-179.5,35.5,1
56,1,-179.5,34.5,1
57,1,-179.5,33.5,1
58,1,-179.5,32.5,1
59,1,-179.5,31.5,1
60,1,-179.5,30.5,1
61,1,-179.5,29.5,1
62,1,-179.5,28.5,1
63,1,-179.5,27.5,1
64,1,-179.5,26.5,1
65,1,-179.5,25.5,1
66,1,-179.5,24.5,1
67,1,-179.5,23.5,1
68,1,-179.5,22.5,1
69,1,-179.5,21.5,1
70,1,-179.5,20.5,1
71,1,-179.5,19.5,1
72,1,-179.5,18.5,1
73,1,-179.5,17.5,1
74,1,-179.5,16.5,1
75,1,-179.5,15.5,1
76,1,-179.5,14.5,1
77,1,-179.5,13.5,1
78,1,-179.5,12.5,1
79,1,-179.5,11.5,1
80,1,-179.5,10.5,1
81,1,-179.5,9.5,1
82,1,-179.5,8.5,1
83,1,-179.5,7.5,1
84,1,-179.5,6.5,1
85,1,-179.5,5.5,1
86,1,-179.5,4.5,1
87,1,-179.5,3.5,1
88,1,-179.5,2.5,1
89,1,-179.5,1.5,1
90,1,-179.5,0.5,1
91,1,-179.5,-0.5,1
92,1,-179.5,-1.5,1
93,1,-179.5,-2.5,1
94,1,-179.5,-3.5,1
95,1,-179.5,-4.5,1
96,1,-179.5,-5.5,1
97,1,-179.5,-6.5,1
98,1,-179.5,-7.5,1
99,1,-179.5,-8.5,1
100,1,-179.5,-9.5,1
101,1,-179.5,-10.5,1
102,1,-179.5,-11.5,1
103,1,-179.5,-12.5,1
104,1,-179.5,-13.5,1
105,1,-179.5,-14.5,1
106,1,-179.5,-15.5,1
107,1,-179.5,-16.5,1
108,1,-179.5,-17.5,1
109,1,-179.5,-18.5,1
110,1,-179.5,-19.5,1
111,1,-179.5,-20.5,1
112,1,-179.5,-21.5,1
113,1,-179.5,-22.5,1
114,1,-179.5,-23.5,1
115,1,-179.5,-24.5,1
116,1,-179.5,-25.5,1
117,1,-179.5,-26.5,1
118,1,-179.5,-27.5,1
119,1,-179.5,-28.5,1
120,1,-179.5,-29.5,1
121,1,-179.5,-30.5,1
122,1,-179.5,-31.5,1
123,1,-179.5,-32.5,1
124,1,-179.5,-33.5,1
125,1,-179.5,-34.5,1
126,1,-179.5,-35.5,1
127,1,-179.5,-36.5,1
128,1,-179.5,-37.5,1
129,1,-179.5,-38.5,1
130,1,-179.5,-39.5,1
131,1,-179.5,-40.5,1
132,1,-179.5,-41.5,1
133,1,-179.5,-42.5,1
134,1,-179.5,-43.5,1
135,1,-179.5,-44.5,1
136,1,-179.5,-45.5,1
137,1,-179.5,-46.5,1
138,1,-179.5,-47.5,1
139,1,-179.5,-48.5,1
140,1,-179.5,-49.5,1
141,1,-179.5,-50.5,1
142,1,-179.5,-51.5,1
143,1,-179.5,-52.5,1
144,1,-179.5,-53.5,1
145,1,-179.5,-54.5,1
146,1,-179.5,-55.5,1
147,1,-179.5,-56.5,1
148,1,-179.5,-57.5,1
149,1,-179.5,-58.5,1
150,1,-179.5,-59.5,1
151,1,-179.5,-60.5,1
152,1,-179.5,-61.5,1
153,1,-179.5,-62.5,1
154,1,-179.5,-63.5,1
155,1,-179.5,-64.5,1
156,1,-179.5,-65.5,1
157,1,-179.5,-66.5,1
158,1,-179.5,-67.5,1
159,1,-179.5,-68.5,1
160,1,-179.5,-69.5,1
161,1,-179.5,-70.5,1
162,1,-179.5,-71.5,1
163,1,-179.5,-72.5,1
164,1,-179.5,-73.5,1
165,1,-179.5,-74.5,1
166,1,-179.5,-75.5,1
167,1,-179.5,-76.5,1
168,1,-179.5,-77.5,1
169,1,-179.5,-78.5,1
170,1,-179.5,-79.5,1
171,1,-179.5,-80.5,1
172,1,-179.5,-81.5,1
173,1,-179.5,-82.5,1
174,1,-179.5,-83.5,1
175,1,-179.5,-84.5,1
200,1,-178.5,70.5,0
201,1,-178.5,69.5,0
202,1,-178.5,68.5,0
204,1,-178.5,66.5,1
205,1,-178.5,65.5,1
206,1,-178.5,64.5,1
207,1,-178.5,63.5,1
208,1,-178.5,62.5,1
209,1,-178.5,61.5,1
210,1,-178.5,60.5,1
211,1,-178.5,59.5,1
212,1,-178.5,58.5,1
213,1,-178.5,57.5,1
214,1,-178.5,56.5,1
215,1,-178.5,55.5,1
216,1,-178.5,54.5,1
217,1,-178.5,53.5,1
218,1,-178.5,52.5,1
219,1,-178.5,51.5,1
220,1,-178.5,50.5,1
221,1,-178.5,49.5,1
222,1,-178.5,48.5,1
223,1,-178.5,47.5,1
224,1,-178.5,46.5,1
225,1,-178.5,45.5,1
226,1,-178.5,44.5,1
227,1,-178.5,43.5,1
228,1,-178.5,42.5,1
229,1,-178.5,41.5,1
230,1,-178.5,40.5,1
231,1,-178.5,39.5,1
232,1,-178.5,38.5,1
233,1,-178.5,37.5,1
234,1,-178.5,36.5,1
235,1,-178.5,35.5,1
236,1,-178.5,34.5,1
237,1,-178.5,33.5,1
238,1,-178.5,32.5,1
239,1,-178.5,31.5,1
240,1,-178.5,30.5,1
241,1,-178.5,29.5,1
242,1,-178.5,28.5,1
243,1,-178.5,27.5,1
244,1,-178.5,26.5,1
245,1,-178.5,25.5,1
246,1,-178.5,24.5,1
247,1,-178.5,23.5,1
248,1,-178.5,22.5,1
249,1,-178.5,21.5,1
250,1,-178.5,20.5,1
251,1,-178.5,19.5,1
252,1,-178.5,18.5,1
253,1,-178.5,17.5,1
254,1,-178.5,16.5,1
255,1,-178.5,15.5,1
256,1,-178.5,14.5,1
257,1,-178.5,13.5,1
258,1,-178.5,12.5,1
259,1,-178.5,11.5,1
260,1,-178.5,10.5,1
261,1,-178.5,9.5,1
262,1,-178.5,8.5,1
263,1,-178.5,7.5,1
264,1,-178.5,6.5,1
265,1,-178.5,5.5,1
266,1,-178.5,4.5,1
267,1,-178.5,3.5,1
268,1,-178.5,2.5,1
269,1,-178.5,1.5,1
270,1,-178.5,0.5,1
271,1,-178.5,-0.5,1
272,1,-178.5,-1.5,1
273,1,-178.5,-2.5,1
274,1,-178.5,-3.5,1
275,1,-178.5,-4.5,1
276,1,-178.5,-5.5,1
277,1,-178.5,-6.5,1
278,1,-178.5,-7.5,1
279,1,-178.5,-8.5,1
280,1,-178.5,-9.5,1
281,1,-178.5,-10.5,1
282,1,-178.5,-11.5,1
283,1,-178.5,-12.5,1
284,1,-178.5,-13.5,1
285,1,-178.5,-14.5,1
286,1,-178.5,-15.5,1
287,1,-178.5,-16.5,1
288,1,-178.5,-17.5,1
289,1,-178.5,-18.5,1
290,1,-178.5,-19.5,1
291,1,-178.5,-20.5,1
292,1,-178.5,-21.5,1
293,1,-178.5,-22.5,1
294,1,-178.5,-23.5,1
295,1,-178.5,-24.5,1
296,1,-178.5,-25.5,1
297,1,-178.5,-26.5,1
298,1,-178.5,-27.5,1
299,1,-178.5,-28.5,1
300,1,-178.5,-29.5,1
301,1,-178.5,-30.5,1
302,1,-178.5,-31.5,1
303,1,-178.5,-32.5,1
304,1,-178.5,-33.5,1
305,1,-178.5,-34.5,1
306,1,-178.5,-35.5,1
307,1,-178.5,-36.5,1
308,1,-178.5,-37.5,1
309,1,-178.5,-38.5,1
310,1,-178.5,-39.5,1
311,1,-178.5,-40.5,1
312,1,-178.5,-41.5,1
313,1,-178.5,-42.5,1
314,1,-178.5,-43.5,1
315,1,-178.5,-44.5,1
316,1,-178.5,-45.5,1
317,1,-178.5,-46.5,1
318,1,-178.5,-47.5,1
319,1,-178.5,-48.5,1
320,1,-178.5,-49.5,1
321,1,-178.5,-50.5,1
322,1,-178.5,-51.5,1
323,1,-178.5,-52.5,1
324,1,-178.5,-53.5,1
325,1,-178.5,-54.5,1
326,1,-178.5,-55.5,1
327,1,-178.5,-56.5,1
328,1,-178.5,-57.5,1
329,1,-178.5,-58.5,1
330,1,-178.5,-59.5,1
331,1,-178.5,-60.5,1
332,1,-178.5,-61.5,1
333,1,-178.5,-62.5,1
