FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
91,3,301,1
16,4,301,1
1000,2,301,1
157,1,301,1
110,5,301,1
118,8,301,1
187,5,301,1
141,8,301,1
165,8,301,1
49,7,301,1
124,7,301,1
91,3,301,5
16,4,301,5
1000,2,301,5
157,1,301,5
110,5,301,5
118,8,301,5
187,5,301,5
141,8,301,5
165,8,301,5
49,7,301,5
124,7,301,5
91,3,301,6
16,4,301,6
1000,2,301,6
157,1,301,6
110,5,301,6
118,8,301,6
187,5,301,6
141,8,301,6
165,8,301,6
49,7,301,6
124,7,301,6
91,3,301,52
16,4,301,52
1000,2,301,52
157,1,301,52
110,5,301,52
118,8,301,52
187,5,301,52
141,8,301,52
165,8,301,52
49,7,301,52
124,7,301,52
91,3,301,53
16,4,301,53
1000,2,301,53
157,1,301,53
110,5,301,53
118,8,301,53
187,5,301,53
141,8,301,53
165,8,301,53
49,7,301,53
124,7,301,53
91,3,301,54
16,4,301,54
1000,2,301,54
157,1,301,54
110,5,301,54
118,8,301,54
187,5,301,54
141,8,301,54
165,8,301,54
49,7,301,54
124,7,301,54
91,3,301,3
16,4,301,3
1000,2,301,3
157,1,301,3
110,5,301,3
118,8,301,3
187,5,301,3
141,8,301,3
165,8,301,3
49,7,301,3
124,7,301,3
91,3,301,4
16,4,301,4
1000,2,301,4
157,1,301,4
110,5,301,4
118,8,301,4
187,5,301,4
141,8,301,4
165,8,301,4
49,7,301,4
124,7,301,4
91,3,301,2
16,4,301,2
1000,2,301,2
157,1,301,2
110,5,301,2
118,8,301,2
187,5,301,2
141,8,301,2
165,8,301,2
49,7,301,2
124,7,301,2
91,3,301,21
16,4,301,21
1000,2,301,21
157,1,301,21
110,5,301,21
118,8,301,21
187,5,301,21
141,8,301,21
165,8,301,21
49,7,301,21
124,7,301,21
35,7,302,22
13,4,302,22
157,1,302,22
141,8,302,22
95,3,302,22
30,7,302,22
122,4,302,22
60,6,302,22
50,4,302,22
187,5,302,22
118,8,302,22
26,5,302,22
28,4,302,22
165,8,302,22
137,7,302,22
32,3,302,22
124,7,302,22
135,4,302,22
91,3,302,22
41,7,302,22
1000,2,302,22
110,5,302,22
16,4,302,22
75,7,302,22
31,3,302,22
49,7,302,22
35,7,302,67
13,4,302,67
157,1,302,67
141,8,302,67
95,3,302,67
30,7,302,67
122,4,302,67
60,6,302,67
50,4,302,67
187,5,302,67
118,8,302,67
26,5,302,67
28,4,302,67
165,8,302,67
137,7,302,67
32,3,302,67
124,7,302,67
135,4,302,67
91,3,302,67
41,7,302,67
1000,2,302,67
110,5,302,67
16,4,302,67
75,7,302,67
31,3,302,67
49,7,302,67
35,7,302,30
13,4,302,30
157,1,302,30
141,8,302,30
95,3,302,30
30,7,302,30
122,4,302,30
60,6,302,30
50,4,302,30
187,5,302,30
118,8,302,30
26,5,302,30
28,4,302,30
165,8,302,30
137,7,302,30
32,3,302,30
124,7,302,30
135,4,302,30
91,3,302,30
41,7,302,30
