Year,Flag,Gear,Species,Catch
1918,UNK,LP,SKJ,1361
1918,UNK,LP,YFT,0
1919,UNK,LP,SKJ,3130
1919,UNK,LP,YFT,136
1920,UNK,LP,SKJ,3583
1920,UNK,LP,YFT,907
1921,UNK,LP,SKJ,499
1921,UNK,LP,YFT,590
1922,UNK,LP,SKJ,5398
1922,UNK,LP,YFT,3357
1923,UNK,LP,SKJ,5216
1923,UNK,LP,YFT,4899
1924,UNK,LP,SKJ,1724
1924,UNK,LP,YFT,1361
1925,UNK,LP,SKJ,6441
1925,UNK,LP,YFT,5987
1926,UNK,LP,SKJ,9480
1926,UNK,LP,YFT,5715
1927,UNK,LP,SKJ,15332
1927,UNK,LP,YFT,11748
1928,UNK,LP,SKJ,7212
1928,UNK,LP,YFT,14651
1929,UNK,LP,SKJ,12247
1929,UNK,LP,YFT,16965
1930,UNK,LP,SKJ,9299
1930,UNK,LP,YFT,25674
1931,UNK,LP,SKJ,2664
1931,UNK,LP,YFT,14842
1931,UNK,PS,SKJ,1803
1931,UNK,PS,YFT,1062
1931,UNK,UNK,SKJ,3017
1931,UNK,UNK,YFT,698
1932,UNK,LP,SKJ,8328
1932,UNK,LP,YFT,12914
1932,UNK,PS,SKJ,1365
1932,UNK,PS,YFT,3766
1932,UNK,UNK,SKJ,105
1932,UNK,UNK,YFT,58
1933,UNK,LP,SKJ,6158
1933,UNK,LP,YFT,21833
1933,UNK,PS,SKJ,1394
1933,UNK,PS,YFT,1054
1933,UNK,UNK,SKJ,22
1933,UNK,UNK,YFT,292
1934,UNK,LP,SKJ,7159
1934,UNK,LP,YFT,26674
1934,UNK,PS,SKJ,119
1934,UNK,PS,YFT,443
1934,UNK,UNK,SKJ,0
1934,UNK,UNK,YFT,513
1935,UNK,LP,SKJ,6649
1935,UNK,LP,YFT,31483
1935,UNK,PS,SKJ,242
1935,UNK,PS,YFT,938
1935,UNK,UNK,SKJ,911
1935,UNK,UNK,YFT,372
1936,UNK,LP,SKJ,8347
1936,UNK,LP,YFT,33181
1936,UNK,PS,SKJ,1662
1936,UNK,PS,YFT,1720
1936,UNK,UNK,SKJ,2238
1936,UNK,UNK,YFT,640
1937,UNK,LP,SKJ,17772
1937,UNK,LP,YFT,37743
1937,UNK,PS,SKJ,2949
1937,UNK,PS,YFT,3727
1937,UNK,UNK,SKJ,643
1937,UNK,UNK,YFT,44
1938,UNK,LP,SKJ,10006
1938,UNK,LP,YFT,34134
1938,UNK,PS,SKJ,661
1938,UNK,PS,YFT,1076
1938,UNK,UNK,SKJ,0
1938,UNK,UNK,YFT,302
1939,UNK,LP,SKJ,10059
1939,UNK,LP,YFT,42011
1939,UNK,PS,SKJ,2641
1939,UNK,PS,YFT,7650
1939,UNK,UNK,SKJ,953
1939,UNK,UNK,YFT,424
1940,UNK,LP,SKJ,18546
1940,UNK,LP,YFT,44999
1940,UNK,PS,SKJ,6260
1940,UNK,PS,YFT,6304
1940,UNK,UNK,SKJ,1321
1940,UNK,UNK,YFT,674
1941,UNK,LP,SKJ,9256
1941,UNK,LP,YFT,32476
1941,UNK,PS,SKJ,797
1941,UNK,PS,YFT,2194
1941,UNK,UNK,SKJ,1650
1941,UNK,UNK,YFT,185
1942,UNK,LP,SKJ,16827
1942,UNK,LP,YFT,16661
1942,UNK,PS,SKJ,636
1942,UNK,PS,YFT,1984
1942,UNK,UNK,SKJ,227
1942,UNK,UNK,YFT,390
1943,UNK,LP,SKJ,12551
1943,UNK,LP,YFT,19274
1943,UNK,PS,SKJ,655
1943,UNK,PS,YFT,2996
1943,UNK,UNK,SKJ,130
1943,UNK,UNK,YFT,436
1944,UNK,LP,SKJ,11895
1944,UNK,LP,YFT,24074
1944,UNK,PS,SKJ,1717
1944,UNK,PS,YFT,4508
1944,UNK,UNK,SKJ,540
1944,UNK,UNK,YFT,843
1945,CHL,HAR,SWO,1455
1945,UNK,LP,SKJ,12623
1945,UNK,LP,YFT,30461
1945,UNK,PS,SKJ,2334
1945,UNK,PS,YFT,8811
1945,UNK,UNK,SKJ,465
1945,UNK,UNK,YFT,1186
1946,CHL,HAR,SWO,2166
1946,UNK,LP,SKJ,13332
1946,UNK,LP,YFT,45992
1946,UNK,PS,SKJ,4680
1946,UNK,PS,YFT,11546
1946,UNK,UNK,SKJ,1266
1946,UNK,UNK,YFT,1294
1947,CHL,HAR,SWO,1701
1947,UNK,LP,SKJ,19835
1947,UNK,LP,YFT,55852
1947,UNK,PS,SKJ,3618
1947,UNK,PS,YFT,11509
1947,UNK,UNK,SKJ,814
1947,UNK,UNK,YFT,5283
1948,CHL,HAR,SWO,1209
1948,UNK,LP,SKJ,24263
1948,UNK,LP,YFT,71108
1948,UNK,PS,SKJ,2023
1948,UNK,PS,YFT,15741
1948,UNK,UNK,SKJ,1610
1948,UNK,UNK,YFT,7042
1949,CHL,HAR,SWO,690
1949,CHL,UNK,BZX,4250
1949,UNK,LP,SKJ,32411
1949,UNK,LP,YFT,71502
1949,UNK,PS,SKJ,2008
1949,UNK,PS,YFT,11021
1949,UNK,UNK,SKJ,2321
1949,UNK,UNK,YFT,8229
1950,CHL,HAR,SWO,786
1950,CHL,UNK,BZX,2927
1950,UNK,LP,SKJ,49534
1950,UNK,LP,YFT,65921
1950,UNK,PS,SKJ,5741
1950,UNK,PS,YFT,15856
1950,UNK,UNK,SKJ,3375
1950,UNK,UNK,YFT,20197
1951,CHL,HAR,SWO,870
1951,CHL,UNK,BZX,3973
1951,UNK,LP,SKJ,45617
1951,UNK,LP,YFT,65499
1951,UNK,PS,SKJ,5790
1951,UNK,PS,YFT,6598
1951,UNK,UNK,SKJ,3523
1951,UNK,UNK,YFT,12279
1952,CHL,HAR,SWO,570
1952,CHL,UNK,BZX,4886
1952,UNK,LP,SKJ,32724
1952,UNK,LP,YFT,66108
1952,UNK,PS,SKJ,4806
1952,UNK,PS,YFT,13735
1952,UNK,UNK,SKJ,3657
1952,UNK,UNK,YFT,8734
1952,USA,HAR,SWO,175
1952,USA,LTL,ALB,23843
1952,USA,PS,PBF,2076
1952,USA,RG,ALB,1373
1952,USA,RG,PBF,2
1953,CHL,HAR,SWO,416
1953,CHL,UNK,BZX,1974
1953,UNK,LP,SKJ,50812
1953,UNK,LP,YFT,43920
1953,UNK,PS,SKJ,5171
1953,UNK,PS,YFT,16121
1953,UNK,UNK,SKJ,4663
1953,UNK,UNK,YFT,3482
1953,USA,HAR,SWO,94
1953,USA,LTL,ALB,15740
1953,USA,PS,PBF,4433
