Year,Flag,Lat,Lon,BIL,BLM,BUM,MLS,SFA,SSP,SWO
1993,COL,-14.5,-83.5,0,0,0,0,0,0,0
1993,COL,-12.5,-85.5,0,0,0,0,0,0,0
1993,COL,-12.5,-84.5,1,0,0,0,0,0,0
1993,COL,-12.5,-82.5,0,0,0,0,0,0,0
1993,COL,-11.5,-85.5,1,0,0,0,0,0,0
1993,COL,-10.5,-86.5,0,0,0,0,0,0,0
1993,COL,-10.5,-85.5,0,1,0,0,0,0,0
1993,ECU,-14.5,-83.5,1,0,0,0,0,0,0
1993,ECU,-14.5,-82.5,0,0,0,0,0,0,0
1993,ECU,-13.5,-85.5,0,0,0,0,0,0,0
1993,ECU,-13.5,-84.5,3,0,0,0,0,0,0
1993,ECU,-13.5,-83.5,0,0,0,0,0,0,0
1993,ECU,-13.5,-80.5,0,0,0,0,0,0,0
1993,ECU,-12.5,-85.5,0,0,0,0,0,0,0
1993,ECU,-12.5,-84.5,0,0,1,0,0,0,0
1993,ECU,-12.5,-83.5,0,0,0,0,0,0,0
1993,ECU,-12.5,-82.5,0,0,1,0,0,0,0
1993,ECU,-11.5,-86.5,0,0,0,0,0,0,0
1993,ECU,-11.5,-85.5,1,0,1,0,0,0,0
1993,ECU,-10.5,-82.5,0,0,2,0,0,0,0
1993,ECU,-8.5,-84.5,0,0,0,0,0,0,0
1993,ECU,-3.5,-81.5,0,0,0,0,0,0,0
1993,ECU,-3.5,-80.5,0,0,0,0,0,0,0
1993,MEX,-16.5,-80.5,0,3,0,0,0,0,0
1993,MEX,-16.5,-79.5,0,0,0,0,0,0,0
1993,MEX,-15.5,-81.5,0,0,0,0,0,0,0
1993,MEX,-15.5,-80.5,0,0,0,0,0,0,0
1993,MEX,-15.5,-79.5,2,0,0,0,0,0,0
1993,MEX,-14.5,-82.5,0,0,0,0,0,0,0
1993,MEX,-14.5,-81.5,0,0,0,1,0,0,0
1993,MEX,-14.5,-80.5,0,0,0,0,0,0,0
1993,MEX,-13.5,-85.5,0,0,0,0,0,0,0
1993,MEX,-13.5,-82.5,0,0,0,0,0,0,0
1993,MEX,-13.5,-81.5,0,0,1,0,0,0,0
1993,MEX,-11.5,-85.5,0,0,0,0,0,0,0
1993,MEX,-11.5,-84.5,0,0,0,0,0,0,0
