Year,Flag,Lat,Lon,BSH,CCL,FAL,MAK,OCS,RSK,SKH,SMA,SPN,THR
1979,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-2.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-2.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,TWN,-17.5,-122.5,0,0,0,0,0,0,0.14,0,0,0
1979,TWN,-17.5,-117.5,0,0,0,0,0,0,1.34,0,0,0
1979,TWN,-17.5,-112.5,0,0,0,0,0,0,0.71,0,0,0
1979,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-2.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,TWN,-17.5,-127.5,0,0,0,0,0,0,0.81,0,0,0
1979,TWN,-17.5,-122.5,0,0,0,0,0,0,0.3,0,0,0
1979,TWN,-12.5,-142.5,0,0,0,0,0,0,0.12,0,0,0
1979,KOR,-42.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-37.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-37.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-37.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-37.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-37.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-27.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-37.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-142.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-27.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,12.5,-87.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1979,KOR,-32.5,-142.5,0,0,0,0,0,0,0,0,0,0
