Year,Flag,Lat,Lon,BSH,CCL,FAL,OCS,SEPN,SKH,SPL,SPN,SPZ,THR
1993,USA,-16.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-16.5,-80.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-15.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-15.5,-80.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-14.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-14.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-14.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-13.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-13.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-13.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-12.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,USA,3.5,-89.5,0,0,0,0,0,0,0,0,0,0
1993,USA,5.5,-92.5,0,0,0,0,0,0,0,0,0,0
1993,USA,5.5,-91.5,0,0,0,0,0,0,0,0,0,0
1993,USA,5.5,-85.5,0,0,0,0,0,0,0,0,0,0
1993,USA,6.5,-95.5,0,0,0,0,0,0,0,0,0,0
1993,USA,6.5,-94.5,0,0,0,0,0,0,0,0,0,0
1993,USA,6.5,-93.5,0,0,0,0,0,0,0,0,0,0
1993,USA,6.5,-91.5,0,0,0,0,0,0,0,0,0,0
1993,USA,6.5,-90.5,0,0,0,0,0,0,0,0,0,0
1993,USA,6.5,-88.5,0,0,0,0,0,0,0,0,0,0
1993,USA,7.5,-96.5,0,0,0,0,0,0,0,0,0,0
1993,USA,7.5,-93.5,0,0,0,0,0,0,0,0,0,0
1993,USA,8.5,-96.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,-17.5,-78.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,-17.5,-77.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,-16.5,-80.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,-16.5,-79.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,-12.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-15.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-15.5,-80.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-13.5,-80.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-11.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-10.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-85.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,-12.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,6.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,8.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,9.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-11.5,-87.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-87.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-8.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-7.5,-87.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,1.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,2.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,3.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,4.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,4.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,4.5,-81.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,5.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,5.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,6.5,-78.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,7.5,-79.5,0,0,0,0,0,0,0,0,0,0
1993,ECU,7.5,-78.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,7.5,-94.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,9.5,-114.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,9.5,-112.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,9.5,-110.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,9.5,-109.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-110.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-109.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-108.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-107.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-106.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,10.5,-91.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,11.5,-107.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,11.5,-105.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,12.5,-111.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,12.5,-108.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,12.5,-105.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,13.5,-107.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,14.5,-108.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,14.5,-107.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,14.5,-101.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,17.5,-104.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,17.5,-102.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,18.5,-111.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,18.5,-110.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,18.5,-105.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,18.5,-104.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,18.5,-103.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,19.5,-106.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,19.5,-105.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,20.5,-106.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,20.5,-105.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,21.5,-106.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,21.5,-105.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,22.5,-106.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,23.5,-108.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,23.5,-107.5,0,0,0,0,0,0,0,0,0,0
1993,MEX,24.5,-109.5,0,0,0,0,0,0,0,0,0,0
1993,Other,-13.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,Other,-13.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,Other,-12.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,Other,-12.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,Other,-11.5,-85.5,0,0,0,0,0,0,0,0,0,0
1993,Other,5.5,-78.5,0,0,0,0,0,0,0,0,0,0
1993,Other,7.5,-79.5,0,0,0,0,0,0,0,0,0,0
1993,Other,7.5,-78.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-14.5,-92.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-13.5,-91.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-12.5,-90.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-12.5,-89.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-12.5,-87.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-11.5,-88.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-11.5,-85.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-11.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-11.5,-82.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-10.5,-89.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-10.5,-86.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-10.5,-84.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-10.5,-83.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-89.5,0,0,0,0,0,0,0,0,0,0
1993,USA,-9.5,-84.5,0,0,0,0,0,0,0,0,0,0
