Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1978,USA,3.5,-79.5,0,0,0,0,0,6.057716,0,4.742284
1978,USA,20.5,-114.5,0,0,0,0,0,3.533668,0,2.766332
1978,USA,23.5,-111.5,0,0,0,0,0,20.8,0,4.5
1978,USA,23.5,-109.5,0,0,0,0,0,0,0,0.9
1978,USA,24.5,-111.5,0,0,0,0,0,1.514429,0,1.185571
1978,USA,25.5,-114.5,0,0,0,0,0,5,0,3.6
1978,USA,25.5,-113.5,0,0,0,0,0,0.5048097,0,0.3951903
1978,USA,26.5,-115.5,0,0,0,0,0,39.82388,0,31.17612
1978,USA,26.5,-114.5,0,0,0,0,0,130.5846,0,154.3154
1978,USA,26.5,-113.5,0,0,0,0,0,0.6,0,0.2
1978,USA,27.5,-115.5,0,0,0,0,0,16.33242,0,12.26758
1978,USA,27.5,-114.5,0,0,0,0,0,164.0824,0,210.8176
1978,USA,28.5,-115.5,0,0,0,0,0,0,0,41.3
1978,USA,10.5,-109.5,0,0,0,0,0,0,0,7.3
1978,USA,16.5,-117.5,0,0,0,0,0,13.23723,0,11.26277
1978,USA,19.5,-112.5,0,0,0,0,0,21.45035,0,14.54965
1978,USA,23.5,-113.5,0,0,0,0,0,0.2804498,0,0.2195502
1978,USA,23.5,-111.5,0,0,0,0,0,0.7291695,0,0.5708305
1978,USA,24.5,-112.5,0,0,0,9.9,0,1.009619,0,0.7903807
1978,USA,25.5,-113.5,0,0,0,0,0,7.745848,0,2.854152
1978,USA,25.5,-112.5,0,0,0,13.5,0,2.524048,0,1.975952
1978,USA,26.5,-114.5,0,0,0,0,0,7.080138,0,5.719862
1978,USA,26.5,-112.5,0,0,0,0,0,0.5048097,0,0.3951903
1978,USA,27.5,-115.5,0,0,0,0,0,0,0,7.3
1978,USA,27.5,-114.5,0,0,0,0,0,6.716678,0,15.88332
1978,USA,28.5,-115.5,0,0,0,0,0,2.355778,0,1.844221
1978,MEX,19.5,-112.5,0,0,0,0,0,3.5,0,5
1978,MEX,21.5,-111.5,0,0,0,0,0,0.5,0,2
1978,USA,16.5,-117.5,0,0,0,0,0,23.67571,0,56.12429
1978,USA,17.5,-107.5,0,0,0,0,0,11.8,0,0
1978,USA,17.5,-105.5,0,0,0,0,0,3.6,0,1.8
1978,USA,17.5,-104.5,0,0,0,0,0,5.5,0,1.8
1978,USA,18.5,-114.5,0,0,0,0,0,0,0,0.2
1978,USA,18.5,-106.5,0,0,0,0,0,13.74204,0,10.75796
1978,USA,18.5,-105.5,0,0,0,0,0,15.04747,0,9.352526
1978,USA,19.5,-112.5,0,0,0,0,0,90.8937,0,57.4063
1978,USA,19.5,-107.5,0,0,0,0,0,12.92886,0,2.371142
1978,USA,19.5,-106.5,0,0,0,0,0,9.262526,0,5.137474
1978,USA,20.5,-107.5,0,0,0,0,0,2.30481,0,0.3951903
1978,USA,20.5,-106.5,0,0,0,0,0,9.9,0,7
1978,USA,21.5,-108.5,0,0,0,0,0,3.028858,0,2.371142
1978,USA,21.5,-107.5,0,0,0,0,0,1.8,0,5
1978,USA,22.5,-112.5,0,0,0,0,0,1.009619,0,0.7903807
1978,USA,22.5,-111.5,0,0,0,0,0,1.514429,0,1.185571
1978,USA,22.5,-110.5,0,0,0,0,0,8.933668,0,3.666332
1978,USA,22.5,-109.5,0,0,0,0,0,2.019239,0,3.380761
1978,USA,22.5,-108.5,0,0,0,0,0,0.5048097,0,0.3951903
1978,USA,23.5,-112.5,0,0,0,0,0,13.75259,0,10.74741
1978,USA,23.5,-111.5,0,0,0,0,0,3.98526,0,0.6147405
1978,USA,23.5,-109.5,0,0,0,0,0,0.8974394,0,0.7025605
1978,USA,24.5,-112.5,0,0,0,0,0,2.3,0,1.9
1978,MEX,19.5,-112.5,0,0,0,0,0,9,0,1
1978,MEX,19.5,-107.5,0,0,0,0,0,5,0,2
1978,MEX,20.5,-107.5,0,0,0,0,0,15,0,4
1978,MEX,20.5,-106.5,0,0,0,0,0,13,0,9
1978,MEX,20.5,-105.5,0,0,0,0,0,0,0,6
1978,USA,16.5,-117.5,0,0,0,0,0,55.34055,0,52.55945
1978,USA,18.5,-104.5,0,0,0,0,0,0,0,1.8
1978,USA,19.5,-112.5,0,0,0,0,0,59.44048,0,35.95951
1978,USA,19.5,-108.5,0,0,0,0,0,30.49619,0,16.50381
1978,USA,19.5,-107.5,0,0,0,0,0,33.4,0,4.5
1978,USA,19.5,-106.5,0,0,0,0,0,6.3,0,2.3
1978,USA,20.5,-108.5,0,0,0,0,0,9,0,9.9
1978,USA,20.5,-107.5,0,0,0,0,0,67.22837,0,64.97163
1978,USA,20.5,-106.5,0,0,0,0,0,45.99664,0,35.30336
1978,USA,20.5,-105.5,0,0,0,0,0,5.109308,0,33.99069
1978,USA,21.5,-111.5,0,0,0,0,0,3.6,0,0
1978,USA,21.5,-110.5,0,0,0,0,0,0.4,0,0
1978,USA,21.5,-109.5,0,0,0,0,0,13.30419,0,3.995813
1978,USA,21.5,-108.5,0,0,0,0,0,32.98602,0,29.41398
1978,USA,21.5,-107.5,0,0,0,0,0,13.60962,0,2.590381
1978,USA,22.5,-112.5,0,0,0,0,0,1.346159,0,1.053841
1978,USA,22.5,-110.5,0,0,0,0,0,0.5048097,0,0.3951903
1978,USA,22.5,-109.5,0,0,0,0,0,0.9,0,6.3
1978,USA,22.5,-107.5,0,0,0,0,0,1.009619,0,0.7903807
1978,USA,23.5,-113.5,0,0,0,0,0,5.4,0,0
1978,USA,23.5,-111.5,0,0,0,0,0,5.216367,0,5.883633
1978,USA,23.5,-109.5,0,0,0,0,0,0,0,7.2
1978,USA,23.5,-107.5,0,0,0,0,0,0.9,0,0
1978,USA,24.5,-114.5,0,0,0,0,0,7.3,0,0
1978,USA,24.5,-112.5,0,0,0,0,0,0.5,0,0.9
1978,USA,24.5,-111.5,0,0,0,0,0,2.075329,0,1.624671
1978,USA,24.5,-110.5,0,0,0,0,0,1.290069,0,1.009931
1978,MEX,22.5,-109.5,0,0,0,0,0,0.4797607,0,1.420239
1978,MEX,22.5,-108.5,0,0,0,0,0,16,0,10.4
