Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,FRZ,PBF,SKJ,TUN,YFT
1958,USA,18.5,-114.5,0,0,0,0,0,0,0,0,26.3
1958,USA,18.5,-110.5,0,0,0,0,0,0,54.4,0,0
1958,USA,19.5,-110.5,0,0,0,0,0,0,0,0,9.1
1959,USA,15.5,-97.5,0,0,0,0,0,0,0,0,99.9
1959,USA,16.5,-100.5,0,0,0,0,0,0,0,0,0
1959,USA,16.5,-99.5,0,0,0,0,0,0,0,0,5.4
1959,USA,17.5,-101.5,0,0,0,0,0,0,0,0,89.8
1959,USA,17.5,-100.5,0,0,0,0,0,0,0,0,73.5
1959,USA,18.5,-114.5,0,0,0,0,0,0,2.94,0,7.05
1959,USA,18.5,-110.5,0,0,0,0,0,0,2.36,0,5.83
1959,USA,18.5,-104.5,0,0,0,0,0,0,0,0,0
1959,USA,19.5,-110.5,0,0,0,0,0,0,0,0,0
1959,USA,20.5,-106.5,0,0,0,0,0,0,0,0,13.6
1959,USA,20.5,-105.5,0,0,0,0,0,0,0,0,0
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,282
1959,USA,23.5,-107.5,0,0,0,0,0,0,0,0,22.6
1959,USA,29.5,-118.5,0,0,0,0,0,0,0,0,0
1959,USA,17.5,-101.5,0,0,0,0,0,0,0,0,1.8
1959,USA,18.5,-110.5,0,0,0,0,0,0,0,0,18.2
1959,USA,18.5,-103.5,0,0,0,0,0,0,0,0,2.7
1959,USA,19.5,-110.5,0,0,0,0,0,0,0,0,28.1
1959,USA,19.5,-105.5,0,0,0,0,0,0,0,0,0
1959,USA,20.5,-106.5,0,0,0,0,0,0,0,0,0
1959,USA,20.5,-105.5,0,0,0,0,0,0,0,0,4.5
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,0
1959,USA,22.5,-107.5,0,0,0,0,0,0,0,0,119
1959,USA,23.5,-109.5,0,0,0,0,0,0,0,0,7.3
1959,USA,23.5,-108.5,0,0,0,0,0,0,0,0,156
1959,USA,23.5,-107.5,0,0,0,0,0,0,0,0,1303.6
1959,USA,23.5,-106.5,0,0,0,0,0,0,0,0,65.3
1959,USA,24.5,-110.5,0,0,0,0,0,0,0,0,0
1959,USA,24.5,-109.5,0,0,0,0,0,0,0,0,393.6
1959,USA,24.5,-108.5,0,0,0,0,0,0,0,0,570.6
1959,USA,25.5,-109.5,0,0,0,0,0,0,0,0,862
1959,USA,25.5,-108.5,0,0,0,0,0,0,0,0,69
1959,USA,29.5,-118.5,0,0,0,0,0,100.6,0,0,0
1959,USA,18.5,-103.5,0,0,0,0,0,0,0,0,31.8
1959,USA,21.5,-107.5,0,0,0,0,0,0,0,0,39
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,9.1
1959,USA,22.5,-110.5,0,0,0,0,0,0,0,0,36.3
1959,USA,22.5,-107.5,0,0,0,0,0,0,0,0,206.8
1959,USA,22.5,-106.5,0,0,0,0,0,0,0,0,93.5
1959,USA,23.5,-111.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-110.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-109.5,0,0,0,0,0,0,0,0,59.8
1959,USA,23.5,-108.5,0,0,0,0,0,0,4.44,0,527.05
1959,USA,23.5,-107.5,0,0,0,0,0,0,10,0,3822.2
1959,USA,23.5,-106.5,0,0,0,0,0,0,9.1,0,322.7
1959,USA,24.5,-110.5,0,0,0,0,0,0,0,0,68
1959,USA,24.5,-109.5,0,0,0,0,0,0,2.7,0,439
1959,USA,24.5,-108.5,0,0,0,0,0,0,1.16,0,497.83
1959,USA,24.5,-107.5,0,0,0,0,0,0,0,0,66.2
1959,USA,29.5,-118.5,0,0,0,0,0,9.1,0,0,0
1959,USA,-3.5,-81.5,0,0,0,0,0,0,117.9,0,48.1
1959,USA,-3.5,-80.5,0,0,0,0,0,0,233.2,0,41.7
