FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
91,3,31,1
16,4,31,1
1000,2,31,1
157,1,31,1
110,5,31,1
118,8,31,1
187,5,31,1
141,8,31,1
165,8,31,1
49,7,31,1
124,7,31,1
49,7,50,10
110,5,50,10
26,5,50,10
28,4,50,10
30,7,50,10
35,7,50,10
13,4,50,10
75,7,50,10
122,4,50,10
16,4,50,10
187,5,50,10
91,3,50,10
124,7,50,10
32,3,50,10
31,3,50,10
157,1,50,10
137,7,50,10
141,8,50,10
165,8,50,10
118,8,50,10
1000,2,50,10
35,7,32,22
13,4,32,22
157,1,32,22
141,8,32,22
95,3,32,22
30,7,32,22
122,4,32,22
60,6,32,22
50,4,32,22
187,5,32,22
118,8,32,22
26,5,32,22
28,4,32,22
165,8,32,22
137,7,32,22
32,3,32,22
124,7,32,22
135,4,32,22
91,3,32,22
41,7,32,22
1000,2,32,22
110,5,32,22
16,4,32,22
75,7,32,22
31,3,32,22
49,7,32,22
165,8,41,43
16,4,41,43
190,7,41,43
91,3,41,43
49,7,41,43
124,7,41,43
32,3,41,43
110,5,41,43
31,3,41,43
75,7,41,43
1000,2,41,43
141,8,41,43
118,8,41,43
137,7,41,43
26,5,41,43
28,4,41,43
79,7,41,43
50,4,41,43
122,4,41,43
35,7,41,43
13,4,41,43
30,7,41,43
187,5,41,43
135,4,41,43
41,7,41,43
157,1,41,43
35,7,32,67
13,4,32,67
157,1,32,67
141,8,32,67
95,3,32,67
30,7,32,67
122,4,32,67
60,6,32,67
50,4,32,67
187,5,32,67
118,8,32,67
26,5,32,67
28,4,32,67
165,8,32,67
137,7,32,67
32,3,32,67
124,7,32,67
135,4,32,67
91,3,32,67
41,7,32,67
1000,2,32,67
110,5,32,67
16,4,32,67
75,7,32,67
31,3,32,67
49,7,32,67
60,6,61,19
26,5,61,19
110,5,61,19
1000,2,61,19
137,7,61,19
124,7,61,19
35,7,61,19
135,4,61,19
49,7,61,19
187,5,61,19
41,7,61,19
75,7,61,19
30,7,61,19
60,6,61,67
26,5,61,67
110,5,61,67
1000,2,61,67
137,7,61,67
124,7,61,67
35,7,61,67
135,4,61,67
49,7,61,67
187,5,61,67
41,7,61,67
75,7,61,67
30,7,61,67
60,6,61,21
26,5,61,21
110,5,61,21
1000,2,61,21
137,7,61,21
124,7,61,21
35,7,61,21
135,4,61,21
49,7,61,21
187,5,61,21
41,7,61,21
75,7,61,21
30,7,61,21
60,6,61,41
26,5,61,41
110,5,61,41
1000,2,61,41
137,7,61,41
124,7,61,41
35,7,61,41
135,4,61,41
49,7,61,41
187,5,61,41
41,7,61,41
75,7,61,41
30,7,61,41
60,6,61,56
26,5,61,56
110,5,61,56
1000,2,61,56
137,7,61,56
124,7,61,56
35,7,61,56
135,4,61,56
49,7,61,56
187,5,61,56
41,7,61,56
75,7,61,56
30,7,61,56
91,3,31,5
16,4,31,5
1000,2,31,5
157,1,31,5
110,5,31,5
118,8,31,5
187,5,31,5
141,8,31,5
165,8,31,5
49,7,31,5
124,7,31,5
91,3,31,6
16,4,31,6
1000,2,31,6
157,1,31,6
110,5,31,6
118,8,31,6
187,5,31,6
141,8,31,6
165,8,31,6
49,7,31,6
124,7,31,6
49,7,50,13
110,5,50,13
26,5,50,13
28,4,50,13
30,7,50,13
35,7,50,13
13,4,50,13
75,7,50,13
122,4,50,13
16,4,50,13
187,5,50,13
91,3,50,13
124,7,50,13
32,3,50,13
31,3,50,13
157,1,50,13
137,7,50,13
141,8,50,13
165,8,50,13
118,8,50,13
1000,2,50,13
49,7,50,14
110,5,50,14
26,5,50,14
28,4,50,14
30,7,50,14
35,7,50,14
13,4,50,14
75,7,50,14
122,4,50,14
16,4,50,14
187,5,50,14
91,3,50,14
124,7,50,14
32,3,50,14
31,3,50,14
157,1,50,14
137,7,50,14
141,8,50,14
165,8,50,14
118,8,50,14
1000,2,50,14
49,7,50,15
110,5,50,15
26,5,50,15
28,4,50,15
30,7,50,15
35,7,50,15
13,4,50,15
75,7,50,15
122,4,50,15
16,4,50,15
187,5,50,15
91,3,50,15
124,7,50,15
32,3,50,15
31,3,50,15
157,1,50,15
137,7,50,15
141,8,50,15
165,8,50,15
118,8,50,15
1000,2,50,15
35,7,32,30
13,4,32,30
157,1,32,30
141,8,32,30
95,3,32,30
30,7,32,30
122,4,32,30
60,6,32,30
50,4,32,30
187,5,32,30
118,8,32,30
26,5,32,30
28,4,32,30
165,8,32,30
137,7,32,30
32,3,32,30
124,7,32,30
135,4,32,30
91,3,32,30
41,7,32,30
1000,2,32,30
110,5,32,30
16,4,32,30
75,7,32,30
31,3,32,30
49,7,32,30
35,7,32,31
13,4,32,31
157,1,32,31
141,8,32,31
95,3,32,31
30,7,32,31
122,4,32,31
60,6,32,31
50,4,32,31
187,5,32,31
118,8,32,31
26,5,32,31
28,4,32,31
165,8,32,31
137,7,32,31
32,3,32,31
124,7,32,31
135,4,32,31
91,3,32,31
41,7,32,31
1000,2,32,31
110,5,32,31
16,4,32,31
75,7,32,31
31,3,32,31
49,7,32,31
35,7,32,32
13,4,32,32
157,1,32,32
141,8,32,32
95,3,32,32
30,7,32,32
122,4,32,32
60,6,32,32
50,4,32,32
187,5,32,32
118,8,32,32
26,5,32,32
28,4,32,32
165,8,32,32
137,7,32,32
32,3,32,32
124,7,32,32
135,4,32,32
91,3,32,32
41,7,32,32
1000,2,32,32
110,5,32,32
16,4,32,32
75,7,32,32
31,3,32,32
49,7,32,32
35,7,32,33
13,4,32,33
157,1,32,33
141,8,32,33
95,3,32,33
30,7,32,33
122,4,32,33
60,6,32,33
50,4,32,33
187,5,32,33
118,8,32,33
26,5,32,33
28,4,32,33
165,8,32,33
137,7,32,33
32,3,32,33
124,7,32,33
135,4,32,33
91,3,32,33
41,7,32,33
1000,2,32,33
110,5,32,33
16,4,32,33
75,7,32,33
31,3,32,33
49,7,32,33
35,7,32,34
13,4,32,34
157,1,32,34
141,8,32,34
95,3,32,34
30,7,32,34
122,4,32,34
60,6,32,34
50,4,32,34
187,5,32,34
118,8,32,34
26,5,32,34
28,4,32,34
165,8,32,34
137,7,32,34
32,3,32,34
124,7,32,34
135,4,32,34
91,3,32,34
41,7,32,34
1000,2,32,34
110,5,32,34
16,4,32,34
75,7,32,34
31,3,32,34
49,7,32,34
35,7,32,35
13,4,32,35
157,1,32,35
141,8,32,35
95,3,32,35
30,7,32,35
122,4,32,35
60,6,32,35
50,4,32,35
187,5,32,35
118,8,32,35
26,5,32,35
28,4,32,35
165,8,32,35
137,7,32,35
32,3,32,35
124,7,32,35
135,4,32,35
91,3,32,35
41,7,32,35
1000,2,32,35
110,5,32,35
16,4,32,35
75,7,32,35
31,3,32,35
49,7,32,35
35,7,32,36
13,4,32,36
157,1,32,36
141,8,32,36
95,3,32,36
30,7,32,36
122,4,32,36
60,6,32,36
50,4,32,36
187,5,32,36
118,8,32,36
26,5,32,36
28,4,32,36
165,8,32,36
137,7,32,36
32,3,32,36
124,7,32,36
135,4,32,36
91,3,32,36
41,7,32,36
1000,2,32,36
110,5,32,36
16,4,32,36
75,7,32,36
31,3,32,36
49,7,32,36
35,7,32,38
13,4,32,38
157,1,32,38
141,8,32,38
95,3,32,38
30,7,32,38
122,4,32,38
60,6,32,38
50,4,32,38
187,5,32,38
118,8,32,38
26,5,32,38
28,4,32,38
165,8,32,38
137,7,32,38
32,3,32,38
124,7,32,38
135,4,32,38
91,3,32,38
41,7,32,38
1000,2,32,38
110,5,32,38
16,4,32,38
75,7,32,38
31,3,32,38
49,7,32,38
35,7,32,39
13,4,32,39
157,1,32,39
141,8,32,39
95,3,32,39
30,7,32,39
122,4,32,39
60,6,32,39
50,4,32,39
187,5,32,39
118,8,32,39
26,5,32,39
28,4,32,39
165,8,32,39
137,7,32,39
32,3,32,39
124,7,32,39
135,4,32,39
91,3,32,39
41,7,32,39
1000,2,32,39
110,5,32,39
16,4,32,39
75,7,32,39
31,3,32,39
49,7,32,39
35,7,32,25
13,4,32,25
157,1,32,25
141,8,32,25
95,3,32,25
30,7,32,25
122,4,32,25
60,6,32,25
50,4,32,25
187,5,32,25
118,8,32,25
26,5,32,25
28,4,32,25
165,8,32,25
137,7,32,25
32,3,32,25
124,7,32,25
135,4,32,25
91,3,32,25
41,7,32,25
1000,2,32,25
110,5,32,25
16,4,32,25
75,7,32,25
31,3,32,25
49,7,32,25
35,7,32,23
13,4,32,23
157,1,32,23
141,8,32,23
95,3,32,23
30,7,32,23
122,4,32,23
60,6,32,23
50,4,32,23
187,5,32,23
118,8,32,23
26,5,32,23
28,4,32,23
165,8,32,23
137,7,32,23
32,3,32,23
124,7,32,23
135,4,32,23
91,3,32,23
41,7,32,23
1000,2,32,23
110,5,32,23
16,4,32,23
75,7,32,23
31,3,32,23
49,7,32,23
35,7,32,37
13,4,32,37
157,1,32,37
141,8,32,37
95,3,32,37
30,7,32,37
122,4,32,37
60,6,32,37
50,4,32,37
187,5,32,37
118,8,32,37
26,5,32,37
28,4,32,37
165,8,32,37
137,7,32,37
32,3,32,37
124,7,32,37
135,4,32,37
91,3,32,37
41,7,32,37
1000,2,32,37
110,5,32,37
16,4,32,37
75,7,32,37
31,3,32,37
