BigCellID,BigCellTypeID,x,y
1,1,-99.5,26.5
2,1,-98.5,26.5
3,1,-97.5,21.5
4,1,-97.5,22.5
5,1,-97.5,23.5
6,1,-97.5,24.5
7,1,-97.5,25.5
8,1,-97.5,26.5
9,1,-97.5,27.5
10,1,-97.5,28.5
11,1,-96.5,19.5
12,1,-96.5,20.5
13,1,-96.5,21.5
14,1,-96.5,22.5
15,1,-96.5,23.5
16,1,-96.5,24.5
17,1,-96.5,25.5
18,1,-96.5,26.5
19,1,-96.5,27.5
20,1,-96.5,28.5
21,1,-95.5,18.5
22,1,-95.5,19.5
23,1,-95.5,20.5
24,1,-95.5,21.5
25,1,-95.5,22.5
26,1,-95.5,23.5
27,1,-95.5,24.5
28,1,-95.5,25.5
29,1,-95.5,26.5
30,1,-95.5,27.5
31,1,-95.5,28.5
32,1,-95.5,29.5
33,1,-94.5,18.5
34,1,-94.5,19.5
35,1,-94.5,20.5
36,1,-94.5,21.5
37,1,-94.5,22.5
38,1,-94.5,23.5
39,1,-94.5,24.5
40,1,-94.5,25.5
41,1,-94.5,26.5
42,1,-94.5,27.5
43,1,-94.5,28.5
44,1,-94.5,29.5
45,1,-93.5,18.5
46,1,-93.5,19.5
47,1,-93.5,20.5
48,1,-93.5,21.5
49,1,-93.5,22.5
50,1,-93.5,23.5
51,1,-93.5,24.5
52,1,-93.5,25.5
53,1,-93.5,26.5
54,1,-93.5,27.5
55,1,-93.5,28.5
56,1,-93.5,29.5
57,1,-92.5,18.5
58,1,-92.5,19.5
59,1,-92.5,20.5
60,1,-92.5,21.5
61,1,-92.5,22.5
62,1,-92.5,23.5
63,1,-92.5,24.5
64,1,-92.5,25.5
65,1,-92.5,26.5
66,1,-92.5,27.5
67,1,-92.5,28.5
68,1,-92.5,29.5
69,1,-91.5,20.5
70,1,-91.5,21.5
71,1,-91.5,22.5
72,1,-91.5,23.5
73,1,-91.5,24.5
74,1,-91.5,25.5
75,1,-91.5,26.5
76,1,-91.5,27.5
77,1,-91.5,28.5
78,1,-91.5,29.5
79,1,-90.5,20.5
80,1,-90.5,21.5
81,1,-90.5,22.5
82,1,-90.5,23.5
83,1,-90.5,24.5
84,1,-90.5,25.5
85,1,-90.5,26.5
86,1,-90.5,27.5
87,1,-90.5,28.5
88,1,-90.5,29.5
89,1,-89.5,12.5
90,1,-89.5,21.5
91,1,-89.5,23.5
92,1,-89.5,24.5
93,1,-89.5,25.5
94,1,-89.5,26.5
95,1,-89.5,27.5
96,1,-89.5,28.5
97,1,-89.5,29.5
98,1,-89.5,30.5
99,1,-88.5,11.5
100,1,-88.5,21.5
101,1,-88.5,22.5
102,1,-88.5,23.5
103,1,-88.5,24.5
104,1,-88.5,25.5
105,1,-88.5,26.5
106,1,-88.5,27.5
107,1,-88.5,28.5
108,1,-88.5,29.5
109,1,-88.5,30.5
110,1,-87.5,9.5
111,1,-87.5,11.5
112,1,-87.5,18.5
113,1,-87.5,21.5
114,1,-87.5,22.5
115,1,-87.5,23.5
116,1,-87.5,24.5
117,1,-87.5,25.5
118,1,-87.5,26.5
119,1,-87.5,27.5
120,1,-87.5,28.5
121,1,-87.5,29.5
122,1,-87.5,30.5
123,1,-86.5,5.5
124,1,-86.5,6.5
125,1,-86.5,7.5
126,1,-86.5,8.5
127,1,-86.5,10.5
128,1,-86.5,11.5
129,1,-86.5,12.5
130,1,-86.5,18.5
131,1,-86.5,19.5
132,1,-86.5,20.5
133,1,-86.5,21.5
134,1,-86.5,22.5
135,1,-86.5,23.5
136,1,-86.5,24.5
137,1,-86.5,25.5
138,1,-86.5,26.5
139,1,-86.5,27.5
140,1,-86.5,28.5
141,1,-86.5,29.5
142,1,-86.5,30.5
143,1,-85.5,8.5
144,1,-85.5,9.5
145,1,-85.5,10.5
146,1,-85.5,11.5
147,1,-85.5,17.5
148,1,-85.5,18.5
149,1,-85.5,20.5
150,1,-85.5,21.5
151,1,-85.5,22.5
152,1,-85.5,23.5
153,1,-85.5,24.5
154,1,-85.5,25.5
155,1,-85.5,26.5
156,1,-85.5,27.5
157,1,-85.5,28.5
158,1,-85.5,29.5
159,1,-85.5,30.5
160,1,-84.5,5.5
161,1,-84.5,6.5
162,1,-84.5,7.5
163,1,-84.5,8.5
164,1,-84.5,9.5
165,1,-84.5,10.5
166,1,-84.5,11.5
167,1,-84.5,14.5
168,1,-84.5,16.5
169,1,-84.5,17.5
170,1,-84.5,18.5
171,1,-84.5,19.5
172,1,-84.5,20.5
173,1,-84.5,21.5
174,1,-84.5,22.5
175,1,-84.5,23.5
176,1,-84.5,24.5
177,1,-84.5,25.5
178,1,-84.5,26.5
179,1,-84.5,27.5
180,1,-84.5,28.5
181,1,-84.5,29.5
182,1,-84.5,30.5
183,1,-83.5,5.5
184,1,-83.5,6.5
185,1,-83.5,7.5
186,1,-83.5,10.5
187,1,-83.5,11.5
188,1,-83.5,12.5
189,1,-83.5,13.5
190,1,-83.5,16.5
191,1,-83.5,17.5
192,1,-83.5,18.5
193,1,-83.5,19.5
194,1,-83.5,21.5
195,1,-83.5,22.5
196,1,-83.5,23.5
197,1,-83.5,24.5
198,1,-83.5,25.5
199,1,-83.5,26.5
200,1,-83.5,27.5
201,1,-83.5,28.5
202,1,-83.5,29.5
203,1,-83.5,30.5
204,1,-82.5,5.5
205,1,-82.5,10.5
206,1,-82.5,11.5
207,1,-82.5,13.5
208,1,-82.5,16.5
209,1,-82.5,17.5
210,1,-82.5,18.5
211,1,-82.5,19.5
212,1,-82.5,21.5
213,1,-82.5,22.5
214,1,-82.5,23.5
215,1,-82.5,24.5
216,1,-82.5,25.5
217,1,-82.5,26.5
218,1,-82.5,27.5
219,1,-82.5,28.5
220,1,-82.5,29.5
221,1,-81.5,6.5
222,1,-81.5,7.5
223,1,-81.5,9.5
224,1,-81.5,10.5
225,1,-81.5,11.5
226,1,-81.5,12.5
227,1,-81.5,14.5
228,1,-81.5,15.5
229,1,-81.5,16.5
230,1,-81.5,17.5
231,1,-81.5,18.5
232,1,-81.5,19.5
233,1,-81.5,20.5
234,1,-81.5,21.5
235,1,-81.5,23.5
236,1,-81.5,24.5
237,1,-81.5,25.5
238,1,-81.5,26.5
239,1,-81.5,27.5
240,1,-81.5,29.5
241,1,-81.5,30.5
242,1,-81.5,31.5
243,1,-81.5,32.5
244,1,-80.5,6.5
245,1,-80.5,9.5
246,1,-80.5,11.5
247,1,-80.5,12.5
248,1,-80.5,13.5
249,1,-80.5,14.5
250,1,-80.5,15.5
251,1,-80.5,16.5
252,1,-80.5,19.5
253,1,-80.5,20.5
254,1,-80.5,21.5
255,1,-80.5,22.5
256,1,-80.5,23.5
257,1,-80.5,24.5
258,1,-80.5,25.5
259,1,-80.5,26.5
260,1,-80.5,27.5
261,1,-80.5,28.5
262,1,-80.5,29.5
263,1,-80.5,30.5
264,1,-80.5,31.5
265,1,-80.5,32.5
266,1,-79.5,6.5
267,1,-79.5,9.5
268,1,-79.5,10.5
269,1,-79.5,11.5
270,1,-79.5,12.5
271,1,-79.5,13.5
272,1,-79.5,14.5
273,1,-79.5,15.5
274,1,-79.5,16.5
275,1,-79.5,17.5
276,1,-79.5,19.5
277,1,-79.5,20.5
278,1,-79.5,21.5
279,1,-79.5,22.5
280,1,-79.5,23.5
281,1,-79.5,24.5
282,1,-79.5,25.5
283,1,-79.5,26.5
284,1,-79.5,27.5
285,1,-79.5,28.5
286,1,-79.5,29.5
287,1,-79.5,30.5
288,1,-79.5,31.5
289,1,-79.5,32.5
290,1,-79.5,33.5
291,1,-78.5,7.5
292,1,-78.5,8.5
293,1,-78.5,9.5
294,1,-78.5,10.5
295,1,-78.5,11.5
296,1,-78.5,13.5
297,1,-78.5,14.5
298,1,-78.5,15.5
299,1,-78.5,16.5
300,1,-78.5,18.5
301,1,-78.5,19.5
302,1,-78.5,20.5
303,1,-78.5,21.5
304,1,-78.5,22.5
305,1,-78.5,23.5
306,1,-78.5,24.5
307,1,-78.5,25.5
308,1,-78.5,26.5
309,1,-78.5,27.5
310,1,-78.5,28.5
311,1,-78.5,29.5
312,1,-78.5,30.5
313,1,-78.5,31.5
314,1,-78.5,32.5
315,1,-78.5,33.5
316,1,-77.5,10.5
317,1,-77.5,11.5
318,1,-77.5,12.5
319,1,-77.5,13.5
320,1,-77.5,14.5
321,1,-77.5,15.5
322,1,-77.5,16.5
323,1,-77.5,17.5
324,1,-77.5,18.5
325,1,-77.5,22.5
326,1,-77.5,25.5
327,1,-77.5,26.5
328,1,-77.5,27.5
329,1,-77.5,28.5
330,1,-77.5,29.5
331,1,-77.5,30.5
332,1,-77.5,31.5
333,1,-77.5,32.5
334,1,-77.5,33.5
335,1,-77.5,34.5
336,1,-77.5,35.5
337,1,-77.5,37.5
338,1,-77.5,38.5
339,1,-76.5,10.5
340,1,-76.5,11.5
341,1,-76.5,12.5
342,1,-76.5,14.5
343,1,-76.5,15.5
344,1,-76.5,16.5
345,1,-76.5,17.5
346,1,-76.5,18.5
347,1,-76.5,19.5
348,1,-76.5,21.5
349,1,-76.5,22.5
350,1,-76.5,24.5
351,1,-76.5,25.5
352,1,-76.5,26.5
353,1,-76.5,27.5
354,1,-76.5,28.5
355,1,-76.5,29.5
356,1,-76.5,30.5
357,1,-76.5,31.5
358,1,-76.5,32.5
359,1,-76.5,33.5
360,1,-76.5,34.5
361,1,-76.5,35.5
362,1,-76.5,36.5
363,1,-76.5,37.5
364,1,-76.5,38.5
365,1,-76.5,39.5
366,1,-75.5,11.5
367,1,-75.5,12.5
368,1,-75.5,13.5
369,1,-75.5,14.5
370,1,-75.5,15.5
371,1,-75.5,16.5
372,1,-75.5,17.5
373,1,-75.5,18.5
374,1,-75.5,19.5
375,1,-75.5,20.5
376,1,-75.5,21.5
377,1,-75.5,22.5
378,1,-75.5,24.5
379,1,-75.5,25.5
380,1,-75.5,26.5
381,1,-75.5,27.5
382,1,-75.5,28.5
383,1,-75.5,29.5
384,1,-75.5,30.5
385,1,-75.5,31.5
386,1,-75.5,32.5
387,1,-75.5,33.5
388,1,-75.5,34.5
389,1,-75.5,35.5
390,1,-75.5,36.5
391,1,-75.5,37.5
392,1,-75.5,38.5
393,1,-75.5,39.5
394,1,-74.5,11.5
395,1,-74.5,12.5
396,1,-74.5,13.5
397,1,-74.5,14.5
398,1,-74.5,15.5
399,1,-74.5,16.5
400,1,-74.5,17.5
401,1,-74.5,18.5
