FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
1,6,100,41
1,6,100,63
4,1,100,41
4,1,100,63
6,11,100,41
6,11,100,63
120,4,100,41
120,4,100,63
11,4,100,41
11,4,100,63
45,1,100,41
45,1,100,63
24,3,100,41
24,3,100,63
25,1,100,41
25,1,100,63
28,4,100,41
28,4,100,63
30,11,100,41
30,11,100,63
35,11,100,41
35,11,100,63
38,1,100,41
38,1,100,63
41,11,100,41
41,11,100,63
43,4,100,41
43,4,100,63
48,4,100,41
48,4,100,63
182,1,100,41
182,1,100,63
21,6,100,41
21,6,100,63
46,13,100,41
46,13,100,63
165,13,100,41
165,13,100,63
53,13,100,41
53,13,100,63
58,13,100,41
58,13,100,63
66,13,100,41
66,13,100,63
70,6,100,41
70,6,100,63
86,13,100,41
86,13,100,63
88,13,100,41
88,13,100,63
98,13,100,41
98,13,100,63
101,13,100,41
101,13,100,63
106,7,100,41
106,7,100,63
118,13,100,41
118,13,100,63
140,13,100,41
140,13,100,63
141,13,100,41
141,13,100,63
169,13,100,41
169,13,100,63
183,13,100,41
183,13,100,63
55,11,100,41
55,11,100,63
54,13,100,41
54,13,100,63
62,1,100,41
62,1,100,63
64,1,100,41
64,1,100,63
63,3,100,41
63,3,100,63
67,1,100,41
67,1,100,63
72,4,100,41
72,4,100,63
75,11,100,41
75,11,100,63
142,1,100,41
142,1,100,63
51,1,100,41
51,1,100,63
76,1,100,41
76,1,100,63
77,11,100,41
77,11,100,63
79,11,100,41
79,11,100,63
81,13,100,41
81,13,100,63
90,4,100,41
90,4,100,63
91,5,100,41
91,5,100,63
99,1,100,41
99,1,100,63
113,1,100,41
113,1,100,63
108,1,100,41
108,1,100,63
3000,13,100,41
3000,13,100,63
116,1,100,41
116,1,100,63
1000,2,100,41
1000,2,100,63
125,1,100,41
125,1,100,63
128,13,100,41
128,13,100,63
138,3,100,41
138,3,100,63
148,10,100,41
148,10,100,63
155,1,100,41
155,1,100,63
194,6,100,41
194,6,100,63
158,1,100,41
158,1,100,63
154,4,100,41
154,4,100,63
152,4,100,41
152,4,100,63
168,11,100,41
168,11,100,63
170,3,100,41
170,3,100,63
172,1,100,41
172,1,100,63
177,1,100,41
177,1,100,63
178,3,100,41
178,3,100,63
187,8,100,41
187,8,100,63
2000,12,100,41
2000,12,100,63
181,6,100,41
181,6,100,63
189,11,100,41
189,11,100,63
122,7,100,41
122,7,100,63
147,6,100,63
1,6,200,65
1,6,200,64
4,1,200,65
4,1,200,64
6,11,200,65
6,11,200,64
120,4,200,65
120,4,200,64
11,4,200,65
11,4,200,64
45,1,200,65
45,1,200,64
24,3,200,65
24,3,200,64
25,1,200,65
25,1,200,64
28,4,200,65
28,4,200,64
30,11,200,65
30,11,200,64
35,11,200,65
35,11,200,64
38,1,200,65
38,1,200,64
41,11,200,65
41,11,200,64
43,4,200,65
43,4,200,64
48,4,200,65
48,4,200,64
182,1,200,65
182,1,200,64
21,6,200,65
21,6,200,64
46,13,200,65
46,13,200,64
165,13,200,65
165,13,200,64
53,13,200,65
53,13,200,64
58,13,200,65
58,13,200,64
66,13,200,65
66,13,200,64
86,13,200,65
86,13,200,64
88,13,200,65
88,13,200,64
98,13,200,65
98,13,200,64
101,13,200,65
101,13,200,64
106,7,200,65
106,7,200,64
118,13,200,65
118,13,200,64
140,13,200,65
140,13,200,64
141,13,200,65
141,13,200,64
169,13,200,65
169,13,200,64
183,13,200,65
183,13,200,64
55,11,200,65
55,11,200,64
54,13,200,65
54,13,200,64
62,1,200,65
62,1,200,64
64,1,200,65
64,1,200,64
63,3,200,65
63,3,200,64
67,1,200,65
67,1,200,64
72,4,200,65
72,4,200,64
75,11,200,65
75,11,200,64
142,1,200,65
142,1,200,64
51,1,200,65
51,1,200,64
76,1,200,65
76,1,200,64
77,11,200,65
77,11,200,64
79,11,200,65
79,11,200,64
81,13,200,65
81,13,200,64
90,4,200,65
90,4,200,64
99,1,200,65
99,1,200,64
108,1,200,65
108,1,200,64
3000,13,200,65
3000,13,200,64
116,1,200,65
116,1,200,64
1000,2,200,65
1000,2,200,64
125,1,200,65
125,1,200,64
128,13,200,65
128,13,200,64
138,3,200,65
138,3,200,64
147,6,200,65
147,6,200,64
148,10,200,65
148,10,200,64
155,1,200,65
155,1,200,64
194,6,200,65
194,6,200,64
158,1,200,65
158,1,200,64
154,4,200,65
154,4,200,64
152,4,200,65
152,4,200,64
168,11,200,65
168,11,200,64
170,3,200,65
170,3,200,64
172,1,200,65
172,1,200,64
178,3,200,65
178,3,200,64
187,8,200,65
187,8,200,64
2000,12,200,65
2000,12,200,64
181,6,200,65
181,6,200,64
122,7,200,65
122,7,200,64
4,1,300,60
4,1,300,17
6,11,300,60
6,11,300,17
120,4,300,60
120,4,300,17
11,4,300,60
11,4,300,17
45,1,300,60
45,1,300,17
24,3,300,60
24,3,300,17
25,1,300,60
25,1,300,17
28,4,300,60
28,4,300,17
30,11,300,60
30,11,300,17
35,11,300,60
35,11,300,17
38,1,300,60
38,1,300,17
41,11,300,60
41,11,300,17
43,4,300,60
43,4,300,17
119,4,300,60
119,4,300,17
48,4,300,60
48,4,300,17
182,1,300,60
182,1,300,17
21,6,300,60
21,6,300,17
46,13,300,60
46,13,300,17
165,13,300,60
165,13,300,17
53,13,300,60
53,13,300,17
58,13,300,60
58,13,300,17
66,13,300,60
66,13,300,17
86,13,300,60
86,13,300,17
88,13,300,60
88,13,300,17
98,13,300,60
98,13,300,17
101,13,300,60
101,13,300,17
106,7,300,60
106,7,300,17
118,13,300,60
118,13,300,17
140,13,300,60
140,13,300,17
141,13,300,60
141,13,300,17
169,13,300,60
169,13,300,17
183,13,300,60
183,13,300,17
55,11,300,60
55,11,300,17
54,13,300,60
54,13,300,17
62,1,300,60
62,1,300,17
64,1,300,60
64,1,300,17
63,3,300,60
63,3,300,17
67,1,300,60
67,1,300,17
72,4,300,60
72,4,300,17
75,11,300,60
75,11,300,17
142,1,300,60
142,1,300,17
51,1,300,60
51,1,300,17
76,1,300,60
76,1,300,17
77,11,300,60
77,11,300,17
79,11,300,60
79,11,300,17
81,13,300,60
81,13,300,17
90,4,300,60
90,4,300,17
99,1,300,60
99,1,300,17
113,1,300,60
113,1,300,17
108,1,300,60
108,1,300,17
3000,13,300,60
3000,13,300,17
116,1,300,60
116,1,300,17
1000,2,300,60
1000,2,300,17
125,1,300,60
125,1,300,17
138,3,300,60
138,3,300,17
155,1,300,60
155,1,300,17
194,6,300,60
194,6,300,17
158,1,300,60
158,1,300,17
154,4,300,60
154,4,300,17
152,4,300,60
152,4,300,17
168,11,300,60
168,11,300,17
170,3,300,60
170,3,300,17
172,1,300,60
