SpeciesCode,Year,Flag,GearCode,Catch
BFT,1950,Algerie,TRAP,100
BON,1950,Algerie,UNCL,0
BON,1950,Argentina,PS,0
SKJ,1950,Brazil,BB,0
BON,1950,Brazil,UNCL,0
BFT,1950,Canada,HARPE,357
BFT,1950,Canada,RRFB,75
SWO,1950,Canada,HARP,1290
BLF,1950,Cuba,UNCL,0
SKJ,1950,Cuba,BB,0
SSM,1950,Cuba,UNCL,0
SWO,1950,Cuba,LL,0
BFT,1950,EU-France,GILL,507
BFT,1950,EU-France,BB,1869
ALB,1950,EU-France,TROL,14680
BFT,1950,EU-Greece,HAND,400
BON,1950,EU-Greece,UNCL,200
BON,1950,EU-Italy,UNCL,0
BFT,1950,Libya,TRAP,1000
BFT,1950,EU-Malta,UNCL,100
ALB,1950,EU-Malta,UNCL,0
BON,1950,Maroc,SURF,900
BOP,1950,Maroc,SURF,100
SWO,1950,Maroc,TRAP,0
BET,1950,EU-Portugal,BB,210
BET,1950,EU-Portugal,BB,598
SKJ,1950,EU-Portugal,BB,593
SKJ,1950,EU-Portugal,BB,111
TUN,1950,EU-Portugal,TRAP,41
TUN,1950,EU-Portugal,SURF,230
ALB,1950,South Africa,UNCL,0
ALB,1950,EU-España,TROL,24943
LTA,1950,EU-España,TRAP,2
LTA,1950,EU-España,TRAP,138
BON,1950,EU-España,TRAP,3
BON,1950,EU-España,TRAP,236
SWO,1950,EU-España,LLSWO,1445
SWO,1950,EU-España,LLSWO,586
BFT,1950,Türkiye,TRAP,0
BON,1950,Türkiye,UNCL,0
BFT,1950,USA,PS,1
BFT,1950,USA,TRAP,346
BFT,1950,USA,TRAW,7
BFT,1950,USA,HARP,102
BFT,1950,USA,HAND,79
BFT,1950,USA,GILL,2
BFT,1950,USA,RRFS,38
BFT,1950,USA,LL-B,0
LTA,1950,USA,TRAP,71
LTA,1950,USA,TRAW,1
LTA,1950,USA,HS,62
BON,1950,USA,TROL,18
BON,1950,USA,TRAP,19
BON,1950,USA,HAND,1
BON,1950,USA,GILL,9
BON,1950,USA,HS,8
FRI,1950,USA,TRAP,27
SSM,1950,USA,TROL,167
SSM,1950,USA,TRAP,11
SSM,1950,USA,HAND,36
SSM,1950,USA,GILL,2421
SSM,1950,USA,HS,63
SSM,1950,USA,TN,105
KGM,1950,USA,TROL,609
KGM,1950,USA,TRAP,6
KGM,1950,USA,TRAW,19
KGM,1950,USA,HAND,104
KGM,1950,USA,GILL,2
KGM,1950,USA,HS,1
SAI,1950,USA,RR,0
BUM,1950,USA,RR,0
WHM,1950,USA,RR,0
SWO,1950,USA,HARP,911
BFT,1950,Yugoslavia Fed,PS,657
LTA,1950,Yugoslavia Fed,PS,18
BON,1950,Yugoslavia Fed,PS,47
LTA,1950,Ghana,GILL,0
FRI,1950,Ghana,GILL,0
SWO,1950,Ghana,GILL,0
MAW,1950,Ghana,GILL,0
FRI,1950,Venezuela,SURF,1200
BRS,1950,Venezuela,SURF,3000
SWO,1950,Mexico,LL,0
BLF,1950,EU-France,UNCL,300
BON,1950,EU-France,UNCL,0
CER,1950,EU-France,UNCL,0
LTA,1950,Angola,SURF,3000
SKJ,1950,Angola,BB,0
BON,1950,Angola,SURF,500
FRI,1950,Angola,SURF,4300
MAW,1950,Angola,BB,0
TUN,1950,EU-France,UNCL,400
CER,1950,EU-France,UNCL,100
TUN,1950,Israel,UNCL,100
BON,1950,EU-Bulgaria,UNCL,0
BFT,1951,Algerie,TRAP,100
BON,1951,Algerie,UNCL,0
BON,1951,Argentina,PS,0
SKJ,1951,Brazil,BB,0
BON,1951,Brazil,UNCL,0
BFT,1951,Canada,HARPE,213
BFT,1951,Canada,RRFB,86
SWO,1951,Canada,HARP,1523
BLF,1951,Cuba,UNCL,0
SKJ,1951,Cuba,BB,0
SSM,1951,Cuba,UNCL,0
SWO,1951,Cuba,LL,0
BFT,1951,EU-France,GILL,816
BFT,1951,EU-France,BB,2893
ALB,1951,EU-France,TROL,14703
BFT,1951,EU-Greece,HAND,400
BON,1951,EU-Greece,UNCL,200
BON,1951,EU-Italy,UNCL,0
BFT,1951,Libya,TRAP,1100
BFT,1951,EU-Malta,UNCL,100
ALB,1951,EU-Malta,UNCL,0
BON,1951,Maroc,SURF,900
BOP,1951,Maroc,SURF,100
SWO,1951,Maroc,TRAP,0
BET,1951,EU-Portugal,BB,1106
BET,1951,EU-Portugal,BB,545
SKJ,1951,EU-Portugal,BB,358
SKJ,1951,EU-Portugal,BB,101
TUN,1951,EU-Portugal,TRAP,39
TUN,1951,EU-Portugal,SURF,702
ALB,1951,South Africa,UNCL,0
ALB,1951,EU-España,TROL,19446
LTA,1951,EU-España,TRAP,228
BON,1951,EU-España,TRAP,165
SWO,1951,EU-España,LLSWO,966
SWO,1951,EU-España,LLSWO,580
BFT,1951,Türkiye,TRAP,0
BON,1951,Türkiye,UNCL,0
BFT,1951,USA,PS,100
BFT,1951,USA,TRAP,491
BFT,1951,USA,TRAW,6
BFT,1951,USA,HARP,50
BFT,1951,USA,HAND,148
BFT,1951,USA,GILL,1
BFT,1951,USA,RRFS,1
YFT,1951,USA,HAND,158
LTA,1951,USA,TRAP,167
LTA,1951,USA,TRAW,1
LTA,1951,USA,HAND,1
LTA,1951,USA,GILL,0
BON,1951,USA,PS,0
BON,1951,USA,TROL,6
BON,1951,USA,TRAP,10
BON,1951,USA,TRAW,1
BON,1951,USA,HAND,5
BON,1951,USA,HS,5
FRI,1951,USA,TRAP,1
SSM,1951,USA,TROL,119
SSM,1951,USA,TRAP,17
SSM,1951,USA,HAND,203
SSM,1951,USA,GILL,3539
SSM,1951,USA,HS,53
SSM,1951,USA,TN,15
KGM,1951,USA,TROL,1169
KGM,1951,USA,TRAW,4
KGM,1951,USA,HAND,181
KGM,1951,USA,GILL,28
KGM,1951,USA,HS,43
SAI,1951,USA,RR,0
BUM,1951,USA,RR,0
WHM,1951,USA,RR,0
SWO,1951,USA,HARP,92
BFT,1951,Yugoslavia Fed,PS,531
LTA,1951,Yugoslavia Fed,PS,23
BON,1951,Yugoslavia Fed,PS,48
LTA,1951,Ghana,GILL,0
FRI,1951,Ghana,GILL,0
SWO,1951,Ghana,GILL,0
