SpeciesCode	TaxonKey	SpeciesGroupID
AGN	600736	5
ALB	600142	1
ALS	600858	5
ALV	602535	5
AMB	601005	6
AMX	500928	6
API	400010	5
ASK	400015	5
BET	600146	1
BFT	600147	1
BIL	400419	2
BLF	600144	4
BLM	600217	2
BLR	600877	5
BLT	600093	4
BON	600115	4
BOP	600108	4
BRO	600864	5
BRS	600119	4
BSF	600646	6
BSH	600898	3
BSK	600090	5
BTH	602534	5
BUK	600100	4
BUM	600216	2
CCA	500816	5
CCB	500816	5
CCE	600873	5
CCG	600870	5
CCL	600874	5
CCN	500816	5
CCO	500816	5
CCP	600880	5
CCR	600881	5
CCS	500816	5
CCT	600747	5
CER	600134	4
CFB	600656	5
COM	600121	4
CPL	600650	5
CTK	602540	5
CUT	400415	6
CVJ	600071	6
CVX	300008	5
CXX	200007	5
CYO	600662	5
CYP	600663	5
DCA	600670	5
DGH	300009	5
DGS	600139	5
DGX	400013	5
DGZ	500107	5
DOL	600006	6
DOP	400013	5
DUS	600878	5
ETR	500642	5
ETX	600687	5
FAL	600868	5
FRI	600094	4
FRZ	501163	4
GAG	604642	5
GAR	100039	6
GAU	500640	5
GBA	601235	6
GNC	602532	5
GNG	200004	5
GSK	600138	5
GUP	600648	5
GUQ	600653	5
HXT	600636	5
KAW	600096	4
KGM	600120	4
KGX	500487	4
LAG	601072	6
LEC	601042	6
LEE	100039	6
LES	400488	5
LMA	600753	5
LMD	100039	6
LTA	600097	4
MAC	600118	4
MAS	600117	4
MAW	600141	4
MIX	400416	4
MLS	600223	2
MOP	500358	4
MOX	600117	4
MSK	400009	5
MSP	601823	2
NAU	100039	6
NGB	600897	5
NPH	600131	4
NTC	602531	5
OCS	600875	5
OIL	601044	6
OXN	600719	5
OXY	600718	5
PLS	400020	6
POA	600391	6
POR	600088	5
PSK	605923	5
PTH	605891	5
PTM	602536	5
PXX	200004	5
QUB	100039	6
QUL	300009	5
RHA	400011	5
RHN	602081	5
RHT	600905	5
RHZ	400011	5
RMB	602061	6
RRU	600412	4
RSK	400011	5
RSP	400419	2
RUB	601933	6
SAI	600078	2
SAU	601084	6
SBF	600145	1
SBL	600637	5
SCK	600669	5
SCL	500814	5
SDP	605937	5
SDS	605938	5
SDV	500348	5
SFS	600645	6
SHB	600641	5
SHL	500642	5
SHO	600807	5
SHX	300009	5
SKH	200004	5
SKJ	600107	1
SLT	600091	4
SMA	600752	3
SMD	604996	5
SMT	400416	4
SOR	600704	5
SPF	600220	2
SPJ	600915	5
SPK	600914	5
SPL	600912	5
SPN	500693	5
SPY	400012	5
SPZ	600917	5
SSM	600126	4
SSP	603915	2
STT	400020	6
SWO	600226	2
SYC	600845	5
SYO	300009	5
SYR	600700	5
SYT	600854	5
SYX	400010	5
TCR	400319	6
THR	500639	5
TIG	600886	5
TRI	100039	6
TRK	400488	5
TST	603561	6
TUN	400416	4
TUS	501905	4
TUX	400416	4
WAH	600089	4
WHM	600219	2
WSH	600751	5
YFT	600143	1
YTC	600382	6
AWI	601081	6
BAZ	400360	6
BEN	400207	6
CWO	300009	5
FLY	400206	6
HMM	601278	6
USE	601012	6
YTL	601007	6


