SquareTypeCode,QuadID,Lon,Lat,BigCellTypeID,x,y
5x5,1,0,0,2,2.5,2.5
5x5,1,5,0,2,7.5,2.5
5x5,1,10,0,2,12.5,2.5
5x5,1,15,0,2,17.5,2.5
5x5,1,0,5,2,2.5,7.5
5x5,1,5,5,2,7.5,7.5
5x5,1,10,5,2,12.5,7.5
5x5,1,15,5,2,17.5,7.5
5x5,1,20,5,2,22.5,7.5
5x5,1,10,10,2,12.5,12.5
5x5,1,15,10,2,17.5,12.5
5x5,1,15,15,2,17.5,17.5
5x5,1,15,20,2,17.5,22.5
5x5,1,20,20,2,22.5,22.5
5x5,1,10,25,2,12.5,27.5
5x5,1,15,25,2,17.5,27.5
5x5,1,5,30,2,7.5,32.5
5x5,1,10,30,2,12.5,32.5
5x5,1,15,30,2,17.5,32.5
5x5,1,20,30,2,22.5,32.5
5x5,1,25,30,2,27.5,32.5
5x5,1,30,30,2,32.5,32.5
5x5,1,35,30,2,37.5,32.5
5x5,1,0,35,2,2.5,37.5
5x5,1,5,35,2,7.5,37.5
5x5,1,10,35,2,12.5,37.5
5x5,1,15,35,2,17.5,37.5
5x5,1,20,35,2,22.5,37.5
5x5,1,25,35,2,27.5,37.5
5x5,1,0,40,2,2.5,42.5
5x5,1,5,40,2,7.5,42.5
5x5,1,10,40,2,12.5,42.5
5x5,1,15,40,2,17.5,42.5
5x5,1,20,40,2,22.5,42.5
5x5,1,25,40,2,27.5,42.5
5x5,1,5,45,2,7.5,47.5
5x5,1,0,50,2,2.5,52.5
5x5,1,0,55,2,2.5,57.5
5x5,1,0,60,2,2.5,62.5
5x5,1,5,60,2,7.5,62.5
5x5,1,0,65,2,2.5,67.5
5x5,1,5,65,2,7.5,67.5
5x5,1,10,65,2,12.5,67.5
5x5,1,15,65,2,17.5,67.5
5x5,2,0,0,2,2.5,-2.5
5x5,2,5,0,2,7.5,-2.5
5x5,2,10,0,2,12.5,-2.5
5x5,2,15,0,2,17.5,-2.5
5x5,2,20,0,2,22.5,-2.5
5x5,2,0,5,2,2.5,-7.5
5x5,2,5,5,2,7.5,-7.5
5x5,2,10,5,2,12.5,-7.5
5x5,2,15,5,2,17.5,-7.5
5x5,2,20,5,2,22.5,-7.5
5x5,2,0,10,2,2.5,-12.5
5x5,2,5,10,2,7.5,-12.5
5x5,2,10,10,2,12.5,-12.5
5x5,2,15,10,2,17.5,-12.5
5x5,2,20,10,2,22.5,-12.5
5x5,2,0,15,2,2.5,-17.5
5x5,2,5,15,2,7.5,-17.5
5x5,2,10,15,2,12.5,-17.5
5x5,2,15,15,2,17.5,-17.5
5x5,2,20,15,2,22.5,-17.5
5x5,2,25,15,2,27.5,-17.5
5x5,2,0,20,2,2.5,-22.5
5x5,2,5,20,2,7.5,-22.5
5x5,2,10,20,2,12.5,-22.5
5x5,2,15,20,2,17.5,-22.5
5x5,2,20,20,2,22.5,-22.5
5x5,2,25,20,2,27.5,-22.5
5x5,2,30,20,2,32.5,-22.5
5x5,2,35,20,2,37.5,-22.5
5x5,2,0,25,2,2.5,-27.5
5x5,2,5,25,2,7.5,-27.5
5x5,2,10,25,2,12.5,-27.5
5x5,2,15,25,2,17.5,-27.5
5x5,2,20,25,2,22.5,-27.5
5x5,2,30,25,2,32.5,-27.5
5x5,2,0,30,2,2.5,-32.5
5x5,2,5,30,2,7.5,-32.5
5x5,2,10,30,2,12.5,-32.5
5x5,2,15,30,2,17.5,-32.5
5x5,2,20,30,2,22.5,-32.5
5x5,2,25,30,2,27.5,-32.5
5x5,2,0,35,2,2.5,-37.5
5x5,2,5,35,2,7.5,-37.5
5x5,2,10,35,2,12.5,-37.5
5x5,2,15,35,2,17.5,-37.5
5x5,2,25,35,2,27.5,-37.5
5x5,2,35,35,2,37.5,-37.5
5x5,2,0,40,2,2.5,-42.5
5x5,2,5,40,2,7.5,-42.5
5x5,2,10,40,2,12.5,-42.5
5x5,2,15,40,2,17.5,-42.5
5x5,2,0,45,2,2.5,-47.5
5x5,2,5,45,2,7.5,-47.5
5x5,2,10,45,2,12.5,-47.5
5x5,2,15,45,2,17.5,-47.5
5x5,2,0,50,2,2.5,-52.5
5x5,2,5,50,2,7.5,-52.5
5x5,2,0,55,2,2.5,-57.5
5x5,2,5,55,2,7.5,-57.5
5x5,2,10,55,2,12.5,-57.5
5x5,3,0,0,2,-2.5,-2.5
5x5,3,5,0,2,-7.5,-2.5
5x5,3,10,0,2,-12.5,-2.5
5x5,3,15,0,2,-17.5,-2.5
5x5,3,20,0,2,-22.5,-2.5
5x5,3,25,0,2,-27.5,-2.5
5x5,3,30,0,2,-32.5,-2.5
5x5,3,35,0,2,-37.5,-2.5
5x5,3,40,0,2,-42.5,-2.5
5x5,3,45,0,2,-47.5,-2.5
5x5,3,0,5,2,-2.5,-7.5
5x5,3,5,5,2,-7.5,-7.5
5x5,3,10,5,2,-12.5,-7.5
5x5,3,15,5,2,-17.5,-7.5
5x5,3,20,5,2,-22.5,-7.5
5x5,3,25,5,2,-27.5,-7.5
5x5,3,30,5,2,-32.5,-7.5
5x5,3,35,5,2,-37.5,-7.5
5x5,3,40,5,2,-42.5,-7.5
5x5,3,0,10,2,-2.5,-12.5
5x5,3,5,10,2,-7.5,-12.5
5x5,3,10,10,2,-12.5,-12.5
5x5,3,15,10,2,-17.5,-12.5
5x5,3,20,10,2,-22.5,-12.5
5x5,3,25,10,2,-27.5,-12.5
5x5,3,30,10,2,-32.5,-12.5
5x5,3,35,10,2,-37.5,-12.5
5x5,3,40,10,2,-42.5,-12.5
5x5,3,45,10,2,-47.5,-12.5
5x5,3,60,10,2,-62.5,-12.5
5x5,3,0,15,2,-2.5,-17.5
5x5,3,5,15,2,-7.5,-17.5
5x5,3,10,15,2,-12.5,-17.5
5x5,3,15,15,2,-17.5,-17.5
5x5,3,20,15,2,-22.5,-17.5
5x5,3,25,15,2,-27.5,-17.5
5x5,3,30,15,2,-32.5,-17.5
5x5,3,35,15,2,-37.5,-17.5
5x5,3,40,15,2,-42.5,-17.5
5x5,3,45,15,2,-47.5,-17.5
5x5,3,50,15,2,-52.5,-17.5
5x5,3,55,15,2,-57.5,-17.5
5x5,3,0,20,2,-2.5,-22.5
5x5,3,5,20,2,-7.5,-22.5
5x5,3,10,20,2,-12.5,-22.5
5x5,3,15,20,2,-17.5,-22.5
5x5,3,20,20,2,-22.5,-22.5
5x5,3,25,20,2,-27.5,-22.5
5x5,3,30,20,2,-32.5,-22.5
5x5,3,35,20,2,-37.5,-22.5
5x5,3,40,20,2,-42.5,-22.5
5x5,3,45,20,2,-47.5,-22.5
5x5,3,50,20,2,-52.5,-22.5
5x5,3,55,20,2,-57.5,-22.5
5x5,3,0,25,2,-2.5,-27.5
5x5,3,5,25,2,-7.5,-27.5
5x5,3,10,25,2,-12.5,-27.5
5x5,3,15,25,2,-17.5,-27.5
5x5,3,20,25,2,-22.5,-27.5
5x5,3,25,25,2,-27.5,-27.5
5x5,3,30,25,2,-32.5,-27.5
5x5,3,35,25,2,-37.5,-27.5
5x5,3,40,25,2,-42.5,-27.5
5x5,3,45,25,2,-47.5,-27.5
5x5,3,50,25,2,-52.5,-27.5
5x5,3,60,25,2,-62.5,-27.5
5x5,3,0,30,2,-2.5,-32.5
5x5,3,5,30,2,-7.5,-32.5
5x5,3,10,30,2,-12.5,-32.5
5x5,3,15,30,2,-17.5,-32.5
5x5,3,20,30,2,-22.5,-32.5
5x5,3,25,30,2,-27.5,-32.5
5x5,3,30,30,2,-32.5,-32.5
5x5,3,35,30,2,-37.5,-32.5
5x5,3,40,30,2,-42.5,-32.5
5x5,3,45,30,2,-47.5,-32.5
5x5,3,50,30,2,-52.5,-32.5
5x5,3,55,30,2,-57.5,-32.5
5x5,3,0,35,2,-2.5,-37.5
5x5,3,5,35,2,-7.5,-37.5
5x5,3,10,35,2,-12.5,-37.5
5x5,3,15,35,2,-17.5,-37.5
5x5,3,20,35,2,-22.5,-37.5
5x5,3,25,35,2,-27.5,-37.5
5x5,3,30,35,2,-32.5,-37.5
5x5,3,35,35,2,-37.5,-37.5
5x5,3,40,35,2,-42.5,-37.5
5x5,3,45,35,2,-47.5,-37.5
5x5,3,50,35,2,-52.5,-37.5
5x5,3,55,35,2,-57.5,-37.5
5x5,3,60,35,2,-62.5,-37.5
5x5,3,0,40,2,-2.5,-42.5
5x5,3,5,40,2,-7.5,-42.5
5x5,3,10,40,2,-12.5,-42.5
5x5,3,15,40,2,-17.5,-42.5
5x5,3,20,40,2,-22.5,-42.5
5x5,3,25,40,2,-27.5,-42.5
5x5,3,30,40,2,-32.5,-42.5
5x5,3,35,40,2,-37.5,-42.5
5x5,3,40,40,2,-42.5,-42.5
5x5,3,45,40,2,-47.5,-42.5
5x5,3,50,40,2,-52.5,-42.5
5x5,3,55,40,2,-57.5,-42.5
