FleetID,CountryGroupID,FishingEntityID
001DZ00,1,2
001JP00,1,2
002AR00,11,6
003BB00,11,15
003BO01,11,15
003BR00,11,15
003BR01,11,15
003BR02,11,15
003BR03,11,15
003BR04,11,15
003BR05,11,15
003BR06,11,15
003BR08,11,15
003BR10,11,15
003BR14,11,15
003BR15,11,15
003BR16,11,15
003BR17,11,15
003BR18,11,15
003BR19,11,15
003BR20,11,15
003BR21,11,15
003BR22,11,15
003BR23,11,15
003BR24,11,15
003BZ00,11,15
003CA00,11,15
003CA01,11,15
003ES00,11,15
003ES01,11,15
003ES02,11,15
003GB01,11,15
003GB02,11,15
003GQ00,11,15
003GY00,11,15
003HN00,11,15
003HN02,11,15
003HN03,11,15
003HN04,11,15
003HN05,11,15
003HN06,11,15
003IS00,11,15
003IS01,11,15
003JP00,11,15
003JP01,11,15
003KN00,11,15
003KR00,11,15
003MA01,11,15
003PA00,11,15
003PA02,11,15
003PA03,11,15
003PA04,11,15
003PT00,11,15
003PT01,11,15
003PT02,11,15
003TW00,11,15
003US00,11,15
003US01,11,15
003UY00,11,15
003UY01,11,15
003UY02,11,15
003VC00,11,15
003VU02,11,15
004CA00,8,26
005TW00,5,32
006CU00,4,43
007DK00,13,46
008FR00,13,58
008FR01,13,58
008FR02,13,58
008FR03,13,58
008FR04,13,58
008FR05,13,58
010GR00,6,70
011IT00,13,88
011IT02,13,88
011IT10,13,88
011IT11,13,88
011IT20,13,88
011IT21,13,88
011IT30,13,88
011IT40,13,88
011IT50,13,88
012JP00,5,91
013KR00,5,95
013MT00,5,95
014LY00,1,100
015MT00,7,106
016MA00,1,113
017NO00,13,128
018PL00,13,140
019PT00,13,141
019PT01,13,141
019PT02,13,141
019PT03,13,141
020IS00,1,164
020JP00,1,164
020KR00,1,164
020NA00,1,164
020PH00,1,164
020SC00,1,164
020VC00,1,164
020ZA00,1,164
021ES00,13,165
021ES01,13,165
021ES02,13,165
021ES03,13,165
021ES04,13,165
021ES05,13,165
021ES06,13,165
021ES07,13,165
021ES08,13,165
021ES09,13,165
021ES10,13,165
021ES11,13,165
023FR00,1,177
023LY00,1,177
023TN00,1,177
023TN01,1,177
023TN02,1,177
023TN03,1,177
023TN04,1,177
023TN05,1,177
024TR00,3,178
025US00,8,187
025US01,8,187
025US02,8,187
026YU00,6,4000
027GH00,1,67
027GH03,1,67
027GH04,1,67
028PA00,7,135
028PA01,7,135
028PA02,7,135
028PA03,7,135
028PA04,7,135
028PA05,7,135
029VE00,11,190
029VE01,11,190
029VE02,11,190
030GD00,4,72
031MX00,8,110
034AO00,1,4
034CV00,1,4
034CW00,1,4
034ES00,1,4
034FR00,1,4
034GT00,1,4
034JP00,1,4
034PA00,1,4
034SV00,1,4
035SU00,12,2000
040SL00,1,159
041TT00,4,175
041TT01,4,175
042JP00,11,189
042UY00,11,189
047BG00,6,21
048CY00,7,208
050CI00,1,89
050CI01,1,89
050CI04,1,89
050KR00,1,89
053SN00,1,157
053SN01,1,157
053SN02,1,157
053SN03,1,157
053SN04,1,157
060EG00,1,182
061SH00,4,149
063BB00,4,11
065CV00,1,27
065CV01,1,27
065CV02,1,27
065CV99,1,27
066IE00,13,86
067BJ00,1,45
068GA00,1,62
069CG00,1,38
070NL00,13,118
076CW01,4,214
081GQ00,1,51
083BM00,4,13
101HR00,6,42
104RU00,10,148
104RU02,10,148
105GN00,1,76
105GN01,1,76
110UA00,6,181
111VC00,4,154
112GB00,13,183
113NA00,1,116
116DM00,4,47
118CN00,5,31
134BZ00,7,16
134BZ99,7,16
134CI00,7,16
134ES00,7,16
134GH00,7,16
134JP00,7,16
134NA00,7,16
134SN00,7,16
134TT00,7,16
134UR00,7,16
134ZA00,7,16
148AL00,6,1
152CS00,6,194
156IS00,13,81
164FO00,13,54
165PH00,3,138
167FK00,11,55
172CA00,8,153
172PM00,8,153
179SC00,1,158
185KN01,4,150
185KN02,4,150
193VU00,7,122
196GT01,11,75
197SV01,11,184
199TC00,4,179
199TC01,4,179
201VG00,4,19
203CL00,11,30
501--00,2,1000
501BZ00,2,1000
501CV00,2,1000
501CW00,2,1000
501GH00,2,1000
501GH01,2,1000
501GN00,2,1000
501GT00,2,1000
501IT00,2,1000
501LR00,2,1000
501MA00,2,1000
501MT00,2,1000
501MU00,2,1000
501MY00,2,1000
501NO00,2,1000
501PA00,2,1000
501SC00,2,1000
501SN00,2,1000
501SV00,2,1000
501VC00,2,1000
501VE00,2,1000
501VU00,2,1000
800--00,2,3000
801--00,2,5000
910SH00,91,5
911SH00,5,32
913SH00,7,135
914SH00,5,160
916SH00,1,158
920--00,1,67
921--00,5,91
922--00,4,32
923--00,5,31
016MA01,1,113
185KN00,4,150
111VC99,4,154
027GH01,1,67
064SY00,3,170
