GearCode	Layer3GearID	GearGroupID
BB	1	301
BBF	5	301
BBI	6	301
GILL	13	500
GILLALB	14	500
GILLSWO	15	500
HAND	18	303
HARP	19	604
HARPE	19	604
HS	20	401
LL	22	302
LLALB	35	302
LL-B	23	302
LLBFT	36	302
LL-deri	30	302
LLFB	31	302
LLHB	32	302
LLJAP	33	302
LLMB	38	302
LLPB	39	302
LL-Shrk	25	302
LL-surf	34	302
LLSWO	37	302
OTH	42	600
PS	43	401
PSD	46	401
PSFB	44	401
PSFS	45	401
PSG	47	401
PSLB	50	401
PSM	48	401
PSS	49	401
RR	52	301
RRFB	53	301
RRFS	54	301
SPHL	57	700
SPOR	58	700
SURF	59	606
TL	60	300
TN	61	501
TRAP	62	601
TRAP-S	62	601
TRAW	63	100
TRAWP	63	100
TRAWPP	63	100
TROL	66	302
UNCL	70	801
MWT	65	200
MWTD	64	200
TRBD	7	800
BBALB	1	301
GILLM	13	500
