SpeciesCode	TaxonKey	SpeciesGroupID
ALB	600142	1
BET	600146	1
BFT	600147	1
BUM	600216	2
SAI	600078	2
SKJ	600107	1
SWO	600226	2
WHM	600219	2
YFT	600143	1
BLF	600144	4
BLT	600093	4
BON	600115	4
BOP	600108	4
BRS	600119	4
CER	600134	4
FRI	600094	4
KGM	600120	4
KGX	500487	4
LTA	600097	4
MAW	600141	4
SLT	600091	4
SSM	600126	4
WAH	600089	4
oSmt	400416	4
BIL	400419	2
BLM	600217	2
MLS	600223	2
SBF	600145	1
SPF	600220	2
oTun	400416	4
BSH	600898	3
POR	600088	5
SMA	600752	3
MAK	500638	5
oSks	200004	5

