BigCellID,BigCellTypeID,x,y
20,1,-179.5,70.5
21,1,-179.5,69.5
22,1,-179.5,68.5
24,1,-179.5,66.5
25,1,-179.5,65.5
26,1,-179.5,64.5
27,1,-179.5,63.5
28,1,-179.5,62.5
29,1,-179.5,61.5
30,1,-179.5,60.5
31,1,-179.5,59.5
32,1,-179.5,58.5
33,1,-179.5,57.5
34,1,-179.5,56.5
35,1,-179.5,55.5
36,1,-179.5,54.5
37,1,-179.5,53.5
38,1,-179.5,52.5
39,1,-179.5,51.5
40,1,-179.5,50.5
41,1,-179.5,49.5
42,1,-179.5,48.5
43,1,-179.5,47.5
44,1,-179.5,46.5
45,1,-179.5,45.5
46,1,-179.5,44.5
47,1,-179.5,43.5
48,1,-179.5,42.5
49,1,-179.5,41.5
50,1,-179.5,40.5
51,1,-179.5,39.5
52,1,-179.5,38.5
53,1,-179.5,37.5
54,1,-179.5,36.5
55,1,-179.5,35.5
56,1,-179.5,34.5
57,1,-179.5,33.5
58,1,-179.5,32.5
59,1,-179.5,31.5
60,1,-179.5,30.5
61,1,-179.5,29.5
62,1,-179.5,28.5
63,1,-179.5,27.5
64,1,-179.5,26.5
65,1,-179.5,25.5
66,1,-179.5,24.5
67,1,-179.5,23.5
68,1,-179.5,22.5
69,1,-179.5,21.5
70,1,-179.5,20.5
71,1,-179.5,19.5
72,1,-179.5,18.5
73,1,-179.5,17.5
74,1,-179.5,16.5
75,1,-179.5,15.5
76,1,-179.5,14.5
77,1,-179.5,13.5
78,1,-179.5,12.5
79,1,-179.5,11.5
80,1,-179.5,10.5
81,1,-179.5,9.5
82,1,-179.5,8.5
83,1,-179.5,7.5
84,1,-179.5,6.5
85,1,-179.5,5.5
86,1,-179.5,4.5
87,1,-179.5,3.5
88,1,-179.5,2.5
89,1,-179.5,1.5
90,1,-179.5,0.5
91,1,-179.5,-0.5
92,1,-179.5,-1.5
93,1,-179.5,-2.5
94,1,-179.5,-3.5
95,1,-179.5,-4.5
96,1,-179.5,-5.5
97,1,-179.5,-6.5
98,1,-179.5,-7.5
99,1,-179.5,-8.5
100,1,-179.5,-9.5
101,1,-179.5,-10.5
102,1,-179.5,-11.5
103,1,-179.5,-12.5
104,1,-179.5,-13.5
105,1,-179.5,-14.5
106,1,-179.5,-15.5
107,1,-179.5,-16.5
108,1,-179.5,-17.5
109,1,-179.5,-18.5
110,1,-179.5,-19.5
111,1,-179.5,-20.5
112,1,-179.5,-21.5
113,1,-179.5,-22.5
114,1,-179.5,-23.5
115,1,-179.5,-24.5
116,1,-179.5,-25.5
117,1,-179.5,-26.5
118,1,-179.5,-27.5
119,1,-179.5,-28.5
120,1,-179.5,-29.5
121,1,-179.5,-30.5
122,1,-179.5,-31.5
123,1,-179.5,-32.5
124,1,-179.5,-33.5
125,1,-179.5,-34.5
126,1,-179.5,-35.5
127,1,-179.5,-36.5
128,1,-179.5,-37.5
129,1,-179.5,-38.5
130,1,-179.5,-39.5
131,1,-179.5,-40.5
132,1,-179.5,-41.5
133,1,-179.5,-42.5
134,1,-179.5,-43.5
135,1,-179.5,-44.5
136,1,-179.5,-45.5
137,1,-179.5,-46.5
138,1,-179.5,-47.5
139,1,-179.5,-48.5
140,1,-179.5,-49.5
141,1,-179.5,-50.5
142,1,-179.5,-51.5
143,1,-179.5,-52.5
144,1,-179.5,-53.5
145,1,-179.5,-54.5
146,1,-179.5,-55.5
147,1,-179.5,-56.5
148,1,-179.5,-57.5
149,1,-179.5,-58.5
150,1,-179.5,-59.5
151,1,-179.5,-60.5
152,1,-179.5,-61.5
153,1,-179.5,-62.5
154,1,-179.5,-63.5
155,1,-179.5,-64.5
156,1,-179.5,-65.5
157,1,-179.5,-66.5
158,1,-179.5,-67.5
159,1,-179.5,-68.5
160,1,-179.5,-69.5
161,1,-179.5,-70.5
162,1,-179.5,-71.5
163,1,-179.5,-72.5
164,1,-179.5,-73.5
165,1,-179.5,-74.5
166,1,-179.5,-75.5
167,1,-179.5,-76.5
168,1,-179.5,-77.5
169,1,-179.5,-78.5
170,1,-179.5,-79.5
171,1,-179.5,-80.5
172,1,-179.5,-81.5
173,1,-179.5,-82.5
174,1,-179.5,-83.5
175,1,-179.5,-84.5
200,1,-178.5,70.5
201,1,-178.5,69.5
202,1,-178.5,68.5
204,1,-178.5,66.5
205,1,-178.5,65.5
206,1,-178.5,64.5
207,1,-178.5,63.5
208,1,-178.5,62.5
209,1,-178.5,61.5
210,1,-178.5,60.5
211,1,-178.5,59.5
212,1,-178.5,58.5
213,1,-178.5,57.5
214,1,-178.5,56.5
215,1,-178.5,55.5
216,1,-178.5,54.5
217,1,-178.5,53.5
218,1,-178.5,52.5
219,1,-178.5,51.5
220,1,-178.5,50.5
221,1,-178.5,49.5
222,1,-178.5,48.5
223,1,-178.5,47.5
224,1,-178.5,46.5
225,1,-178.5,45.5
226,1,-178.5,44.5
227,1,-178.5,43.5
228,1,-178.5,42.5
229,1,-178.5,41.5
230,1,-178.5,40.5
231,1,-178.5,39.5
232,1,-178.5,38.5
233,1,-178.5,37.5
234,1,-178.5,36.5
235,1,-178.5,35.5
236,1,-178.5,34.5
237,1,-178.5,33.5
238,1,-178.5,32.5
239,1,-178.5,31.5
240,1,-178.5,30.5
241,1,-178.5,29.5
242,1,-178.5,28.5
243,1,-178.5,27.5
244,1,-178.5,26.5
245,1,-178.5,25.5
246,1,-178.5,24.5
247,1,-178.5,23.5
248,1,-178.5,22.5
249,1,-178.5,21.5
250,1,-178.5,20.5
251,1,-178.5,19.5
252,1,-178.5,18.5
253,1,-178.5,17.5
254,1,-178.5,16.5
255,1,-178.5,15.5
256,1,-178.5,14.5
257,1,-178.5,13.5
258,1,-178.5,12.5
259,1,-178.5,11.5
260,1,-178.5,10.5
261,1,-178.5,9.5
262,1,-178.5,8.5
263,1,-178.5,7.5
264,1,-178.5,6.5
265,1,-178.5,5.5
266,1,-178.5,4.5
267,1,-178.5,3.5
268,1,-178.5,2.5
269,1,-178.5,1.5
270,1,-178.5,0.5
271,1,-178.5,-0.5
272,1,-178.5,-1.5
273,1,-178.5,-2.5
274,1,-178.5,-3.5
