FishingEntity,BigCellID,FishingEntityID,CountryGroupID
Bahrain,38764,9,2
Bahrain,38765,9,2
Bahrain,38766,9,2
Bahrain,38767,9,2
Bahrain,38768,9,2
Bahrain,38944,9,2
Bahrain,38945,9,2
Bahrain,38946,9,2
Bahrain,38947,9,2
Bahrain,38948,9,2
Bahrain,38949,9,2
Bahrain,39126,9,2
Bahrain,39127,9,2
Bahrain,39128,9,2
Bahrain,39129,9,2
Bahrain,39130,9,2
Bahrain,39131,9,2
Bahrain,39132,9,2
Bahrain,39306,9,2
Bahrain,39307,9,2
Bahrain,39308,9,2
Bahrain,39309,9,2
Bahrain,39310,9,2
Bahrain,39311,9,2
Bahrain,39312,9,2
Bahrain,39313,9,2
Bahrain,39488,9,2
Bahrain,39489,9,2
Bahrain,39490,9,2
Bahrain,39491,9,2
Bahrain,39492,9,2
Bahrain,39493,9,2
Bahrain,39494,9,2
Bahrain,39495,9,2
Bahrain,39670,9,2
Bahrain,39671,9,2
Bahrain,39672,9,2
Bahrain,39673,9,2
Bahrain,39674,9,2
Bahrain,39675,9,2
Bahrain,39676,9,2
Bahrain,39851,9,2
Bahrain,39852,9,2
Bahrain,39853,9,2
Bahrain,39854,9,2
Bahrain,39855,9,2
Bahrain,39856,9,2
Bahrain,39857,9,2
Bahrain,40033,9,2
Bahrain,40034,9,2
Bahrain,40035,9,2
Bahrain,40036,9,2
Bahrain,40037,9,2
Bahrain,40038,9,2
Bahrain,40039,9,2
Bahrain,40216,9,2
Bahrain,40217,9,2
Bahrain,40218,9,2
Bahrain,40219,9,2
Bahrain,40220,9,2
Bahrain,40398,9,2
Bahrain,40399,9,2
Bahrain,40400,9,2
Bahrain,40577,9,2
Bahrain,40578,9,2
Bahrain,40579,9,2
Bahrain,40580,9,2
Bahrain,40757,9,2
Bahrain,40758,9,2
Bahrain,40759,9,2
Bahrain,40760,9,2
Bahrain,40936,9,2
Bahrain,40937,9,2
Bahrain,40938,9,2
Bahrain,40939,9,2
Bahrain,40940,9,2
Bahrain,41116,9,2
Bahrain,41117,9,2
Bahrain,41118,9,2
Bahrain,41119,9,2
Bahrain,41296,9,2
Bahrain,41297,9,2
Bahrain,41298,9,2
Bahrain,41299,9,2
Bahrain,41460,9,2
Bahrain,41461,9,2
Bahrain,41462,9,2
Bahrain,41463,9,2
Bahrain,41464,9,2
Bahrain,41465,9,2
Bahrain,41466,9,2
Bahrain,41475,9,2
Bahrain,41476,9,2
Bahrain,41477,9,2
Bahrain,41478,9,2
Bahrain,41479,9,2
Bahrain,41480,9,2
Bahrain,41481,9,2
Bahrain,41642,9,2
Bahrain,41643,9,2
Bahrain,41644,9,2
Bahrain,41645,9,2
Bahrain,41646,9,2
Bahrain,41655,9,2
Bahrain,41656,9,2
Bahrain,41657,9,2
Bahrain,41658,9,2
Bahrain,41659,9,2
Bahrain,41660,9,2
Bahrain,41661,9,2
Bahrain,41823,9,2
Bahrain,41824,9,2
Bahrain,41825,9,2
Bahrain,41826,9,2
Bahrain,41834,9,2
Bahrain,41835,9,2
Bahrain,41836,9,2
Bahrain,41837,9,2
Bahrain,41838,9,2
Bahrain,41839,9,2
Bahrain,41840,9,2
Bahrain,41841,9,2
Bahrain,42003,9,2
Bahrain,42004,9,2
Bahrain,42005,9,2
Bahrain,42006,9,2
Bahrain,42014,9,2
Bahrain,42015,9,2
Bahrain,42016,9,2
Bahrain,42017,9,2
Bahrain,42018,9,2
Bahrain,42019,9,2
Bahrain,42020,9,2
Bahrain,42021,9,2
Bahrain,42184,9,2
Bahrain,42185,9,2
Bahrain,42186,9,2
Bahrain,42193,9,2
Bahrain,42194,9,2
Bahrain,42195,9,2
Bahrain,42196,9,2
Bahrain,42197,9,2
Bahrain,42198,9,2
Bahrain,42199,9,2
Bahrain,42200,9,2
Bahrain,42201,9,2
Bahrain,42363,9,2
Bahrain,42364,9,2
Bahrain,42365,9,2
Bahrain,42366,9,2
Bahrain,42373,9,2
Bahrain,42374,9,2
Bahrain,42375,9,2
Bahrain,42376,9,2
Bahrain,42377,9,2
Bahrain,42378,9,2
Bahrain,42379,9,2
Bahrain,42380,9,2
Bahrain,42381,9,2
Bahrain,42543,9,2
Bahrain,42544,9,2
Bahrain,42545,9,2
Bahrain,42546,9,2
Bahrain,42552,9,2
Bahrain,42553,9,2
Bahrain,42554,9,2
Bahrain,42555,9,2
Bahrain,42556,9,2
Bahrain,42557,9,2
Bahrain,42558,9,2
Bahrain,42559,9,2
Bahrain,42560,9,2
Bahrain,42561,9,2
Bahrain,42724,9,2
Bahrain,42725,9,2
Bahrain,42726,9,2
Bahrain,42727,9,2
Bahrain,42730,9,2
Bahrain,42731,9,2
Bahrain,42732,9,2
Bahrain,42733,9,2
Bahrain,42734,9,2
Bahrain,42735,9,2
Bahrain,42736,9,2
Bahrain,42737,9,2
Bahrain,42738,9,2
Bahrain,42739,9,2
Bahrain,42740,9,2
Bahrain,42741,9,2
Bahrain,42905,9,2
Bahrain,42906,9,2
Bahrain,42907,9,2
Bahrain,42909,9,2
Bahrain,42910,9,2
Bahrain,42911,9,2
Bahrain,42912,9,2
Bahrain,42913,9,2
Bahrain,42914,9,2
Bahrain,42915,9,2
Bahrain,42916,9,2
Bahrain,42917,9,2
Bahrain,42918,9,2
Bahrain,42919,9,2
Bahrain,42920,9,2
Bahrain,42921,9,2
Bahrain,43085,9,2
Bahrain,43086,9,2
Bahrain,43087,9,2
Bahrain,43088,9,2
Bahrain,43089,9,2
Bahrain,43090,9,2
Bahrain,43091,9,2
Bahrain,43092,9,2
Bahrain,43093,9,2
Bahrain,43094,9,2
Bahrain,43095,9,2
Bahrain,43096,9,2
Bahrain,43097,9,2
Bahrain,43098,9,2
Bahrain,43099,9,2
Bahrain,43100,9,2
Bahrain,43101,9,2
Bahrain,43265,9,2
Bahrain,43266,9,2
Bahrain,43267,9,2
Bahrain,43268,9,2
Bahrain,43269,9,2
Bahrain,43270,9,2
Bahrain,43271,9,2
Bahrain,43272,9,2
Bahrain,43273,9,2
Bahrain,43274,9,2
Bahrain,43275,9,2
Bahrain,43276,9,2
Bahrain,43277,9,2
Bahrain,43278,9,2
Bahrain,43279,9,2
Bahrain,43280,9,2
Bahrain,43281,9,2
Bahrain,43445,9,2
Bahrain,43446,9,2
Bahrain,43447,9,2
Bahrain,43448,9,2
Bahrain,43449,9,2
Bahrain,43450,9,2
Bahrain,43451,9,2
Bahrain,43452,9,2
Bahrain,43453,9,2
Bahrain,43454,9,2
Bahrain,43455,9,2
Bahrain,43456,9,2
Bahrain,43457,9,2
Bahrain,43458,9,2
Bahrain,43459,9,2
Bahrain,43460,9,2
Bahrain,43461,9,2
Bahrain,43625,9,2
Bahrain,43626,9,2
Bahrain,43627,9,2
Bahrain,43628,9,2
Bahrain,43629,9,2
Bahrain,43630,9,2
Bahrain,43631,9,2
Bahrain,43632,9,2
Bahrain,43633,9,2
Bahrain,43634,9,2
Bahrain,43635,9,2
Bahrain,43636,9,2
Bahrain,43637,9,2
Bahrain,43638,9,2
Bahrain,43639,9,2
Bahrain,43640,9,2
Bahrain,43641,9,2
Bahrain,43805,9,2
Bahrain,43806,9,2
Bahrain,43807,9,2
Bahrain,43808,9,2
Bahrain,43809,9,2
Bahrain,43810,9,2
Bahrain,43811,9,2
Bahrain,43812,9,2
Bahrain,43813,9,2
