FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
9,2,100,41
10,2,100,41
21,4,100,41
61,1,100,41
143,2,100,41
182,1,100,41
23,1,100,41
146,1,100,41
37,1,100,41
82,2,100,41
96,2,100,41
1000,1000,100,41
156,2,100,41
171,2,100,41
10,2,300,17
21,4,300,17
61,1,300,17
143,2,300,17
182,1,300,17
23,1,300,17
146,1,300,17
37,1,300,17
82,2,300,17
96,2,300,17
105,2,300,17
114,1,300,17
22,2,300,17
1000,1000,300,17
115,2,300,17
156,2,300,17
158,1,300,17
164,1,300,17
29,2,300,17
176,2,300,17
183,7,300,17
193,2,300,17
7,6,301,1
7,6,301,3
7,6,301,4
7,6,301,2
7,6,301,21
21,4,301,1
21,4,301,3
21,4,301,4
21,4,301,2
21,4,301,21
61,1,301,1
61,1,301,3
61,1,301,4
61,1,301,2
61,1,301,21
143,2,301,1
143,2,301,3
143,2,301,4
143,2,301,2
143,2,301,21
182,1,301,1
182,1,301,3
182,1,301,4
182,1,301,2
182,1,301,21
23,1,301,1
23,1,301,3
23,1,301,4
23,1,301,2
23,1,301,21
146,1,301,1
146,1,301,3
146,1,301,4
146,1,301,2
146,1,301,21
37,1,301,1
37,1,301,3
37,1,301,4
37,1,301,2
37,1,301,21
82,2,301,1
82,2,301,3
82,2,301,4
82,2,301,2
82,2,301,21
83,2,301,1
83,2,301,3
83,2,301,4
83,2,301,2
83,2,301,21
91,3,301,1
91,3,301,3
91,3,301,4
91,3,301,2
91,3,301,21
96,2,301,1
96,2,301,3
96,2,301,4
96,2,301,2
96,2,301,21
103,1,301,1
103,1,301,3
103,1,301,4
103,1,301,2
103,1,301,21
105,2,301,1
105,2,301,3
105,2,301,4
105,2,301,2
105,2,301,21
114,1,301,1
114,1,301,3
114,1,301,4
114,1,301,2
114,1,301,21
1000,1000,301,1
1000,1000,301,3
1000,1000,301,4
1000,1000,301,2
1000,1000,301,21
156,2,301,1
156,2,301,3
156,2,301,4
156,2,301,2
156,2,301,21
158,1,301,1
158,1,301,3
158,1,301,4
158,1,301,2
158,1,301,21
164,1,301,1
164,1,301,3
164,1,301,4
164,1,301,2
164,1,301,21
29,2,301,1
29,2,301,3
29,2,301,4
29,2,301,2
29,2,301,21
7,6,302,28
7,6,302,29
7,6,302,22
7,6,302,24
7,6,302,9
7,6,302,26
7,6,302,27
7,6,302,8
7,6,302,67
7,6,302,68
7,6,302,69
9,2,302,28
9,2,302,29
9,2,302,22
9,2,302,24
9,2,302,9
9,2,302,26
9,2,302,27
9,2,302,8
9,2,302,67
9,2,302,68
9,2,302,69
10,2,302,28
10,2,302,29
10,2,302,22
10,2,302,24
10,2,302,9
10,2,302,26
10,2,302,27
10,2,302,8
10,2,302,67
10,2,302,68
10,2,302,69
16,5,302,28
16,5,302,29
16,5,302,22
16,5,302,24
16,5,302,9
16,5,302,26
16,5,302,27
16,5,302,8
16,5,302,67
16,5,302,68
16,5,302,69
21,4,302,28
21,4,302,29
21,4,302,22
21,4,302,24
21,4,302,9
21,4,302,26
21,4,302,27
21,4,302,8
21,4,302,67
21,4,302,68
21,4,302,69
31,3,302,28
31,3,302,29
31,3,302,22
31,3,302,24
31,3,302,9
31,3,302,26
31,3,302,27
31,3,302,8
31,3,302,67
31,3,302,68
31,3,302,69
61,1,302,28
61,1,302,29
61,1,302,22
61,1,302,24
61,1,302,9
61,1,302,26
61,1,302,27
61,1,302,8
61,1,302,67
61,1,302,68
61,1,302,69
143,2,302,28
143,2,302,29
143,2,302,22
143,2,302,24
143,2,302,9
143,2,302,26
143,2,302,27
143,2,302,8
143,2,302,67
143,2,302,68
143,2,302,69
182,1,302,28
182,1,302,29
182,1,302,22
182,1,302,24
182,1,302,9
182,1,302,26
182,1,302,27
182,1,302,8
182,1,302,67
182,1,302,68
182,1,302,69
23,1,302,28
23,1,302,29
23,1,302,22
23,1,302,24
23,1,302,9
23,1,302,26
23,1,302,27
23,1,302,8
23,1,302,67
23,1,302,68
23,1,302,69
58,7,302,28
