Country,Area,Year,Sector,Gear,SpeciesCode,Catch
AUSTRALIA,Eastern Indian Ocean,1950,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1951,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1952,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1952,ART,UNCL,SBF,100
AUSTRALIA,Eastern Indian Ocean,1953,ART,UNCL,KGX,200
AUSTRALIA,Eastern Indian Ocean,1953,ART,UNCL,SBF,300
AUSTRALIA,Eastern Indian Ocean,1954,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1954,ART,UNCL,SBF,500
AUSTRALIA,Eastern Indian Ocean,1955,ART,UNCL,SBF,400
AUSTRALIA,Eastern Indian Ocean,1956,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1956,ART,UNCL,SBF,500
AUSTRALIA,Eastern Indian Ocean,1957,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1957,ART,UNCL,SBF,1000
AUSTRALIA,Eastern Indian Ocean,1958,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1958,ART,UNCL,SBF,1000
AUSTRALIA,Eastern Indian Ocean,1959,ART,UNCL,KGX,200
AUSTRALIA,Eastern Indian Ocean,1959,ART,UNCL,SBF,2000
AUSTRALIA,Eastern Indian Ocean,1960,ART,UNCL,SBF,2500
AUSTRALIA,Eastern Indian Ocean,1961,ART,UNCL,SBF,3400
AUSTRALIA,Eastern Indian Ocean,1962,ART,UNCL,SBF,3800
AUSTRALIA,Eastern Indian Ocean,1963,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1963,ART,UNCL,SBF,4000
AUSTRALIA,Eastern Indian Ocean,1963,ART,UNCL,SKJ,48
AUSTRALIA,Eastern Indian Ocean,1964,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1964,ART,UNCL,SBF,6100
AUSTRALIA,Eastern Indian Ocean,1964,ART,UNCL,SKJ,34
AUSTRALIA,Eastern Indian Ocean,1965,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1965,ART,UNCL,SBF,4800
AUSTRALIA,Eastern Indian Ocean,1965,ART,UNCL,SKJ,2
AUSTRALIA,Eastern Indian Ocean,1965,ART,UNCL,YFT,3
AUSTRALIA,Eastern Indian Ocean,1966,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1966,ART,UNCL,SBF,6100
AUSTRALIA,Eastern Indian Ocean,1966,ART,UNCL,SKJ,2
AUSTRALIA,Eastern Indian Ocean,1966,ART,UNCL,YFT,7
AUSTRALIA,Eastern Indian Ocean,1967,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1967,ART,UNCL,SBF,3500
AUSTRALIA,Eastern Indian Ocean,1967,ART,UNCL,SKJ,2
AUSTRALIA,Eastern Indian Ocean,1968,ART,UNCL,KGX,100
AUSTRALIA,Eastern Indian Ocean,1968,ART,UNCL,SBF,3100
AUSTRALIA,Eastern Indian Ocean,1968,ART,UNCL,SKJ,4
