Grid,BigCellTypeID,x,y,AreaID
3200050,4,55,-5,2
2120060,5,70,25,2
5239020,1,20.5,-39.5,2
5238020,1,20.5,-38.5,2
5237020,1,20.5,-37.5,2
5236020,1,20.5,-36.5,2
5235020,1,20.5,-35.5,2
5234020,1,20.5,-34.5,2
5238021,1,21.5,-38.5,2
5237021,1,21.5,-37.5,2
5236021,1,21.5,-36.5,2
5235021,1,21.5,-35.5,2
5234021,1,21.5,-34.5,2
5238022,1,22.5,-38.5,2
5237022,1,22.5,-37.5,2
5236022,1,22.5,-36.5,2
5235022,1,22.5,-35.5,2
5234022,1,22.5,-34.5,2
5233022,1,22.5,-33.5,2
5238023,1,23.5,-38.5,2
5237023,1,23.5,-37.5,2
5236023,1,23.5,-36.5,2
5235023,1,23.5,-35.5,2
5234023,1,23.5,-34.5,2
5230023,1,23.5,-30.5,2
5239024,1,24.5,-39.5,2
5238024,1,24.5,-38.5,2
5236024,1,24.5,-36.5,2
5235024,1,24.5,-35.5,2
5234024,1,24.5,-34.5,2
5232024,1,24.5,-32.5,2
5231024,1,24.5,-31.5,2
5235025,1,25.5,-35.5,2
5234025,1,25.5,-34.5,2
5233025,1,25.5,-33.5,2
5237026,1,26.5,-37.5,2
5236026,1,26.5,-36.5,2
5234026,1,26.5,-34.5,2
5233026,1,26.5,-33.5,2
5234027,1,27.5,-34.5,2
5233027,1,27.5,-33.5,2
5238028,1,28.5,-38.5,2
5237028,1,28.5,-37.5,2
5233028,1,28.5,-33.5,2
5232028,1,28.5,-32.5,2
5238029,1,29.5,-38.5,2
5237029,1,29.5,-37.5,2
5236029,1,29.5,-36.5,2
5233029,1,29.5,-33.5,2
5232029,1,29.5,-32.5,2
5237030,1,30.5,-37.5,2
5236030,1,30.5,-36.5,2
5232030,1,30.5,-32.5,2
5231030,1,30.5,-31.5,2
5230030,1,30.5,-30.5,2
5229030,1,30.5,-29.5,2
5227030,1,30.5,-27.5,2
5239031,1,31.5,-39.5,2
5237031,1,31.5,-37.5,2
5235031,1,31.5,-35.5,2
5232031,1,31.5,-32.5,2
5231031,1,31.5,-31.5,2
5230031,1,31.5,-30.5,2
5229031,1,31.5,-29.5,2
5228031,1,31.5,-28.5,2
5227031,1,31.5,-27.5,2
5239032,1,32.5,-39.5,2
5236032,1,32.5,-36.5,2
5235032,1,32.5,-35.5,2
5234032,1,32.5,-34.5,2
5232032,1,32.5,-32.5,2
5231032,1,32.5,-31.5,2
5230032,1,32.5,-30.5,2
5229032,1,32.5,-29.5,2
5228032,1,32.5,-28.5,2
5227032,1,32.5,-27.5,2
5226032,1,32.5,-26.5,2
5221032,1,32.5,-21.5,2
5220032,1,32.5,-20.5,2
5129032,1,32.5,29.5,2
5238033,1,33.5,-38.5,2
5236033,1,33.5,-36.5,2
5235033,1,33.5,-35.5,2
5234033,1,33.5,-34.5,2
5233033,1,33.5,-33.5,2
5232033,1,33.5,-32.5,2
5231033,1,33.5,-31.5,2
5230033,1,33.5,-30.5,2
5229033,1,33.5,-29.5,2
5228033,1,33.5,-28.5,2
5227033,1,33.5,-27.5,2
5225033,1,33.5,-25.5,2
5238034,1,34.5,-38.5,2
5235034,1,34.5,-35.5,2
5234034,1,34.5,-34.5,2
5233034,1,34.5,-33.5,2
5232034,1,34.5,-32.5,2
5231034,1,34.5,-31.5,2
5230034,1,34.5,-30.5,2
5229034,1,34.5,-29.5,2
5228034,1,34.5,-28.5,2
5227034,1,34.5,-27.5,2
5226034,1,34.5,-26.5,2
5225034,1,34.5,-25.5,2
5224034,1,34.5,-24.5,2
5223034,1,34.5,-23.5,2
5221034,1,34.5,-21.5,2
5220034,1,34.5,-20.5,2
5219034,1,34.5,-19.5,2
5237035,1,35.5,-37.5,2
5236035,1,35.5,-36.5,2
5235035,1,35.5,-35.5,2
5234035,1,35.5,-34.5,2
5233035,1,35.5,-33.5,2
5232035,1,35.5,-32.5,2
5231035,1,35.5,-31.5,2
5230035,1,35.5,-30.5,2
5229035,1,35.5,-29.5,2
5228035,1,35.5,-28.5,2
5227035,1,35.5,-27.5,2
5226035,1,35.5,-26.5,2
5225035,1,35.5,-25.5,2
5224035,1,35.5,-24.5,2
5223035,1,35.5,-23.5,2
5222035,1,35.5,-22.5,2
5221035,1,35.5,-21.5,2
5218035,1,35.5,-18.5,2
5205035,1,35.5,-5.5,2
5125035,1,35.5,25.5,2
5237036,1,36.5,-37.5,2
5236036,1,36.5,-36.5,2
5235036,1,36.5,-35.5,2
5234036,1,36.5,-34.5,2
5233036,1,36.5,-33.5,2
5232036,1,36.5,-32.5,2
5231036,1,36.5,-31.5,2
5230036,1,36.5,-30.5,2
5229036,1,36.5,-29.5,2
5228036,1,36.5,-28.5,2
5227036,1,36.5,-27.5,2
5226036,1,36.5,-26.5,2
5225036,1,36.5,-25.5,2
5224036,1,36.5,-24.5,2
5223036,1,36.5,-23.5,2
5222036,1,36.5,-22.5,2
5221036,1,36.5,-21.5,2
5220036,1,36.5,-20.5,2
5219036,1,36.5,-19.5,2
5238037,1,37.5,-38.5,2
5234037,1,37.5,-34.5,2
5233037,1,37.5,-33.5,2
5232037,1,37.5,-32.5,2
5231037,1,37.5,-31.5,2
5230037,1,37.5,-30.5,2
5229037,1,37.5,-29.5,2
5228037,1,37.5,-28.5,2
5227037,1,37.5,-27.5,2
5226037,1,37.5,-26.5,2
5225037,1,37.5,-25.5,2
5224037,1,37.5,-24.5,2
5223037,1,37.5,-23.5,2
5222037,1,37.5,-22.5,2
5221037,1,37.5,-21.5,2
5220037,1,37.5,-20.5,2
5219037,1,37.5,-19.5,2
5218037,1,37.5,-18.5,2
5201037,1,37.5,-1.5,2
5240038,1,38.5,-40.5,2
5236038,1,38.5,-36.5,2
5234038,1,38.5,-34.5,2
5233038,1,38.5,-33.5,2
5232038,1,38.5,-32.5,2
5230038,1,38.5,-30.5,2
5229038,1,38.5,-29.5,2
5228038,1,38.5,-28.5,2
5227038,1,38.5,-27.5,2
5226038,1,38.5,-26.5,2
5225038,1,38.5,-25.5,2
5223038,1,38.5,-23.5,2
5222038,1,38.5,-22.5,2
5221038,1,38.5,-21.5,2
5220038,1,38.5,-20.5,2
5219038,1,38.5,-19.5,2
5218038,1,38.5,-18.5,2
5217038,1,38.5,-17.5,2
5216038,1,38.5,-16.5,2
5215038,1,38.5,-15.5,2
5213038,1,38.5,-13.5,2
5121038,1,38.5,21.5,2
5234039,1,39.5,-34.5,2
5233039,1,39.5,-33.5,2
5232039,1,39.5,-32.5,2
5231039,1,39.5,-31.5,2
5230039,1,39.5,-30.5,2
5229039,1,39.5,-29.5,2
5228039,1,39.5,-28.5,2
5227039,1,39.5,-27.5,2
5223039,1,39.5,-23.5,2
5222039,1,39.5,-22.5,2
5221039,1,39.5,-21.5,2
5220039,1,39.5,-20.5,2
5219039,1,39.5,-19.5,2
5218039,1,39.5,-18.5,2
5217039,1,39.5,-17.5,2
