Fleet,Gear,Year,MonthStart,Grid,YFT-MT,BET-MT,SKJ-MT,ALB-MT,SBF-MT,LOT-MT,FRZ-MT,KAW-MT,COM-MT,SWO-MT,BILL-MT,TUX-MT,SKH-MT,NTAD-MT
LKA    ,GIOF,2017,9,5100051,,,0.4,,,,,,,,,,,
LKA    ,GIOF,2021,7,5100055,,,0.1,,,,,,,,,,,
LKA    ,GIOF,2021,9,5100055,,,1.8,,,,,,,,,,,
SYC    ,LLCO,2006,3,5100055,0.17,0.03,,,,,,,,0.1,,,0.27,
SYC    ,LLCO,2008,9,5100055,,0.36,,,,,,,,0.39,0.07,,0.03,
SYC    ,LLCO,2008,10,5100055,0.57,0.04,,,,,,,,0.39,,,,
SYC    ,LLCO,2015,7,5100055,,,,,,,,,,0.27,,,,
SYC    ,LLCO,2023,2,5100055,0.07,0.07,,,,,,,,,,,,
LKA    ,GIOF,2019,4,5100056,,,0.1,,,,,,,,,,,
SYC    ,LLCO,2006,3,5100056,0.03,,,,,,,,,0.1,,,,
SYC    ,LLCO,2008,9,5100056,0.2,0.05,,,,,,,,0.12,,,0.07,
SYC    ,LLCO,2019,3,5100056,1.49,,,,,,,,,0.1,0.16,,,
SYC    ,LLCO,2023,2,5100056,4.38,,,,,,,,,,0.07,,,
SYC    ,LLCO,2023,3,5100056,0.49,,,,,,,,,,,,,
LKA    ,GIOF,2016,3,5100057,,,0.7,,,,,,,0.1,0.2,,1.2,
LKA    ,GIOF,2016,4,5100057,6.5,,,,,,,,,,,,0.4,
LKA    ,GIOF,2019,4,5100057,,,0.3,,,,,,,0.1,0.1,,,
SYC    ,LLCO,2023,3,5100057,0.17,,,,,,,,,0.03,,,,
LKA    ,GIOF,2016,3,5100058,,,0.4,,,,,,,,0.1,,0.2,
SYC    ,LLCO,2017,11,5100058,0.07,,,,,,,,,,,,,
LKA    ,GIOF,2016,3,5100059,,,0.4,,,,,,,0.1,,,0.1,
LKA    ,GIOF,2016,4,5100059,5.7,0.1,,0.6,,,,,,,,,0.5,
MDV    ,LLCO,2017,2,5100060,2.95,1.7,,,,,,,,,,,,
MDV    ,LLCO,2017,3,5100060,4.29,0.68,,,,,,,,,,,,
MDV    ,LLCO,2017,5,5100060,2.44,1.34,,,,,,,,0.05,,,,
LKA    ,GIOF,2017,4,5100062,0.1,,0.4,,,,,,,0.1,0.2,,0.1,
MDV    ,LLCO,2017,2,5100062,2.05,1.03,,,,,,,,,,,,
MDV    ,LLCO,2018,1,5100062,1.38,0.37,,,,,,,,,,,,
LKA    ,GIOF,2017,4,5100063,,,0.2,,,,,,,,0.1,,0.1,
MDV    ,LLCO,2017,1,5100063,6.17,4.32,,,,,,,,3.8,,,,
MDV    ,LLCO,2017,4,5100063,4,3,,,,,,,,,,,,
MDV    ,LLCO,2018,3,5100063,3.07,,,,,,,,,,,,,
MDV    ,LLCO,2018,4,5100063,1.17,0.18,,,,,,,,,,,,
MDV    ,LLCO,2018,4,5100064,1.56,0.14,,,,,,,,,,,,
LKA    ,GIOF,2017,4,5100065,0.1,,1.5,,,,,,,,0.1,,0.2,
