Fleet,Gear,Year,MonthStart,Grid,YFT-MT,BET-MT,SKJ-MT,ALB-MT,SBF-MT,SWO-MT,BLM-MT,BUM-MT,MLS-MT,SFA-MT,SSP-MT,BILL-MT,TUX-MT,BSH-MT,FAL-MT,MSK-MT,OCS-MT,POR-MT,RSK-MT,SPY-MT,THR-MT,SKH-MT,NTAD-MT
AUS    ,ELL,1992,2,6235140,0.05,,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,3,6235130,,,,,0.12,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,4,6230130,,0.37,,0.9,0.82,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,4,6235130,,,,0.36,2.29,0.12,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,4,6235135,,0.05,,0.28,0.19,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,5,6230130,,0.06,,0.7,1.27,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,5,6230135,,,,0.15,0.2,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,5,6235130,,0.72,,3.29,3.71,0.32,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,5,6235135,,,,0.32,0.38,0.17,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,6,6230125,0.42,,,0.02,,0.09,,,0.2,,,,,,,,,,,,,,
AUS    ,ELL,1992,6,6230130,,0.01,,0.15,0.02,0.09,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,6,6235130,,0.44,0.03,2.28,3.27,0.08,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,6,6235135,,,,0.94,0.59,0.24,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,7,6235140,1.05,,,0.45,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,7,6240140,0.15,0.03,,0.2,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,8,6240140,0.61,,,0.44,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,11,6230120,0.15,0.08,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,11,6230125,0.15,,,0.09,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,11,6235115,1.65,4.24,,1.26,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,11,6235135,5,2.4,,1.2,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,12,6235110,0.08,0.06,,0.07,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1992,12,6240140,0.12,,,0.1,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,1,6230120,,0.6,,0.06,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,1,6230125,,,,0.01,0.03,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,1,6230130,,,,0.1,2.3,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,1,6235130,,,,0.24,3.18,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6230110,,0.51,,5.00E-03,,0.55,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6230115,,0.08,,0.02,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6230120,,0.45,,0.08,,0.02,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6230125,,,,0.02,0.25,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6235110,,,,0.03,2.08,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6235115,0.06,4.92,,0.04,0.05,1.35,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6235120,0.01,0.05,,0.06,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6235130,,0.07,,1.05,13.49,0.12,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,2,6235135,,,,0.02,0.59,0.04,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,3,6230110,0.24,1.59,,0.17,,1.43,,,0.06,,,0.02,,,,,,,,,,,
AUS    ,ELL,1993,3,6230120,,0.25,,0.02,0.13,0.15,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,3,6230125,,0.25,,0.14,0.37,0.46,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,3,6230130,,0.32,,2.21,2.69,0.11,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,3,6235115,,0.23,3.00E-03,,,0.25,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,3,6235130,0.2,1.35,,2.58,7.2,0.12,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,3,6235135,,,,0.05,0.05,0.22,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,4,6230130,,0.15,,0.06,0.35,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,4,6235130,,5.1,0.03,7.16,21.03,1.06,,,,,,0.02,,,,,,,,,,,
AUS    ,ELL,1993,4,6235135,,1.22,,3.1,3.79,0.57,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,5,6230125,,0.12,,0.25,0.15,0.06,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,5,6230130,,6.53,,8.73,5.15,0.91,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,5,6235120,1.14,,,0.4,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,5,6235130,,0.84,,2.24,2.7,0.59,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,5,6235135,,0.06,,,0.37,0.2,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,6,6235130,,1.15,,2.61,1.48,0.67,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,6,6235135,0.3,0.4,,2.08,1.27,0.57,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,7,6235135,0.01,,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,11,6240140,,,,,0.02,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1993,12,6240140,,,,,0.42,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,1,6230115,,,0.07,,,,,0.08,,,,,,,,,,,,,,0.08,0.03
AUS    ,ELL,1994,1,6230125,,,,9.00E-03,0.07,0.04,,,,,,,,,,,,,,,,,0.07
AUS    ,ELL,1994,1,6230130,,0.22,,1.12,2.12,0.07,,,,,,,,,,,,,,,,0.1,0.1
AUS    ,ELL,1994,1,6235130,,,,0.06,0.01,,,,,,,,,,,,,,,,,0.25,
AUS    ,ELL,1994,1,6240140,,,,,0.66,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,1,6240145,0.02,0.06,,0.02,0.32,,,,,,,,,,,,,,,,,0.5,0.46
AUS    ,ELL,1994,2,6230115,,0.07,0.07,,,,,,,,,,,,,,,,,,,0.08,0.06
AUS    ,ELL,1994,2,6230120,,,,,,0.15,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,2,6230130,,0.12,,2.66,5.15,0.16,,,,,,,,,,,,,,,,0.43,0.42
AUS    ,ELL,1994,2,6235115,,,,,,0.02,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,2,6235130,,0.1,,0.49,5.99,0.41,,,,,,,,,,,,,,,,0.2,0.07
AUS    ,ELL,1994,2,6235135,0.21,,,,,,,,,,,,,,,,,,,,,0.28,1.5
AUS    ,ELL,1994,2,6240145,,,,,0.7,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,3,6230115,0.05,0.14,0.04,,,,,,,,,,,,,,,,,,,0.28,0.07
AUS    ,ELL,1994,3,6230130,,0.16,,8.21,4.52,0.57,,,,,,,,,,,,,,,,0.04,
AUS    ,ELL,1994,3,6235130,,0.13,,5.89,24.05,0.65,,,,,,,,,,,,,,,,0.59,
AUS    ,ELL,1994,3,6235135,0.32,,,0.16,3.61,0.24,,,,,,,,,,,,,,,,0.46,2.71
AUS    ,ELL,1994,3,6235145,0.19,,,0.09,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,3,6240145,,,,,0.91,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,4,6230115,0.06,,0.05,,,,,,,,,,,,,,,,,,,7.00E-03,0.04
AUS    ,ELL,1994,4,6230125,,0.38,,1.35,1.41,0.23,,,,,,,,,,,,,,,,0.15,
AUS    ,ELL,1994,4,6230130,,1.92,,12.53,2.16,2.15,,,,,,,,,,,,,,,,0.21,
AUS    ,ELL,1994,4,6235130,,0.12,,2.33,10.55,0.96,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,4,6235135,0.28,,,0.32,3.41,0.06,,,,,,,,,,,,,,,,0.12,2.35
AUS    ,ELL,1994,4,6240145,0.08,,,,0.53,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,5,6230115,0.08,0.12,,,,,,,,,,,,,,,,,,,,0.04,0.02
AUS    ,ELL,1994,5,6230130,,0.9,,3.19,1.18,0.4,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,5,6235130,,,,0.2,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,5,6235135,0.25,,,0.03,,,,,,,,,,,,,,,,,,0.06,2.2
AUS    ,ELL,1994,5,6240145,,,,0.51,8.14,,,,,,,,,,,,,,,,,3.34,
AUS    ,ELL,1994,6,6230115,0.01,,,,,,,,,,,,,,,,,,,,,0.03,0.05
AUS    ,ELL,1994,7,6230115,0.1,0.11,,,,,,,,,,,,,,,,,,,,0.06,0.1
AUS    ,ELL,1994,7,6240145,,,,0.1,3.49,,,,,,,,,,,,,,,,,0.14,
AUS    ,ELL,1994,8,6225110,0.69,3.42,0.01,0.02,,4.09,,,0.32,,,,,,,,,,,,,,0.04
AUS    ,ELL,1994,8,6230110,0.11,0.13,,,,0.23,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,8,6230115,,0.14,,,,,,,,,,,,,,,,,,,,0.03,0.07
AUS    ,ELL,1994,8,6240145,,,,,3.74,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,9,6220110,0.04,0.14,,,,0.17,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,9,6225110,5.22,4.31,,0.79,,5.47,0.08,,0.08,,0.01,,,,,,,,,,,0.08,0.23
AUS    ,ELL,1994,9,6230115,0.08,0.1,,,,,,,,,,,,,,,,,,,,0.02,0.04
AUS    ,ELL,1994,9,6240145,,,,,1.66,,,,,,,,,,,,,,,,,0.38,0.05
AUS    ,ELL,1994,10,6225110,2.48,4.04,,0.49,,5.89,0.25,,0.05,,,,,,,,,,,,,,1.29
AUS    ,ELL,1994,10,6230110,2.05,4.98,,0.29,,3.8,,,,,,,,,,,,,,,,,0.9
AUS    ,ELL,1994,10,6230115,,0.08,,,,0.03,,,,,,,,,,,,,,,,0.03,0.03
AUS    ,ELL,1994,10,6230130,0.06,,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,10,6240145,,,,0.05,2.9,,,,,,,,,,,,,,,,,1.16,0.98
AUS    ,ELL,1994,11,6225110,0.04,0.4,,,,0.19,,,,,,,,,,,,,,,,,0.4
AUS    ,ELL,1994,11,6230115,1.3,0.25,,,,,,,,,,,,,,,,,,,,0.22,0.03
AUS    ,ELL,1994,11,6240145,,,,0.06,4.7,,,,,,,,,,,,,,,,,3.74,4.42
AUS    ,ELL,1994,12,6225110,0.07,0.01,,,,0.34,,,,,,,,,,,,,,,,,
AUS    ,ELL,1994,12,6240145,,,,,7.3,,,,,,,,,,,,,,,,,4.85,3.32
AUS    ,ELL,1995,1,6220110,15.34,0.05,,,,0.1,,,0.2,0.06,,,,,,,,,,,,,0.2
AUS    ,ELL,1995,1,6220115,0.12,,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,1,6225110,0.62,0.21,,,,1.72,,,0.06,0.02,0.02,,,,,,,,,,,,0.11
AUS    ,ELL,1995,1,6230110,0.07,0.21,,,,0.48,,,0.02,,,,,,,,,,,,,0.13,0.1
AUS    ,ELL,1995,1,6230115,,,0.03,,,,,,,,,,,,,,,,,,,0.03,0.05
AUS    ,ELL,1995,1,6235145,0.1,,,0.03,,,,,,,,,,,,,,,,,,0.03,
AUS    ,ELL,1995,1,6240140,,,,,,,,,,,,,,,,,,,,,,,0.16
AUS    ,ELL,1995,1,6240145,,,,0.34,4.77,,,,,,,,,,,,,,,,,0.84,3.21
AUS    ,ELL,1995,2,6225110,1.13,0.01,,,,0.17,,,,,,,,,,,,,,,,0.01,0.09
AUS    ,ELL,1995,2,6240145,,,,,0.52,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,3,6225110,2,1.17,9.00E-03,,,1.13,,,0.25,,,,,,,,,,,,,,0.39
AUS    ,ELL,1995,3,6230110,0.57,0.63,6.00E-03,,,0.21,,,0.11,,,,,,,,,,,,,,0.21
AUS    ,ELL,1995,3,6235145,0.07,,,,,,,,0.2,,,,,,,,,,,,,,
AUS    ,ELL,1995,3,6240145,,,,,1.05,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,4,6225110,3.41,3.13,,,,1.22,,,0.09,,,,,,,,,,,,,0.01,0.37
AUS    ,ELL,1995,4,6230110,0.41,0.86,,,,,,,,,,,,,,,,,,,,,3.00E-03
AUS    ,ELL,1995,4,6240145,,,,,1.73,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,5,6210120,0.08,,,0.07,,0.02,,,,0.01,,,,,,,,,,,,,0.02
AUS    ,ELL,1995,5,6210125,7.00E-03,,0.36,,,,,,,,,,,,,,,,,,,0.41,0.33
AUS    ,ELL,1995,5,6225110,0.58,1.43,,0.05,,0.17,,,,,,,,,,,,,,,,,0.15
AUS    ,ELL,1995,5,6230110,1.01,2.26,,,,0.25,,,,,,,,,,,,,,,,,0.11
AUS    ,ELL,1995,5,6230130,,0.17,,0.23,1.97,0.25,,,,,,,,,,,,,,,,0.03,0.95
AUS    ,ELL,1995,5,6235135,,,,,0.09,0.33,,,,,,,,,,,,,,,,,0.16
AUS    ,ELL,1995,5,6240145,,,,0.24,11,0.36,,,,,,,,,,,,,,,,5.03,1.44
AUS    ,ELL,1995,6,6210120,0.13,,,0.03,,0.05,,,,,,,,,,,,,,,,,0.05
AUS    ,ELL,1995,6,6225110,2.77,2.43,,0.1,,1.84,,,,,,,,,,,,,,,,,0.09
AUS    ,ELL,1995,6,6235130,,,,0.13,,0.05,,,,,,,,,,,,,,,,,5.00E-03
AUS    ,ELL,1995,6,6240145,,,,0.43,9.08,0.07,,,,,,,,,,,,,,,,1.14,0.46
AUS    ,ELL,1995,7,6210120,0.05,,,0.02,,,,,,,,,,,,,,,,,,,0.01
AUS    ,ELL,1995,7,6215115,0.01,,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,7,6215120,,,,,,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,7,6220110,0.46,0.3,,0.03,,0.22,,,0.09,,,,,,,,,,,,,,0.02
AUS    ,ELL,1995,7,6225110,4.43,3.87,0.03,0.28,,3.79,,,0.09,,0.03,,,,,,,,,,,0.15,0.61
AUS    ,ELL,1995,7,6230110,0.14,0.1,0.03,,,0.67,,,,,,,,,,,,,,,,0.04,0.19
AUS    ,ELL,1995,7,6240140,,,,,0.15,,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,7,6240145,,,,,2.01,,,,,,,,,,,,,,,,,0.02,0.1
AUS    ,ELL,1995,8,6225110,3.63,3.5,,0.19,,2.11,,,,,,,,,,,,,,,,0.67,0.77
AUS    ,ELL,1995,8,6230110,0.63,1.32,,0.1,,1.22,,,,,,,,,,,,,,,,0.04,0.31
AUS    ,ELL,1995,8,6230115,,0.17,,0.02,,0.14,,,,,,,,,,,,,,,,,0.35
AUS    ,ELL,1995,8,6230120,,0.19,,,,,,,,,,,,,,,,,,,,,0.65
AUS    ,ELL,1995,8,6235115,,0.78,,,0.09,0.44,,,,,,,,,,,,,,,,,
AUS    ,ELL,1995,8,6240145,,,,0.09,4.4,,,,,,,,,,,,,,,,,0.19,0.11
AUS    ,ELL,1995,9,6225110,5.25,6.42,,0.61,,8.14,,,0.03,,,,,,,,,,,,,,1.66
AUS    ,ELL,1995,9,6230110,0.17,6.04,,0.31,,1.98,,,,,,,,,,,,,,,,0.01,1.54
