Fleet,Gear,Year,MonthStart,Grid,CatchUnits,YFT-FS,YFT-LS,YFT-UNCL,BET-FS,BET-LS,BET-UNCL,SKJ-FS,SKJ-LS,SKJ-UNCL,ALB-FS,ALB-LS,ALB-UNCL,SBF-FS,SBF-LS,SBF-UNCL,LOT-FS,LOT-LS,LOT-UNCL,FRZ-FS,FRZ-LS,FRZ-UNCL,KAW-FS,KAW-LS,KAW-UNCL,COM-FS,COM-LS,COM-UNCL,TUX-FS,TUX-LS,TUX-UNCL,FAL-FS,FAL-LS,FAL-UNCL,OCS-FS,OCS-LS,OCS-UNCL,SKH-FS,SKH-LS,SKH-UNCL,NTAD-FS,NTAD-LS,NTAD-UNCL
EUESP  ,PS,1996,9,5100043,MT,,13.36,,,5.58,,,20.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,2004,8,5100043,MT,,8.74,,,2.66,,,32.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEIPS  ,PS,1992,10,5100043,MT,,4.53,,,3,,,37.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1991,8,5100044,MT,76.26,,,9.95,,,68.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1995,6,5100044,MT,,0.79,,,0.68,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1995,9,5100044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1995,10,5100044,MT,,81.07,,,10.76,,,64.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1995,11,5100044,MT,,31.41,,,3.11,,,13.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1996,8,5100044,MT,,17.87,,,7.42,,,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUESP  ,PS,1996,9,5100044,MT,,16.66,,,6.91,,,35.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
