SpeciesCode	TaxonKey	SpeciesGroupID
AGN	600736	5
ALB	600142	1
ALI	600099	6
ALS	600858	5
ALV	602535	5
AMB	601005	6
AML	600861	5
AMX	500928	6
ASM	500487	4
AYBT	501905	4
BAR	400360	6
BAU	400416	4
BBM	600135	6
BET	600146	1
BFT	600147	1
BIL	400419	2
BILL	400419	2
BIP	600114	4
BLM	600217	2
BLR	600861	5
BLT	600093	4
BRA	400319	6
BRO	600864	5
BSH	600898	3
BTH	500639	5
BUK	600100	4
BUM	600216	2
BVV	610202	6
BXQ	500538	2
CCB	600865	5
CCD	600867	5
CCE	600873	5
CCG	600870	5
CCL	600874	5
CCM	600876	5
CCP	600880	5
CCQ	600884	5
CCY	600861	5
CFW	500116	6
CLD	400011	5
COM	600121	4
CWZ	500816	5
DGZ	500107	5
DOL	600006	6
DOT	600106	4
DOX	500116	6
DUS	600878	5
ESCL	601042	6
FAL	600868	5
FRI	600094	4
FRZ	501163	4
GAG	604642	5
GAM	600808	5
GEP	400414	6
GRO	100239	6
GUT	600123	4
HCM	300008	5
HEE	300008	5
KAFR	501163	4
KAK	500487	4
KAW	600096	4
KGX	400416	4
LAG	601072	6
LEC	601042	6
LMA	600753	5
LOT	600148	4
MAA	600116	4
MAK	500638	5
MARL	500538	2
MLS	600223	2
MOO	600390	6
MSD	600993	6
MSK	400009	5
MZZ	100039	6
NTAD	100339	6
NTC	602531	5
OCS	600875	5
OIL	601044	6
OTHR	300036	6
OXY	600718	5
PLS	500646	6
POL	600034	6
POR	600088	5
PSK	605923	5
PTH	605891	5
RAG	600111	6
RAX	505469	4
RHA	600899	5
RHN	602081	5
RMB	602061	6
RRU	600412	6
RSK	400011	5
SBF	600145	1
SBL	600637	5
SCK	600669	5
SFA	600077	2
SHBC	400010	5
SHCW	200004	5
SHM	400009	5
SHRK	200004	5
SHXX	200004	5
SKH	200004	5
SKHS	200004	5
SKJ	600107	1
SKKA	501905	4
SKPN	600865	5
SLT	600091	4
SMA	600752	3
SMD	604996	5
SNK	600489	6
SPF	600220	2
SPK	600914	5
SPL	600912	5
SPN	500693	5
SPY	400012	5
SPZ	600917	5
SRX	300014	6
SSP	603915	2
STS	600125	4
SWA	601753	6
SWO	600226	2
THR	500639	5
TIG	600886	5
TRB	600907	5
TRK	400488	5
TUN	501905	4
TUS	501905	4
TUX	400416	4
WAH	600089	4
WHM	600219	2
YFT	600143	1
YRS	601765	6
YTC	600382	6
