Gear	GearGroupID	Layer3GearID
BB	31	1
BBM	31	3
BBN	31	4
BBPS	31	2
GIHT	69	12
GILL	50	10
GIOF	50	40
GL	50	11
FLL	32	28
LG	32	29
LL	32	22
LLEX	32	24
LLTR	32	9
SLL	32	26
ELL	32	27
PS	41	43
BS	70	56
CN	70	56
DDSEI	41	43
DSEI	41	43
FN	62	51
HAND	33	16
HATR	30	17
HOOK	31	21
LIFT	70	56
LLCO	32	8
PSS	41	43
RIN	62	51
SPOR	70	56
TRAP	62	41
TRAW	10	41
TROL	32	66
TROLM	32	68
TROLN	32	69
UNCL	81	70
BBOF	31	1
DL	33	16
HLOF	33	16
LLF	32	22
RNOF	41	42
RR	33	52
RRBB	31	52
HARP	64	19
SBG	75	55
TROT	33	67
G/L	50	12
GIHA	50	12
HABBTR	50	12
