SpeciesCode	TaxonKey	SpeciesGroupID
YFT.FS	600143	3
YFT.LS	600143	3
YFT.UNCL	600143	3
BET.FS	600146	3
BET.LS	600146	3
BET.UNCL	600146	3
SKJ.FS	600107	3
SKJ.LS	600107	3
SKJ.UNCL	600107	3
ALB.FS	600142	3
ALB.LS	600142	3
ALB.UNCL	600142	3
SBF.FS	600145	7
SBF.LS	600145	7
SBF.UNCL	600145	7
LOT.FS	600148	4
LOT.LS	600148	4
LOT.UNCL	600148	4
FRZ.FS	501163	4
FRZ.LS	501163	4
FRZ.UNCL	501163	4
KAW.FS	600096	7
KAW.LS	600096	7
KAW.UNCL	600096	7
COM.FS	600121	4
COM.LS	600121	4
COM.UNCL	600121	4
TUX.FS	400416	7
TUX.LS	400416	7
TUX.UNCL	400416	7
FAL.FS	600868	5
FAL.LS	600868	5
FAL.UNCL	600868	5
OCS.FS	600875	5
OCS.LS	600875	5
OCS.UNCL	600875	5
SKH.FS	200004	5
SKH.LS	200004	5
SKH.UNCL	200007	5
NTAD.FS	100339	6
NTAD.LS	100339	6
NTAD.UNCL	100339	6
