SpeciesCode	TaxonKey	SpeciesGroupID
AGN	600736	5
ALB	600142	3
ALI	600099	6
ALS	600858	5
ALV	602535	5
AMB	601005	6
AML	600861	5
AMX	500928	6
ASM	500487	6
AYBT	501905	7
BAR	400360	6
BAU	400416	6
BBM	600135	6
BET	600146	3
BFT	600147	7
BIL	400419	1
BILL	400419	1
BIP	600114	6
BLM	600217	1
BLR	600861	5
BLT	600093	4
BRA	400319	6
BRO	600864	6
BSH	600898	2
BTH	500639	5
BUK	600100	6
BUM	600216	1
BVV	610202	6
BXQ	500538	1
CCB	600865	5
CCD	600867	5
CCE	600873	5
CCG	600870	5
CCL	600874	5
CCM	600876	5
CCP	600880	5
CCQ	600884	5
CCY	600861	5
CFW	500116	6
CLD	400011	5
COM	600121	4
CWZ	500816	5
DGZ	500107	5
DOL	600006	6
DOT	600106	7
DOX	500116	6
DUS	600878	5
ESCL	601042	6
FAL	600868	5
FRI	600094	4
FRZ	501163	4
GAG	604642	5
GAM	600808	5
GEP	400414	6
GRO	100239	6
GUT	600123	4
HCM	300008	5
HEE	300008	5
KAFR	501163	7
KAK	500487	6
KAW	600096	7
KGX	400416	7
LAG	601072	6
LEC	601042	6
LMA	600753	5
LOT	600148	4
MAA	600116	6
MAK	500638	5
MARL	500538	1
MLS	600223	1
MOO	600390	6
MSD	600993	6
MSK	400009	5
MZZ	100039	6
NTAD	100339	6
NTC	602531	5
OCS	600875	5
OIL	601044	6
OTHR	300036	6
OXY	600718	5
PLS	500646	5
POL	600034	6
POR	600088	5
PSK	605923	5
PTH	605891	5
RAG	600111	6
RAX	505469	6
RHA	600899	5
RHN	602081	2
RMB	602061	6
RRU	600412	6
RSK	400011	5
SBF	600145	7
SBL	600637	5
SCK	600669	5
SFA	600077	1
SHBC	400010	5
SHCW	200004	5
SHM	400009	5
SHRK	200004	5
SHXX	200004	5
SKH	200004	5
SKHS	200004	5
SKJ	600107	3
SKKA	501905	4
SKPN	600865	5
SLT	600091	7
SMA	600752	2
SMD	604996	5
SNK	600489	6
SPF	600220	1
SPK	600914	5
SPL	600912	5
SPN	500693	5
SPY	400012	5
SPZ	600917	5
SRX	300014	6
SSP	603915	1
STS	600125	4
SWA	601753	6
SWO	600226	1
THR	500639	5
TIG	600886	5
TRB	600907	5
TRK	400488	5
TUN	501905	7
TUS	501905	7
TUX	400416	7
WAH	600089	4
WHM	600219	1
YFT	600143	3
YRS	601765	6
YTC	600382	6
AG02	400419	1
AG03	400419	1
AG04	400419	1
AG13	400416	7
AG14	400419	1
AG17	500638	5
AG20	100039	6
AG22	200004	5
AG27	100039	6
AG35	400416	3
AG41	100039	6
AG45	400416	7
AG47	300060	6
AG48	100039	6
AG60	100039	6
ALM	604274	6
ALN	604275	6
ANX	400454	6
BAF	600972	6
BAI	100039	6
BAO	605739	6
BAT	500934	6
BEN	400207	6
BIS	600387	6
BON	600115	6
BTS	600977	6
CCI	500816	5
CCO	600872	5
CCW	100039	6
CGX	400314	6
CNT	604278	6
CTU	500348	5
CXS	601917	6
DIO	400449	6
DOB	606358	6
EAG	400022	6
EEN	606468	6
EJA	590011	6
FLY	400206	6
GBA	601235	6
GES	400414	6
GLT	604464	6
GTF	400017	6
GZX	400318	6
IAX	590011	6
KYC	605805	6
KYP	500477	6
KYV	605806	6
LGH	400448	6
LHT	601288	6
LOB	601077	6
LTA	600097	7
LXR	605737	6
MAN	300063	6
MAS	600117	6
MAX	400416	6
MLW	100039	6
MOX	601732	6
NAU	600998	6
NGT	502100	6
NHR	400445	6
OCX	200004	6
ODH	300007	5
OSF	605374	5
PHT	300028	6
POA	600391	6
POY	500515	6
QUM	600133	6
RAJ	400019	6
RMJ	300063	6
RMM	607618	6
RMV	300063	6
RUS	600374	6
SAG	601508	6
SAI	600078	1
SAP	600303	6
SEER	100039	6
SKX	200004	5
SLA	400011	5
STT	400020	6
TFM	400488	5
THH	400488	6
TRE	500467	6
TRI	400445	6
TRU	400356	6
TUM	601893	6
UDD	601983	6
UKK	400314	6
UNCL	100039	6
URU	601984	6
USE	601012	6
WEC	600994	6
WSH	600751	5
YTL	601007	6
