BigCellID,FishingEntityID,CountryGroupID
67407,3,7
67408,3,7
67409,3,7
67410,3,7
67411,3,7
67412,3,7
67413,3,7
67414,3,7
67415,3,7
68380,3,7
68381,3,7
68382,3,7
68416,3,7
68417,3,7
68418,3,7
68419,3,7
68420,3,7
68451,3,7
68452,3,7
68453,3,7
68454,3,7
68455,3,7
68456,3,7
68487,3,7
68488,3,7
68489,3,7
68490,3,7
68491,3,7
68492,3,7
68493,3,7
68494,3,7
68523,3,7
68524,3,7
68525,3,7
68526,3,7
68527,3,7
68528,3,7
68529,3,7
68530,3,7
68559,3,7
68560,3,7
68561,3,7
68562,3,7
68563,3,7
68564,3,7
68565,3,7
68566,3,7
68567,3,7
68595,3,7
68596,3,7
68597,3,7
68598,3,7
68599,3,7
68600,3,7
68601,3,7
68602,3,7
68603,3,7
68604,3,7
68631,3,7
68632,3,7
68633,3,7
68634,3,7
68635,3,7
68636,3,7
68637,3,7
68638,3,7
68639,3,7
68667,3,7
68668,3,7
68669,3,7
68670,3,7
68671,3,7
68672,3,7
68673,3,7
68674,3,7
68675,3,7
64815,3,7
64816,3,7
64817,3,7
64818,3,7
64819,3,7
64820,3,7
64821,3,7
64822,3,7
64823,3,7
66796,3,7
66797,3,7
66798,3,7
66832,3,7
66833,3,7
66834,3,7
66835,3,7
66836,3,7
66868,3,7
66869,3,7
66870,3,7
66871,3,7
66872,3,7
66904,3,7
66905,3,7
66906,3,7
66907,3,7
66908,3,7
66939,3,7
66940,3,7
66941,3,7
66942,3,7
66943,3,7
66944,3,7
66975,3,7
66976,3,7
66977,3,7
66978,3,7
66979,3,7
66980,3,7
67011,3,7
67012,3,7
67013,3,7
67014,3,7
67015,3,7
67016,3,7
67017,3,7
67018,3,7
67047,3,7
67048,3,7
67049,3,7
67050,3,7
67051,3,7
67052,3,7
67053,3,7
67083,3,7
67084,3,7
67085,3,7
67086,3,7
67087,3,7
67088,3,7
67089,3,7
67090,3,7
67119,3,7
67120,3,7
67121,3,7
67122,3,7
67123,3,7
67124,3,7
67125,3,7
67126,3,7
67155,3,7
67156,3,7
67157,3,7
67158,3,7
67159,3,7
67160,3,7
67161,3,7
67162,3,7
67163,3,7
67191,3,7
67192,3,7
67193,3,7
67194,3,7
67195,3,7
67196,3,7
67197,3,7
67198,3,7
67199,3,7
67200,3,7
67227,3,7
67228,3,7
67229,3,7
67230,3,7
67231,3,7
67232,3,7
67233,3,7
67234,3,7
67235,3,7
67263,3,7
67264,3,7
67265,3,7
67266,3,7
67267,3,7
67268,3,7
67269,3,7
67270,3,7
67271,3,7
67299,3,7
67300,3,7
67301,3,7
67302,3,7
67303,3,7
67304,3,7
67305,3,7
67306,3,7
67307,3,7
67335,3,7
67336,3,7
67337,3,7
67338,3,7
67339,3,7
67340,3,7
67341,3,7
67342,3,7
67343,3,7
67371,3,7
67372,3,7
67373,3,7
67374,3,7
67375,3,7
67376,3,7
67377,3,7
67378,3,7
67379,3,7
71,3,7
72,3,7
73,3,7
74,3,7
75,3,7
76,3,7
77,3,7
78,3,7
79,3,7
80,3,7
81,3,7
82,3,7
83,3,7
84,3,7
85,3,7
86,3,7
87,3,7
88,3,7
89,3,7
90,3,7
91,3,7
92,3,7
93,3,7
94,3,7
95,3,7
96,3,7
97,3,7
98,3,7
99,3,7
100,3,7
101,3,7
102,3,7
103,3,7
104,3,7
105,3,7
106,3,7
107,3,7
108,3,7
109,3,7
110,3,7
111,3,7
112,3,7
113,3,7
114,3,7
115,3,7
251,3,7
252,3,7
253,3,7
254,3,7
255,3,7
256,3,7
257,3,7
258,3,7
259,3,7
260,3,7
261,3,7
262,3,7
263,3,7
264,3,7
265,3,7
266,3,7
267,3,7
268,3,7
269,3,7
270,3,7
271,3,7
272,3,7
273,3,7
274,3,7
275,3,7
276,3,7
277,3,7
278,3,7
279,3,7
280,3,7
281,3,7
282,3,7
283,3,7
284,3,7
285,3,7
286,3,7
287,3,7
288,3,7
289,3,7
290,3,7
291,3,7
292,3,7
293,3,7
294,3,7
295,3,7
431,3,7
432,3,7
433,3,7
434,3,7
435,3,7
436,3,7
437,3,7
438,3,7
439,3,7
440,3,7
441,3,7
442,3,7
443,3,7
444,3,7
445,3,7
446,3,7
447,3,7
448,3,7
449,3,7
450,3,7
451,3,7
452,3,7
453,3,7
454,3,7
455,3,7
456,3,7
457,3,7
458,3,7
459,3,7
460,3,7
461,3,7
462,3,7
463,3,7
464,3,7
465,3,7
466,3,7
467,3,7
468,3,7
469,3,7
470,3,7
471,3,7
472,3,7
473,3,7
474,3,7
475,3,7
611,3,7
612,3,7
613,3,7
614,3,7
615,3,7
616,3,7
617,3,7
618,3,7
619,3,7
620,3,7
621,3,7
622,3,7
623,3,7
624,3,7
625,3,7
626,3,7
627,3,7
628,3,7
629,3,7
630,3,7
631,3,7
632,3,7
633,3,7
634,3,7
635,3,7
636,3,7
637,3,7
638,3,7
639,3,7
640,3,7
641,3,7
642,3,7
643,3,7
644,3,7
645,3,7
646,3,7
647,3,7
648,3,7
649,3,7
650,3,7
651,3,7
652,3,7
653,3,7
654,3,7
655,3,7
791,3,7
792,3,7
793,3,7
794,3,7
795,3,7
796,3,7
797,3,7
798,3,7
799,3,7
800,3,7
801,3,7
802,3,7
803,3,7
804,3,7
805,3,7
806,3,7
807,3,7
808,3,7
809,3,7
810,3,7
811,3,7
812,3,7
813,3,7
814,3,7
815,3,7
816,3,7
817,3,7
818,3,7
819,3,7
820,3,7
821,3,7
822,3,7
823,3,7
824,3,7
825,3,7
826,3,7
827,3,7
828,3,7
829,3,7
830,3,7
831,3,7
832,3,7
833,3,7
834,3,7
835,3,7
50297,3,7
50298,3,7
50299,3,7
50300,3,7
50301,3,7
50302,3,7
50308,3,7
50477,3,7
50478,3,7
50479,3,7
50480,3,7
50481,3,7
50482,3,7
50483,3,7
50484,3,7
50488,3,7
50658,3,7
50659,3,7
50660,3,7
50661,3,7
50662,3,7
50663,3,7
50664,3,7
50668,3,7
50669,3,7
50838,3,7
50839,3,7
50840,3,7
50841,3,7
50842,3,7
50843,3,7
50844,3,7
50845,3,7
50848,3,7
50849,3,7
50850,3,7
51019,3,7
51020,3,7
51021,3,7
51022,3,7
51023,3,7
51024,3,7
51025,3,7
51026,3,7
51027,3,7
51028,3,7
51029,3,7
51030,3,7
51031,3,7
51032,3,7
51200,3,7
51201,3,7
51202,3,7
51203,3,7
51204,3,7
51205,3,7
51206,3,7
51207,3,7
51208,3,7
51209,3,7
51210,3,7
51211,3,7
51212,3,7
51213,3,7
51216,3,7
51217,3,7
51380,3,7
51381,3,7
51382,3,7
51383,3,7
51384,3,7
51385,3,7
51386,3,7
51387,3,7
51388,3,7
51389,3,7
51390,3,7
51391,3,7
51392,3,7
51393,3,7
51394,3,7
51395,3,7
51396,3,7
51397,3,7
51560,3,7
51561,3,7
51562,3,7
51563,3,7
51564,3,7
51565,3,7
51566,3,7
51567,3,7
51568,3,7
51569,3,7
51570,3,7
