Year,Gear,Flag,Fleet,SpeciesName,Catch
2023,H,ID,,ALB,450
2023,H,ID,,BET,850
2023,H,ID,,YFT,22150
2023,H,ID,,BUM,6
2023,H,ID,,BLM,5509
2023,H,ID,,MLS,207
2023,H,ID,,SWO,29
2023,H,ID,,SFA,5032
2023,H,PH,,ALB,1299
2023,H,PH,,BET,759
2023,H,PH,,SKJ,1625
2023,H,PH,,YFT,18354
2023,H,PH,,BUM,875
2023,H,PH,,BLM,250
2023,H,PH,,SWO,16
2023,O,ID,,BET,10540
2023,O,ID,,SKJ,48111
2023,O,ID,,YFT,50213
2023,O,ID,,BLM,1410
2023,O,ID,,MLS,79
2023,O,ID,,SWO,30
2023,O,ID,,SFA,973
2023,O,ID,,OCS,2
2023,O,ID,,THR,9
2023,O,PH,,ALB,107
2023,O,PH,,BET,131
2023,O,PH,,SKJ,4169
2023,O,PH,,YFT,2192
2023,O,WF,,SKJ,2
2023,O,WF,,YFT,2
2023,O,WF,,MLS,1
2023,O,JP,,ALB,243
2023,O,JP,,BET,84
2023,O,JP,,SKJ,728
2023,O,JP,,YFT,973
2023,O,JP,,PBF,2731
2023,O,JP,,BUM,159
2023,O,JP,,BLM,89
2023,O,JP,,MLS,108
2023,O,JP,,SWO,525
2023,O,KI,,SKJ,2190
2023,O,KI,,YFT,2169
2023,O,PF,PM,ALB,214
2023,O,PF,PM,BET,13
2023,O,PF,PM,SKJ,390
2023,O,PF,PM,YFT,703
2023,O,PF,PM,BUM,157
2023,O,PF,PM,BLM,48
2023,O,PF,PM,MLS,39
2023,T,JP,,ALB,428
2023,T,JP,,BET,78
2023,T,JP,,SKJ,2161
2023,T,JP,,YFT,2160
2023,T,JP,,PBF,760
2023,T,JP,,BUM,6
2023,T,JP,,BLM,156
2023,O,NU,,YFT,4
2023,T,US,GU,SKJ,233
2023,T,US,GU,YFT,44
2023,T,US,GU,BUM,6
2023,T,US,GU,SFA,1
2023,T,US,AS,SKJ,2
2023,H,US,HW,ALB,5
2023,H,US,HW,BET,132
2023,H,US,HW,SKJ,8
2023,H,US,HW,YFT,249
2023,H,US,HW,BUM,3
2023,H,US,HW,SWO,1
2023,T,US,HW,BET,5
2023,T,US,HW,SKJ,108
2023,T,US,HW,YFT,259
2023,T,US,HW,BUM,87
2023,T,US,HW,BLM,1
2023,T,US,HW,MLS,6
2023,T,US,HW,SFA,1
2023,O,TV,,BET,27
2023,O,TV,,SKJ,194
2023,O,TV,,YFT,127
2023,O,NR,,SKJ,2
2023,O,NR,,YFT,24
2023,O,VU,,BET,1
2023,O,VU,,SKJ,92
2023,O,VU,,YFT,124
2023,O,TO,,SKJ,19
2023,O,TO,,YFT,5
