Lat	Lon	x	y	BigCellTypeID
05N	105E	107.5	7.5	2
10N	110E	112.5	12.5	2
15N	110E	112.5	17.5	2
05N	110E	112.5	7.5	2
10N	115E	117.5	12.5	2
15N	115E	117.5	17.5	2
20N	115E	117.5	22.5	2
05N	115E	117.5	7.5	2
00N	115E	117.5	2.5	2
00N	120E	122.5	2.5	2
15N	120E	122.5	17.5	2
20N	120E	122.5	22.5	2
05N	120E	122.5	7.5	2
25N	120E	122.5	27.5	2

30N	120E	122.5	32.5	2
10N	120E	122.5	12.5	2
00N	125E	127.5	2.5	2
15N	125E	127.5	17.5	2
10N	125E	127.5	12.5	2
20N	125E	127.5	22.5	2
05N	125E	127.5	7.5	2
25N	125E	127.5	27.5	2
30N	125E	127.5	32.5	2
35N	125E	127.5	37.5	2
00N	130E	132.5	2.5	2
05N	130E	132.5	7.5	2
10N	130E	132.5	12.5	2
15N	130E	132.5	17.5	2
20N	130E	132.5	22.5	2
25N	130E	132.5	27.5	2
30N	130E	132.5	32.5	2
35N	130E	132.5	37.5	2
00N	135E	137.5	2.5	2
05N	135E	137.5	7.5	2
30N	135E	137.5	32.5	2
10N	135E	137.5	12.5	2
15N	135E	137.5	17.5	2
20N	135E	137.5	22.5	2
25N	135E	137.5	27.5	2
35N	135E	137.5	37.5	2
40N	135E	137.5	42.5	2
45N	135E	137.5	47.5	2
00N	140E	142.5	2.5	2
05N	140E	142.5	7.5	2
25N	140E	142.5	27.5	2
30N	140E	142.5	32.5	2
35N	140E	142.5	37.5	2
40N	140E	142.5	42.5	2
10N	140E	142.5	12.5	2
15N	140E	142.5	17.5	2
20N	140E	142.5	22.5	2
45N	140E	142.5	47.5	2
00N	145E	147.5	2.5	2
05N	145E	147.5	7.5	2
40N	145E	147.5	42.5	2
10N	145E	147.5	12.5	2
30N	145E	147.5	32.5	2
25N	145E	147.5	27.5	2
20N	145E	147.5	22.5	2
35N	145E	147.5	37.5	2
15N	145E	147.5	17.5	2
00N	150E	152.5	2.5	2
05N	150E	152.5	7.5	2
10N	150E	152.5	12.5	2
