Year,Month,Lat,Lon,alb_c
1983,11,30S,170W,0
1983,11,35S,170W,4.96
1983,12,35S,165W,0
1983,12,35S,170W,4.872
1983,12,40S,165W,0
1983,12,40S,170W,21.402
1984,1,35S,165E,0.299
1984,1,40S,170W,21.56
1984,1,40S,175W,5.408
1984,1,45S,160E,6.126
1984,1,45S,160W,111.262
1984,1,45S,165W,46.913
1984,1,45S,170W,21.125
1984,2,40S,160E,41.73
1984,2,40S,165W,0.374
1984,2,45S,155E,0
1984,2,45S,160E,317.981
1984,2,45S,160W,174.042
1984,2,45S,165W,41.34
1984,2,45S,170W,6.649
1984,2,50S,160W,68.876
1984,2,50S,165W,9.487
1984,3,35S,160E,3.092
1984,3,40S,160E,21.41
1984,3,45S,155E,0
1984,3,45S,155W,2.033
1984,3,45S,160E,107.02
1984,3,45S,160W,73.209
1984,3,45S,165E,15.746
1984,3,45S,165W,259.788
1984,3,45S,170W,11.608
1984,3,45S,175W,0
1984,4,35S,160E,3.196
1984,4,35S,165W,0
1984,4,35S,175W,0
1984,4,40S,160E,76.704
1984,4,40S,175W,0.12
1984,5,40S,160E,64.634
1984,5,45S,160E,25.458
1984,12,40S,160E,0
1984,12,45S,160E,23.398
1985,1,40S,155E,59.242
1985,1,40S,160E,124.266
1985,1,45S,155E,136.77
1985,1,45S,160E,339.955
1985,2,45S,155E,225.093
1985,2,45S,160E,182.787
1985,2,45S,165W,0
1985,3,40S,165W,17.878
1985,3,40S,170W,0
1985,3,45S,160E,6.013
1985,3,45S,160W,21.877
1985,3,45S,165W,38.612
1985,3,45S,170W,28.092
1985,4,40S,170W,0
1985,12,40S,155E,634.535
1985,12,40S,160E,73.891
1985,12,45S,155E,7.679
1985,12,45S,160E,21.008
1986,1,40S,155E,614.31
1986,1,40S,160E,0
1986,1,45S,155E,279.999
1986,1,45S,160E,387.708
1986,2,40S,155E,0
1986,2,40S,160E,15.688
1986,2,45S,155E,87.078
1986,2,45S,160E,345.889
1986,3,35S,170W,10.326
1986,3,40S,155E,15.429
1986,3,40S,160E,0
1986,3,45S,160E,46.766
1986,12,35S,165W,16.521
1986,12,35S,170W,51.709
1986,12,40S,165W,18.826
1986,12,40S,170W,16.759
1986,12,40S,180W,0
1987,1,40S,155E,78.582
1987,1,40S,160E,13.194
1987,1,45S,155E,55.595
1987,1,45S,160E,139.752
1987,2,45S,160E,364.182
1987,3,45S,155E,7.106
1987,3,45S,160E,5.478
1987,11,40S,160E,0
1987,12,40S,155E,103.267
1987,12,40S,160E,130.57
1987,12,45S,155E,20.585
1988,1,35S,160E,0
1988,1,40S,155E,463.226
1988,1,40S,160E,543.883
1988,1,45S,155E,125.653
1988,1,45S,160E,0
1988,2,40S,155E,0
1988,2,40S,160E,85.54
1988,2,45S,155E,75.488
1988,2,45S,160E,137.575
1988,3,40S,160E,0
1988,3,45S,155E,0
1988,3,45S,160E,32.536
1988,10,30S,135W,0
1988,10,35S,135W,0
1988,10,35S,140W,0
1988,10,35S,145W,0
1988,10,35S,150W,0
1988,10,35S,155W,0
1988,10,40S,140W,0
1988,10,40S,145W,0
1988,10,40S,150W,0
1988,10,40S,155W,0
1988,11,35S,145W,0
1988,11,35S,150W,0
1988,11,35S,155W,0
1988,11,35S,160E,0
1988,11,35S,160W,0
1988,11,35S,165W,266.038
1988,11,35S,170W,22.437
1988,11,40S,140W,0
1988,11,40S,145W,0
1988,11,40S,150W,0
1988,11,40S,155E,49.51
1988,11,40S,155W,0
1988,11,40S,160E,203.431
1988,11,40S,160W,0
1988,11,40S,165W,344.236
1988,11,40S,170W,0
1988,12,35S,145W,0
1988,12,35S,150W,0
1988,12,35S,155W,295.957
1988,12,35S,160W,221.799
1988,12,35S,165W,210.338
1988,12,40S,130W,0
1988,12,40S,140W,0
1988,12,40S,145W,0
1988,12,40S,150W,0
1988,12,40S,155E,2737.997
1988,12,40S,155W,117.86
1988,12,40S,160E,798.851
1988,12,40S,160W,165.327
1988,12,40S,165W,28.672
1988,12,40S,170W,38.578
1988,12,40S,175W,0
1988,12,40S,180W,0
1988,12,45S,155E,575.03
1988,12,45S,160E,192.741
1989,1,35S,155W,32.238
1989,1,35S,160E,0
1989,1,35S,160W,49.076
1989,1,35S,165W,33.789
1989,1,35S,170W,0
1989,1,40S,130W,0
1989,1,40S,135W,0
1989,1,40S,140W,0
1989,1,40S,145W,37.714
1989,1,40S,150W,39.243
1989,1,40S,155E,2152.617
1989,1,40S,155W,2312.732
1989,1,40S,160E,1251.849
1989,1,40S,160W,356.456
1989,1,40S,165W,1691.535
1989,1,40S,170W,12.226
1989,1,40S,175W,39.294
1989,1,45S,155E,1109.32
1989,1,45S,160E,803.662
1989,1,45S,160W,34.076
1989,1,45S,165E,4.877
1989,1,45S,165W,0
1989,2,30S,150W,0
1989,2,35S,155W,22.79
1989,2,35S,160E,0
1989,2,35S,160W,36.212
1989,2,40S,145E,0
1989,2,40S,145W,131.928
1989,2,40S,150W,477.172
1989,2,40S,155E,16.531
1989,2,40S,155W,295.996
1989,2,40S,160E,40.752
1989,2,40S,160W,163.869
1989,2,40S,165W,1217.596
1989,2,40S,170W,169.814
1989,2,40S,175W,1138.761
1989,2,40S,180W,0
1989,2,45S,145W,423.699
1989,2,45S,150W,1306.305
1989,2,45S,155E,157.541
1989,2,45S,155W,19.907
1989,2,45S,160E,367.771
1989,2,45S,160W,44.66
1989,2,45S,165E,6.788
1989,2,45S,165W,377.378
1989,2,45S,170E,6.364
1989,2,45S,170W,527.477
1989,2,45S,175W,48.942
1989,2,50S,170W,1.017
1989,3,35S,145W,29.106
1989,3,35S,150W,294.388
1989,3,35S,155W,61.979
1989,3,35S,160W,0
1989,3,35S,165W,0
1989,3,40S,135W,11.786
1989,3,40S,140W,21.743
1989,3,40S,145E,20.512
1989,3,40S,145W,603.857
1989,3,40S,150E,0
1989,3,40S,150W,238.402
1989,3,40S,155W,109.884
1989,3,40S,160E,0.434
1989,3,40S,160W,119.96
1989,3,40S,165W,44.559
1989,3,40S,170W,0
1989,3,45S,135W,4.001
1989,3,45S,140E,0
1989,3,45S,140W,59.909
1989,3,45S,145W,150.593
1989,3,45S,150E,0
1989,3,45S,150W,125.374
1989,3,45S,155W,19.617
1989,3,45S,160E,74.359
1989,3,45S,165E,0
1989,3,45S,165W,0.923
1989,4,40S,140W,0
1989,4,40S,145W,0
1989,4,40S,150W,0
1989,11,40S,155E,147.816
1989,11,40S,160E,0
1989,11,50S,150E,25.041
1989,12,40S,155E,1983.294
1989,12,40S,160E,430.148
1989,12,45S,145E,5.959
1989,12,45S,155E,169.384
1990,1,30S,160E,4.563
1990,1,40S,150E,0
1990,1,40S,155E,867.022
1990,1,40S,160E,821.327
1990,1,45S,155E,1264.062
1990,1,45S,160E,310.59
1990,2,40S,145W,0
1990,2,40S,150E,21.87
1990,2,40S,150W,50.664
1990,2,40S,155E,15.84
1990,2,40S,155W,538.589
1990,2,40S,160E,347.001
1990,2,40S,160W,9.979
1990,2,45S,140E,22.347
1990,2,45S,145E,4.086
1990,2,45S,145W,105.296
1990,2,45S,150W,30.599
1990,2,45S,160E,254.511
1990,2,45S,160W,0
1990,3,40S,150W,39.407
1990,3,40S,155W,0
1990,3,45S,145W,118.775
1990,3,45S,150W,660.31
1990,3,45S,155W,0
