Year,Month,Lat,Lon,alb_c,yft_c,bet_c,mls_c,blm_c,bum_c,swo_c,oth_c
1950,6,00N,140E,0,121.627,13.32,0,0,62.717,0,0
1950,6,00N,145E,0,94.72,13.507,0,0,44.422,0,0
1950,6,05N,140E,0,0,0,0,0,0,0,0
1950,6,05N,145E,0,0,0,0,0,0,0,0
1950,6,05N,150E,0,0,0,0,0,0,0,0
1950,7,00N,140E,0,0,0,0,0,0,0,0
1950,7,00N,145E,0,125.659,30.119,0,0,83.584,0,0
1950,7,00N,150E,0,256.339,50.953,0,0,130.46,0,0
1950,7,00N,155E,1.006,114.779,20.928,0,0,53.248,0,0.259
1950,7,00N,160E,0,70.552,16.239,4.698,0,43.662,0,0
1950,7,05N,140E,0,0,0,0,0,0,0,0
1950,7,05N,145E,0,0,0,0,0,0,0,0
1950,7,05N,150E,0.471,52.47,9.688,0,0,39.454,0,0.143
1950,7,05N,155E,0,0,0,0,0,0,0,0
1950,7,05N,160E,0,0,0,0,0,0,0,0
1950,8,00N,140E,0,0,0,0,0,0,0,0
1950,8,00N,145E,0,0,0,0,0,0,0,0
1950,8,00N,150E,0,0,0,0,0,0,0,0
1950,8,00N,155E,10.992,622.613,92.25,0,0,210.771,0,0.544
1950,8,00N,160E,1.869,129.716,23.722,0,0,104.392,0,0.044
1950,8,00N,165E,2.849,199.33,35.645,0,0,209.777,0,0
1950,8,05N,150E,0,0,0,0,0,0,0,0
1950,8,05N,155E,0,0,0,0,0,0,0,0
1950,8,05N,160E,0,0,0,0,0,0,0,0
1950,8,05N,165E,0,0,0,0,0,0,0,0
1950,9,00N,150E,0,0,0,0,0,0,0,0
1950,9,00N,155E,0,0,0,0,0,0,0,0
1950,9,00N,160E,0,0,0,0,0,0,0,0
1950,9,00N,165E,0,255.401,21.3,1.848,0,85.98,0,0.264
1950,9,05N,150E,0,0,0,0,0,0,0,0
1950,9,05N,155E,0,0,0,0,0,0,0,0
1950,9,05N,160E,0,0,0,0,0,0,0,0
1950,9,05N,165E,0,0,0,0,0,0,0,0
1950,9,10N,160E,0,0,0,0,0,0,0,0
1950,10,05N,160E,0,0,0,0,0,0,0,0
1950,10,05N,175E,0,0,0,0,0,0,0,0
1950,10,10N,160E,0,0,0,0,0,0,0,0
1950,12,00N,130E,0,0,0,0,0,0,0,0
1950,12,00N,135E,1.987,142.194,18.164,0,0,39.337,0,0.723
1950,12,00N,140E,0,0,0,0,0,0,0,0
1951,2,00N,150E,0,0,0,0,0,0,0,0
1951,2,00N,155E,2,189.617,35.894,0,0,96.033,0,3.404
1951,2,00N,160E,0,0,0,0,0,0,0,0
1951,2,05N,155E,0,0,0,0,0,0,0,0
1951,3,00N,135E,0,0,0,0,0,0,0,0
1951,3,00N,140E,0,0,0,0,0,0,0,0
1951,3,00N,145E,0,0,0,0,0,0,0,0
1951,4,00N,135E,0,0,0,0,0,0,0,0
1951,4,00N,140E,0,0,0,0,0,0,0,0
1951,4,00N,145E,0,88.963,33.596,0,0,34.661,0,0.125
1951,4,00N,150E,0,153.276,38.937,0,0,64.704,0,0.351
1951,4,00N,155E,0,86.478,15.37,0.154,0,33.55,0,1.06
1951,4,00N,160E,0,0,0,0,0,0,0,0
1951,4,05N,145E,0,0,0,0,0,0,0,0
1951,4,05N,150E,0,0,0,0,0,0,0,0
1951,4,05N,155E,0,0,0,0,0,0,0,0
1951,5,00N,150E,0,0,0,0,0,0,0,0
1951,5,00N,155E,3.882,158.044,53.81,0,0,66.341,21.118,3.338
1951,5,00N,160E,0,197.275,59.771,0,0,82.648,0,2.618
1951,5,00N,165E,0,0,0,0,0,0,0,0
1951,5,05N,155E,0,0,0,0,0,0,0,0
1951,5,05N,160E,0,0,0,0,0,0,0,0
1951,5,10N,160E,0,0,0,0,0,0,0,0
1951,6,00N,150E,0,136.031,43.874,0,0,54.359,0,0.227
1951,6,00N,155E,2.627,238.333,72.315,8.163,0,67.86,0,1.252
1951,6,00N,160E,0,119.344,29.001,0,0,33.2,0,0.187
1951,6,05N,150E,0,0,0,0,0,0,0,0
1951,6,05N,155E,0,0,0,0,0,0,0,0
1951,6,05N,160E,0,0,0,0,0,0,0,0
1951,6,10N,150E,0,0,0,0,0,0,0,0
1951,6,10N,155E,0,0,0,0,0,0,0,0
1951,6,15N,150E,0,0,0,0,0,0,0,0
1951,6,20N,150E,0,0,0,0,0,0,0,0
1951,7,00N,160E,0,172.676,73.247,0,0,47.929,0,4.063
1951,7,00N,165E,6.404,273.482,160.125,0,0,132.097,0,5.242
1951,7,05N,160E,0,0,0,0,0,0,0,0
1951,7,05N,165E,2.143,91.118,48.065,3.696,0,72.069,0,0.406
1951,7,05N,170E,0,94.618,38.502,0,0,70.958,0,0.116
1951,8,00N,150E,0,0,0,0,0,0,0,0
1951,8,00N,155E,7.659,278.935,88.71,0,0,86.331,0,1.347
1951,8,00N,160E,0,0,0,0,0,0,0,0
1951,8,05N,150E,0,0,0,0,0,0,0,0
1951,8,05N,155E,0,0,0,0,0,0,0,0
1951,8,05N,160E,0,0,0,0,0,0,0,0
1951,8,05N,165E,1.229,40.424,27.2,1.001,0,62.249,0,0.259
1951,8,05N,170E,2.47,132.607,122.461,0,0,219.889,0,2.716
1951,8,05N,175E,2.287,23.078,62.348,0,0,86.272,0,0.132
1951,8,10N,165E,0,0,0,0,0,0,0,0
1951,8,10N,170E,0,0,0,0,0,0,0,0
1951,8,10N,175E,0,0,0,0,0,0,0,0
1951,8,25N,170E,0,0,0,0,0,0,0,0
1951,9,00N,150E,0,0,0,0,0,0,0,0
1951,9,00N,155E,9.75,130.756,40.023,0,0,49.332,0,0
1951,9,00N,160E,19.226,205.872,91.101,0,0,71.367,0,0.834
1951,9,00N,165E,10.038,96.926,54.803,0,0,49.799,0,0.651
1951,9,05N,150E,0,0,0,0,0,0,0,0
1951,9,05N,155E,0,0,0,0,0,0,0,0
1951,9,05N,160E,0,0,0,0,0,0,0,0
1951,9,05N,165E,0,0,0,0,0,0,0,0
1951,9,05N,170E,0,0,0,0,0,0,0,0
1951,9,05N,175E,0,0,0,0,0,0,0,0
1951,9,10N,160E,0,0,0,0,0,0,0,0
1951,9,10N,165E,0,0,0,0,0,0,0,0
1951,9,20N,155E,0,0,0,0,0,0,0,0
1951,9,20N,160E,0,0,0,0,0,0,0,0
1951,9,25N,155E,0,0,0,0,0,0,0,0
1951,9,25N,170E,0,0,0,0,0,0,0,0
