Year,Month,Lat,Lon,skj_c,yft_c,oth_c
1950,1,20N,130E,0,0,0
1950,1,20N,135E,0,0,0
1950,1,20N,140E,0,0,0
1950,1,20N,145E,0,0,0
1950,1,20N,150E,0,0,0
1950,1,25N,130E,0,0,0
1950,1,25N,135E,0,0,0
1950,1,25N,140E,0,0,0
1950,1,25N,145E,0,0,0
1950,1,25N,150E,0,0,0
1950,1,30N,125E,0,0,0
1950,1,30N,130E,0,0,0
1950,1,30N,135E,0,0,0
1950,1,30N,140E,0,0,0
1950,1,45N,150E,0,0,0
1950,2,20N,120E,0,0,0
1950,2,20N,125E,0,0,0
1950,2,20N,130E,0,0,0
1950,2,20N,135E,0,0,0
1950,2,20N,140E,0,0,0
1950,2,20N,145E,0,0,0
1950,2,25N,125E,0,0,0
1950,2,25N,130E,0,0,0
1950,2,25N,135E,0,0,0
1950,2,25N,140E,0,0,0
1950,2,25N,145E,0,0,0
1950,2,30N,125E,0,0,0
1950,2,30N,130E,0,0,0
1950,2,30N,135E,0,0,0
1950,2,30N,140E,0,0,0
1950,2,30N,145E,0,0,0
1950,2,30N,155E,0,0,0
1950,2,35N,145E,0,0,0
1950,3,20N,120E,0,0,0
1950,3,20N,125E,0,0,0
1950,3,20N,130E,0,0,0
1950,3,20N,135E,0,0,0
1950,3,20N,140E,0,0,0
1950,3,20N,145E,0,0,0
1950,3,20N,150E,0,0,0
1950,3,20N,155E,0,0,0
1950,3,25N,125E,0,0,0
1950,3,25N,130E,0,0,0
1950,3,25N,135E,0,0,0
1950,3,25N,140E,0,0,0
1950,3,25N,145E,0,0,0
1950,3,25N,150E,0,0,0
1950,3,30N,125E,0,0,0
1950,3,30N,130E,0,0,0
1950,3,30N,135E,0,0,0
1950,3,30N,140E,0,0,0
1950,3,30N,145E,0,0,0
1950,3,30N,150E,0,0,0
1950,3,30N,155E,0,0,0
1950,3,30N,160E,0,0,0
1950,3,40N,155E,0,0,0
1950,3,45N,155E,0,0,0
1950,4,20N,115E,0,0,0
1950,4,20N,120E,0,0,0
1950,4,20N,125E,0,0,0
1950,4,20N,130E,0,0,0
1950,4,20N,135E,0,0,0
1950,4,20N,140E,0,0,0
1950,4,20N,145E,0,0,0
1950,4,20N,150E,0,0,0
1950,4,20N,155E,0,0,0
1950,4,20N,160E,0,0,0
1950,4,25N,120E,0,0,0
1950,4,25N,125E,0,0,0
1950,4,25N,130E,0,0,0
1950,4,25N,135E,0,0,0
1950,4,25N,140E,87.805,9.637,0
1950,4,25N,145E,0,0,0
1950,4,25N,150E,0,0,0
1950,4,25N,155E,0,0,0
1950,4,25N,160E,0,0,0
1950,4,30N,125E,0,0,0
1950,4,30N,130E,0,0,0
1950,4,30N,135E,0,0,0
1950,4,30N,140E,197.997,1.41,0
1950,4,30N,145E,0,0,0
1950,4,30N,150E,0,0,0
1950,4,30N,155E,0,0,0
1950,4,30N,160E,0,0,0
1950,4,35N,135E,0,0,0
1950,4,35N,140E,0,0,0
1950,4,35N,145E,0,0,0
1950,4,35N,150E,0,0,0
1950,4,35N,155E,0,0,0
1950,4,35N,160E,0,0,0
1950,5,20N,120E,0,0,0
1950,5,20N,125E,0,0,0
1950,5,20N,130E,0,0,0
1950,5,20N,135E,0,0,0
1950,5,20N,140E,0,0,0
1950,5,20N,145E,0,0,0
1950,5,20N,150E,0,0,0
1950,5,20N,155E,0,0,0
1950,5,20N,160E,0,0,0
