Year,Month,Lat,Lon,skj_c_una,yft_c_una,bet_c_una,oth_c_una,skj_c_log,yft_c_log,bet_c_log,oth_c_log,skj_c_dfad,yft_c_dfad,bet_c_dfad,oth_c_dfad,skj_c_afad,yft_c_afad,bet_c_afad,oth_c_afad,skj_c_oth,yft_c_oth,bet_c_oth,oth_c_oth
1967,12,00N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,12,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,12,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,12,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,1,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,2,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,2,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,00N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,11,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,12,00N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,12,00N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,12,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,12,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,1,00N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,1,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,1,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,11,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,12,00N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,12,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,12,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,00N,135E,0,0,0,0,113.178,139.97,16.951,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,05S,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,2,00N,135E,18.486,9.91,0.604,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,2,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,2,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,3,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,3,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,3,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,3,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,3,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,4,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,4,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,4,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,5,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,5,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,5,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,6,00N,135E,0,0,0,0,99.162,136.43,16.506,0,0,0,0,0,0,0,0,0,0,0,0,0
