SpeciesName	TaxonKey	SpeciesGroupID
skj_c_una	600107	1
yft_c_una	600143	1
bet_c_una	600146	1
oth_c_una	100339	6
skj_c_ass	600107	1
yft_c_ass	600143	1
bet_c_ass	600146	1
oth_c_ass	100339	6
skj_c_oth	600107	1
yft_c_oth	600143	1
bet_c_oth	600146	1
oth_c_oth	100339	6
skj_c_log	600107	1
yft_c_log	600143	1
bet_c_log	600146	1
oth_c_log	100339	6
skj_c_dfad	600107	1
yft_c_dfad	600143	1
bet_c_dfad	600146	1
oth_c_dfad	100339	6
skj_c_afad	600107	1
yft_c_afad	600143	1
bet_c_afad	600146	1
oth_c_afad	100339	6
